polarization,direction,step,AD_A,FD_A,absolute_error_A,relative_error,plus_A,minus_A
Ea,adjoint_aligned,0.01,4.6238257746591e-08,4.602744349112112e-08,2.1081425546987628e-10,0.004580186069003445,7.740708742260186e-10,-1.464779955964038e-10
Ea,adjoint_aligned,0.005,4.6238257746591e-08,4.60266548124168e-08,2.1160293417419573e-10,0.004597399811839264,5.435501784238116e-10,8.328363029964358e-11
Ea,adjoint_aligned,0.0025,4.6238257746591e-08,4.60264062782372e-08,2.118514683537964e-10,0.004602824454143116,4.283868219300683e-10,1.9825479053888227e-10
Ea,central_localized,0.01,-3.286795203133499e-10,-3.2699137115869044e-10,1.6881491546594653e-12,0.005162671873198142,3.1006308121856963e-10,3.1660290864174344e-10
Ea,central_localized,0.005,-3.286795203133499e-10,-3.26785141476781e-10,1.8943788365689185e-12,0.005797016437185592,3.116700530086562e-10,3.14937904423424e-10
Ea,central_localized,0.0025,-3.286795203133499e-10,-3.2776861345478374e-10,9.109068585661645e-13,0.002779115574749276,3.12474563838044e-10,3.1411340690531793e-10
Ea,asymmetric_smooth,0.01,4.199102686979538e-08,4.179910272065042e-08,1.9192414914496075e-10,0.004591585384682016,7.305846534998192e-10,-1.0539740091318916e-10
Ea,asymmetric_smooth,0.005,4.199102686979538e-08,4.179841083103846e-08,1.9261603875692274e-10,0.004608214401632008,5.221099438597949e-10,1.0412583554941035e-10
Ea,asymmetric_smooth,0.0025,4.199102686979538e-08,4.179907919364812e-08,1.919476761472586e-10,0.004592150828442828,4.1774573219215656e-10,2.0875033622391595e-10
Ea,fixed_seed_random,0.01,1.876305629845451e-10,1.8697045328628225e-10,6.601096982628653e-13,0.0035305562277914027,3.152334718026103e-10,3.1149406273688465e-10
Ea,fixed_seed_random,0.005,1.876305629845451e-10,1.8697528902303106e-10,6.552739615140518e-13,0.003504601944663057,3.1424369851631703e-10,3.123739456260867e-10
Ea,fixed_seed_random,0.0025,1.876305629845451e-10,1.8707828445579855e-10,5.522785287465628e-13,0.0029521252578999947,3.137658512616333e-10,3.128304598393543e-10
Eb,adjoint_aligned,0.01,1.6613648365924074e-07,1.6399891439585756e-07,2.1375692633831883e-09,0.013034045202418614,1.4523990068498386e-09,-1.8275792810673125e-09
Eb,adjoint_aligned,0.005,1.6613648365924074e-07,1.6402743679338967e-07,2.109046865851072e-09,0.012857890771698426,6.32474644507583e-10,-1.0077997234263138e-09
Eb,adjoint_aligned,0.0025,1.6613648365924074e-07,1.640376910869879e-07,2.0987925722528496e-09,0.012794575187844338,2.2241758644395216e-10,-5.977708689909873e-10
Eb,central_localized,0.01,-7.224998699342925e-12,-7.682948182853175e-12,4.579494835102496e-13,0.059605957584394825,-1.8774553414061638e-10,-1.8759187517695932e-10
Eb,central_localized,0.005,-7.224998699342925e-12,-7.482042916109907e-12,2.570442167669824e-13,0.03435481721356202,-1.8771343668215167e-10,-1.8763861625299057e-10
Eb,central_localized,0.0025,-7.224998699342925e-12,-1.0671682163933396e-11,3.4466834645904708e-12,0.32297471116962906,-1.877052265747212e-10,-1.8765186816390153e-10
Eb,asymmetric_smooth,0.01,1.5840871760183002e-07,1.5640066232281518e-07,2.008055279014838e-09,0.012839173755352505,1.369905898507603e-09,-1.7581073479487005e-09
Eb,asymmetric_smooth,0.005,1.5840871760183002e-07,1.5643045775012022e-07,1.9782598517097928e-09,0.012646257513801032,5.928650600946904e-10,-9.714395174065117e-10
Eb,asymmetric_smooth,0.0025,1.5840871760183002e-07,1.564369753712467e-07,1.971742230583309e-09,0.012604067714196662,2.0301293604664037e-10,-5.791719408095932e-10
Eb,fixed_seed_random,0.01,7.761347435280368e-10,7.677426506939054e-10,8.392092834131413e-12,0.010930867037993038,-1.7984844188323283e-10,-1.9520329489711094e-10
Eb,fixed_seed_random,0.005,7.761347435280368e-10,7.659886558242587e-10,1.014608770377812e-11,0.013245741469709109,-1.8381240436064302e-10,-1.914722909188856e-10
Eb,fixed_seed_random,0.0025,7.761347435280368e-10,7.669356902624965e-10,9.199053265540248e-12,0.011994556235075875,-1.8575738868086462e-10,-1.895920671321771e-10
