polarization,direction,step,AD_A,FD_A,absolute_error_A,relative_error,plus_A,minus_A
Ea,adjoint_aligned,0.01,4.592979352300501e-08,4.592313313218087e-08,6.660390824143966e-12,0.00014503345851802659,7.722714230723643e-10,-1.461912395712531e-10
Ea,adjoint_aligned,0.005,4.592979352300501e-08,4.5922271546606795e-08,7.521976398216683e-12,0.00016379800355874346,5.422754148147489e-10,8.305269934868095e-11
Ea,adjoint_aligned,0.0025,4.592979352300501e-08,4.592219185964342e-08,7.60166336159274e-12,0.00016553354824235008,4.27374829610636e-10,1.977638703124189e-10
Ea,central_localized,0.01,-3.2610344570202393e-10,-3.25964990590137e-10,1.3845511188693659e-13,0.000424754546910922,3.0931804548380295e-10,3.158373452956057e-10
Ea,central_localized,0.005,-3.2610344570202393e-10,-3.2585189930578107e-10,2.515463962428552e-13,0.0007719654136703459,3.1092018184673425e-10,3.1417870083979206e-10
Ea,central_localized,0.0025,-3.2610344570202393e-10,-3.262597655350814e-10,1.563198330574502e-13,0.0004791269092009501,3.1172284957912525e-10,3.1335414840680065e-10
Ea,asymmetric_smooth,0.01,4.168865190533624e-08,4.168217098454833e-08,6.48092078790538e-12,0.0001554842426587586,7.286622548847599e-10,-1.0498116480620678e-10
Ea,asymmetric_smooth,0.005,4.168865190533624e-08,4.16815377548669e-08,7.1141504693394554e-12,0.0001706786949938952,5.2077197121834e-10,1.0395659366967101e-10
Ea,asymmetric_smooth,0.0025,4.168865190533624e-08,4.1682098036145146e-08,6.553869191092031e-12,0.00015723462829075356,4.167005246746477e-10,2.0829003449392197e-10
Ea,fixed_seed_random,0.01,1.8644444760274358e-10,1.8634071536164252e-10,1.03732241101061e-13,0.0005566804919673174,3.144736602544592e-10,3.1074684594722633e-10
Ea,fixed_seed_random,0.005,1.8644444760274358e-10,1.8626344822055997e-10,1.8099938218361022e-13,0.0009717385988113115,3.134858222680669e-10,3.116231877858613e-10
Ea,fixed_seed_random,0.0025,1.8644444760274358e-10,1.8632381813468403e-10,1.2062946805954527e-13,0.000647418399146095,3.130104599812409e-10,3.120788408905675e-10
Eb,adjoint_aligned,0.01,1.6356702282371675e-07,1.6349875369273028e-07,6.82691309864661e-11,0.0004175513846103499,1.4480903691574139e-09,-1.8218847046971916e-09
Eb,adjoint_aligned,0.005,1.6356702282371675e-07,1.6352879697876556e-07,3.822584495119074e-11,0.00023375604576944585,6.306908935281727e-10,-1.004597076259483e-09
Eb,adjoint_aligned,0.0025,1.6356702282371675e-07,1.6353529798485421e-07,3.1724838862534864e-11,0.00019399383040518293,2.2186910753702645e-10,-5.958073823872446e-10
Eb,central_localized,0.01,-7.92552117377965e-12,-8.161105311331304e-12,2.355841375516532e-13,0.02886669495914431,-1.870422313133577e-10,-1.8687900920713106e-10
Eb,central_localized,0.005,-7.92552117377965e-12,-7.902993564005923e-12,2.252760977372755e-14,0.002850516021717295,-1.870099322466044e-10,-1.8693090231096435e-10
Eb,central_localized,0.0025,-7.92552117377965e-12,-1.0528483146722245e-11,2.602961972942594e-12,0.2472304829355172,-1.869956668938876e-10,-1.86943024478154e-10
Eb,asymmetric_smooth,0.01,1.5589452315361874e-07,1.5582792750860936e-07,6.659564500937867e-11,0.0004273665579342273,1.3649185569728828e-09,-1.7516399931993048e-09
Eb,asymmetric_smooth,0.005,1.5589452315361874e-07,1.558574841260102e-07,3.703902760853413e-11,0.00023764676952303562,5.90714090278937e-10,-9.67860750981165e-10
Eb,asymmetric_smooth,0.0025,1.5589452315361874e-07,1.558644570876758e-07,3.0066065942953046e-11,0.00019289879491923224,2.022894006345792e-10,-5.770328848037997e-10
Eb,fixed_seed_random,0.01,7.648384031563527e-10,7.654223290781368e-10,5.839259217841447e-13,0.0007628806994530932,-1.7916635996036877e-10,-1.944748065419315e-10
Eb,fixed_seed_random,0.005,7.648384031563527e-10,7.62175862637664e-10,2.662540518688682e-12,0.0034933414310372164,-1.8312321072892284e-10,-1.9074496935529948e-10
Eb,fixed_seed_random,0.0025,7.648384031563527e-10,7.647713574350828e-10,6.704572126990593e-14,8.766766775205368e-05,-1.8505437527547187e-10,-1.8887823206264728e-10
