evaluation,beta,I_a_A,I_b_A,balanced_utility_A,active_polarization,gray_fraction_0p01_0p99,binarization_mean_4rho1mrho,exact_bad_cell_count,dfm_solid_value,dfm_void_value,dfm_solid_cap,dfm_void_cap,dfm_solid_g,dfm_void_g
1,1.0,3.125391166173357e-10,-1.8696429415797248e-10,1.8696429415797248e-10,Eb,1.0,1.0,4,0.3326417871524534,0.0,0.33596820502397795,0.005,-0.00990099009900991,-1.0
2,1.0,3.110493187521588e-10,-1.9255838432856793e-10,1.9255838432856793e-10,Eb,1.0,0.999999998851932,4,0.33264181321233194,5.9002226030872386e-08,0.33596820502397795,0.005,-0.009900912532507689,-0.9999881995547938
3,1.0,2.9882790599574644e-10,-2.3831074849158446e-10,2.3831074849158446e-10,Eb,1.0,0.9999999027319358,4,0.332642078512081,5.435986403975098e-07,0.33596820502397795,0.005,-0.009900122875197592,-0.9998912802719205
4,1.0,2.880920377303603e-10,-2.8846031087859153e-10,2.880920377303603e-10,Ea,1.0,0.9999994261882731,32,0.33266653494707815,4.1977888563711945e-06,0.33596820502397795,0.005,-0.009827328977943472,-0.9991604422287258
5,1.0,2.9749056409702556e-10,-3.018235721342677e-10,2.9749056409702556e-10,Ea,1.0,0.9999906244710347,38,0.3328146525332991,2.4315350833396348e-05,0.33596820502397795,0.005,-0.009386461110073685,-0.9951369298333207
6,1.0,3.237755872345773e-10,-3.486451674202406e-10,3.237755872345773e-10,Ea,1.0,0.9998163423357376,51,0.3334663185052034,0.00012111529240088625,0.33596820502397795,0.005,-0.007446795504342352,-0.9757769415198227
7,1.0,3.6986846345222055e-10,-4.234868807700399e-10,3.6986846345222055e-10,Ea,1.0,0.9986545323909081,32,0.3345900203698558,0.000427021229370587,0.33596820502397795,0.005,-0.004102128217828849,-0.9145957541258826
8,1.0,4.31150416157954e-10,-4.771896240761989e-10,4.31150416157954e-10,Ea,1.0,0.9958896885883953,37,0.33552267426452165,0.0008929980064613652,0.33596820502397795,0.005,-0.0013261098901442558,-0.821400398707727
9,1.0,5.059000107374895e-10,-5.431374948861195e-10,5.059000107374895e-10,Ea,1.0,0.9903857132621923,64,0.33543389985482547,0.0016259438898290253,0.33596820502397795,0.005,-0.0015903444467738614,-0.674811222034195
10,1.0,5.955394579421037e-10,-6.225804699196346e-10,5.955394579421037e-10,Ea,1.0,0.9802495793940582,36,0.3353716913786429,0.002928148858426516,0.33596820502397795,0.005,-0.0017755062425994783,-0.41437022831469683
11,1.0,6.819967157671917e-10,-7.224603115820432e-10,6.819967157671917e-10,Ea,1.0,0.9683732557322096,37,0.3356742213812707,0.004308731869236822,0.33596820502397795,0.005,-0.0008750341202266032,-0.1382536261526356
12,1.0,7.645319814989784e-10,-8.229932418749912e-10,7.645319814989784e-10,Ea,0.9978125,0.9589016881448562,30,0.33582716669842627,0.0048054895512102585,0.33596820502397795,0.005,-0.0004197966457617497,-0.03890208975794829
13,1.0,8.535821979221211e-10,-9.38176695707929e-10,8.535821979221211e-10,Ea,0.99640625,0.9525184139615384,26,0.33587667301983576,0.004888839597606849,0.33596820502397795,0.005,-0.00027244245965374336,-0.022232080478630123
14,1.0,9.749103451203172e-10,-1.074495682305745e-09,9.749103451203172e-10,Ea,0.9959375,0.9419828121054903,51,0.33582071039947015,0.004928806560908401,0.33596820502397795,0.005,-0.00043901363969034435,-0.014238687818319717
15,1.0,1.1392850135221245e-09,-1.3166567901445046e-09,1.1392850135221245e-09,Ea,0.995,0.9293338029264766,55,0.3357988725953509,0.004848707337919571,0.33596820502397795,0.005,-0.0005040132551084042,-0.030258532416085893
16,1.0,1.4157505515643317e-09,-1.7777049635533375e-09,1.4157505515643317e-09,Ea,0.993125,0.9069166580236814,78,0.335692864444735,0.004783895734175962,0.33596820502397795,0.005,-0.000819543561341729,-0.043220853164807616
17,1.0,1.9107757364197385e-09,-2.7376647205501377e-09,1.9107757364197385e-09,Ea,0.991875,0.8677643994089095,75,0.33581480397646074,0.004650924517102843,0.33596820502397795,0.005,-0.000456593943186534,-0.06981509657943141
18,1.0,2.476944974440904e-09,-3.73163732888343e-09,2.476944974440904e-09,Ea,0.9903125,0.8352280679836461,70,0.33895681347773254,0.005615028208023102,0.33596820502397795,0.005,0.008895509780579625,0.12300564160462035
19,1.0,2.4793821857234297e-09,-3.7012912590212575e-09,2.4793821857234297e-09,Ea,0.990625,0.8357118365101074,66,0.33690456407254615,0.005558959351927924,0.33596820502397795,0.005,0.002787046615025268,0.11179187038558469
20,1.0,2.49165062390028e-09,-3.523763579566218e-09,2.49165062390028e-09,Ea,0.9909375,0.8386122514902872,69,0.3363660727616556,0.005343835135028341,0.33596820502397795,0.005,0.0011842422340211378,0.06876702700566817
21,1.0,2.4969178939453533e-09,-3.2311358881780914e-09,2.4969178939453533e-09,Ea,0.9915625,0.8436771111344454,60,0.33557198503005276,0.005101030602127299,0.33596820502397795,0.005,-0.001179337770658706,0.020206120425459773
22,1.0,2.4921524228486904e-09,-3.159506411295716e-09,2.4921524228486904e-09,Ea,0.99171875,0.8450232801214485,64,0.3355440399783502,0.005004182197712555,0.33596820502397795,0.005,-0.0012625154383210102,0.0008364395425108917
23,1.0,2.489441658283097e-09,-3.1445634658725347e-09,2.489441658283097e-09,Ea,0.99171875,0.8453379325219842,64,0.3355421306760252,0.004970280126256259,0.33596820502397795,0.005,-0.0012681984234858001,-0.005943974748748304
24,1.0,3.040868583695921e-09,-4.0949212134385e-09,3.040868583695921e-09,Ea,0.98921875,0.8020506921422482,55,0.3382950973295751,0.0053530664169723075,0.33596820502397795,0.005,0.006925930105293965,0.07061328339446149
