factor,density_case,polarization,sio2_dz_nm,tairte4_dz_nm,au_dz_nm,yee_cell_count,compile_s,forward_s,P_Q_W,P_six_W,closure_relative,au_x_W,au_y_W,au_z_W,tairte4_x_W,tairte4_y_W,tairte4_z_W,mapping_error_relative,Tmax_K,current_A,current_nA,thermal_energy_balance_relative,thermal_residual_relative,electrical_residual_relative,raw_path,raw_bytes,raw_sha256,physics_gates_pass
1,eta_0.50_nominal,Ea,95.0,20.0,25.0,1383840,7.152314160019159,7.5887084528803825,4.50047113499892e-05,4.502750491865282e-05,0.0005062143395420615,2.1473283898649554e-08,9.975965675723384e-07,7.2933896547391374e-09,3.3227369513997405e-07,4.3061240204716625e-05,5.848342090068748e-07,2.0631899928656467e-16,0.8367799008816423,6.43954233596822e-09,6.43954233596822,5.700349032476708e-12,6.933306127512188e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f1_eta_0.50_nominal_Ea.npz,18885452,e71f522dabeb5df4c09dc7b21743ad803e63c3ec59d9f4403d6f6c2d3fdf2807,True
1,eta_0.35,Ea,95.0,20.0,25.0,1383840,7.152314160019159,7.543931517750025,2.3292313928971722e-05,2.3324618196272905e-05,0.0013849858989908302,4.088397887550798e-08,2.1346819666081435e-06,3.304685883981088e-08,2.875091557102131e-07,2.0102564031819346e-05,6.936279371187007e-07,1.606990996972656e-16,1.98739644977021,2.84701692225064e-09,2.84701692225064,4.9285219847862785e-12,8.004726723381535e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f1_eta_0.35_Ea.npz,18885452,99185c49a273627f8d75c071b2e47cd64bb4266cee566a8f1bd4587673e18736,True
1,eta_0.65,Ea,95.0,20.0,25.0,1383840,7.152314160019159,7.526881244033575,5.426966655209736e-05,5.428836596978702e-05,0.0003444461323456255,1.9435547446186828e-08,5.673038966960562e-07,4.24736136140362e-09,1.603186594990528e-07,5.3103182360187575e-05,4.1517872690708687e-07,1.2623752316606488e-16,0.8617379148624089,2.018126455619116e-09,2.0181264556191163,3.1878726441909603e-12,8.556583173814381e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f1_eta_0.65_Ea.npz,18885452,9d90f8aeb5106d137f8c37c97e6abe3d14f3aefe2b91b4892b4cb43198c66fcf,True
1,eta_0.50_nominal,Eb,95.0,20.0,25.0,1383840,8.021964881569147,7.954770512878895,8.437150850226122e-05,8.448034138581909e-05,0.0012882628286364,1.1381017912893238e-06,4.697417323486497e-08,2.034377544121656e-08,7.946241593284724e-05,9.652224791882535e-07,2.7384503502603235e-06,1.7567178451852163e-16,1.3814321577270812,8.386434143744471e-09,8.386434143744472,8.2393137243097e-12,7.202446422246925e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f1_eta_0.50_nominal_Eb.npz,18885452,2bd7f97eff3ef479b3d7adba5ef216c3c894a40e47e8688d7fdc0706e97e9b16,True
1,eta_0.35,Eb,95.0,20.0,25.0,1383840,8.021964881569147,7.886381544172764,5.043555530700898e-05,5.0533803206046045e-05,0.0019442015602203731,2.525004738370102e-06,1.4708658309806754e-07,8.176094622601662e-08,4.184962662597908e-05,1.3179173551542028e-06,4.514159058181516e-06,3.0758111362434304e-16,1.1636163805353477,-2.0331840752632397e-09,-2.03318407526324,4.34901410682119e-11,8.069315767563129e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f1_eta_0.35_Eb.npz,18885452,34803eb9b91fd0b112ca27b210acea2401cc6078d0363da5145f82f78b68c2c9,True
1,eta_0.65,Eb,95.0,20.0,25.0,1383840,8.021964881569147,7.95630943402648,0.00010596096635125193,0.00010602589926358241,0.0006124250091862595,6.687473867611862e-07,4.3851930382134426e-08,1.1077023924231281e-08,0.00010123449038377025,7.621460236029479e-07,3.2406536028111804e-06,1.4630728185834698e-16,1.481892214184992,-1.8815726817168403e-09,-1.8815726817168403,1.5878029775216103e-11,9.887171538121011e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f1_eta_0.65_Eb.npz,18885452,ffe74179e7d67faf2539c5a3413b49231d7466983dfb065e880fdecf91aa3afd,True
2,eta_0.50_nominal,Ea,47.5,10.0,12.5,1729800,7.53129031509161,18.500222701579332,4.852706273281528e-05,4.846401975219446e-05,0.001300820298092729,2.808822827362075e-08,1.092505453216438e-06,1.2246217155472989e-08,3.585830414458731e-07,4.6564045748790034e-05,4.7159404393383694e-07,1.4297657336304986e-16,0.9186552986020566,7.077369234235055e-09,7.0773692342350545,4.968769451898984e-12,6.799647780237108e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.50_nominal_Ea.npz,18885452,406228a1b3ff31351ae0991b689ea07637e5100abce46f0e3cc8f1dc2bbaf6f5,True
2,eta_0.35,Ea,47.5,10.0,12.5,1729800,7.53129031509161,18.491556216031313,2.4843575458421033e-05,2.478101387402294e-05,0.002524577271782759,5.083106258165455e-08,2.321345150374046e-06,3.735756662213049e-08,3.176843610325992e-07,2.1546764909454288e-05,5.695924083563154e-07,1.5102636598078694e-16,2.3335009001043057,3.014512192378061e-09,3.014512192378061,5.688623741780349e-12,7.931221621732147e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.35_Ea.npz,18885452,a3b617fb8b141e7050fe93cbc6811fdcc0a70a6b1a640ab50f3efe8a2bfe3cb2,True
2,eta_0.65,Ea,47.5,10.0,12.5,1729800,7.53129031509161,18.546562291681767,5.8644211086505564e-05,5.8580767638254806e-05,0.0010830081408719553,2.641456039902792e-08,6.206902872493317e-07,6.242987765829499e-09,1.721557081720936e-07,5.748197850556639e-05,3.367290373528904e-07,1.168505381389865e-16,0.9457146281511056,2.314491707258776e-09,2.314491707258776,2.469969457520663e-12,8.755504280251186e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.65_Ea.npz,18885452,0292d9a990a144acf2b4bc6e37db5c0e3438ed25d13ee9f0b77c768e0fd53614,True
2,eta_0.50_nominal,Eb,47.5,10.0,12.5,1729800,8.924397747963667,19.774154990911484,8.89203034941449e-05,8.906277691001928e-05,0.0015996965378512174,1.3987069014345438e-06,7.070070584394806e-08,3.457233039970293e-08,8.342907817165667e-05,1.3151854256384912e-06,2.6720599591715516e-06,3.1006856853947944e-16,1.4657157504121519,8.965598275854596e-09,8.965598275854596,7.161842976678623e-12,7.239261951542113e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.50_nominal_Eb.npz,18885452,c038f91a4449a95d26cfb7658477b9e221146f4e7c0aa50b033102bda7016034,True
2,eta_0.35,Eb,47.5,10.0,12.5,1729800,8.924397747963667,19.72356692329049,5.338041625013839e-05,5.345466456540948e-05,0.0013889960001570163,3.029705716224711e-06,1.686397432756746e-07,1.2382764564997062e-07,4.4000622214341694e-05,1.7058990675976262e-06,4.351721863048715e-06,1.3536758688090037e-16,1.3611810293992692,-2.2512512630322178e-09,-2.2512512630322177,3.3153417123147675e-11,8.105990036354828e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.35_Eb.npz,18885452,ed9ece45677c230aeb849f0d881027a94cae4270f8daf127d155b14c52eaec05,True
2,eta_0.65,Eb,47.5,10.0,12.5,1729800,8.924397747963667,19.759080927819014,0.00011234864275763333,0.00011247106645653864,0.001088490602626323,9.555495745054545e-07,5.502837087344322e-08,2.034253015414013e-08,0.00010702245367343211,1.0663681381664813e-06,3.2289004705017047e-06,1.2174635698819027e-16,1.5853759735672825,-2.355337996818599e-09,-2.355337996818599,3.706935386878077e-13,8.082482628381898e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.65_Eb.npz,18885452,befbccd710e9c2e77fc89e2dc007670ccf4826ab9a275177963792290ae53e74,True
