polarization,direction,step,AD_A,FD_A,absolute_error_A,relative_error,plus_A,minus_A
Ea,adjoint_aligned,0.01,3.2174094982277016e-09,3.217523279913968e-09,1.1378168626619964e-13,3.5363127588385935e-05,3.4547509498805417e-10,2.811246293897748e-10
Ea,adjoint_aligned,0.005,3.2174094982277016e-09,3.2174379395859203e-09,2.8441358218704e-14,8.839753478621677e-06,3.293800110110124e-10,2.972056316151532e-10
Ea,adjoint_aligned,0.0025,3.2174094982277016e-09,3.2174166235623113e-09,7.125334609650323e-15,2.2146135994539557e-06,3.213346029093944e-10,3.052475197915828e-10
Ea,central_localized,0.01,-2.5360562063332274e-11,-2.5361345465089018e-11,7.834017567440781e-16,3.088959762889805e-05,3.1303794033250377e-10,3.1354516724180555e-10
Ea,central_localized,0.005,-2.5360562063332274e-11,-2.5360754765166894e-11,1.9270183462012307e-16,7.598426640077758e-06,3.1316394141173215e-10,3.134175489593838e-10
Ea,central_localized,0.0025,-2.5360562063332274e-11,-2.5360606129537574e-11,4.4066205299806426e-17,1.7375848619202515e-06,3.132271415571049e-10,3.133539445877526e-10
Ea,asymmetric_smooth,0.01,1.2101756970554846e-10,1.2121767854871464e-10,2.0010884316618253e-13,0.0016508222691772084,3.146447848149994e-10,3.122204312440251e-10
Ea,asymmetric_smooth,0.005,1.2101756970554846e-10,1.2106760045141225e-10,5.0030745863789136e-14,0.0004132463654788289,3.139313423458457e-10,3.1272066634133157e-10
Ea,asymmetric_smooth,0.0025,1.2101756970554846e-10,1.2103009159399165e-10,1.2521888443195026e-14,0.00010346095155575885,3.1360193419397233e-10,3.1299678373600237e-10
Ea,fixed_seed_random,0.01,6.869469714580319e-11,6.869499926613926e-11,3.0212033607047814e-16,4.397996059363779e-06,3.13977118749541e-10,3.1260321876421823e-10
Ea,fixed_seed_random,0.005,6.869469714580319e-11,6.869477294965291e-11,7.580384972294048e-17,1.1034878851480867e-06,3.136338729728902e-10,3.1294692524339365e-10
Ea,fixed_seed_random,0.0025,6.869469714580319e-11,6.869474884993188e-11,5.170412869184584e-17,7.526649352019156e-07,3.1346219286138194e-10,3.131187191171323e-10
Eb,adjoint_aligned,0.01,7.850835996360562e-09,7.851119789388891e-09,2.837930283293689e-13,3.6146821847365874e-05,-1.091281701135648e-10,-2.661505659013426e-10
Eb,adjoint_aligned,0.005,7.850835996360562e-09,7.850906890001807e-09,7.089364124534981e-14,9.029993889703803e-06,-1.4840670030806883e-10,-2.269157692080869e-10
Eb,adjoint_aligned,0.0025,7.850835996360562e-09,7.850854258473932e-09,1.826211337022952e-14,2.3261307329094853e-06,-1.6803955614002648e-10,-2.0729382743239614e-10
Eb,central_localized,0.01,6.9206588319429294e-12,6.920871576474892e-12,2.1274453196297895e-16,3.0739557816118185e-05,-1.8759960730311945e-10,-1.8773802473464894e-10
Eb,central_localized,0.005,6.9206588319429294e-12,6.920720440888626e-12,6.160894569661627e-17,8.90210003753679e-06,-1.8763398778493594e-10,-1.8770319498934483e-10
Eb,central_localized,0.0025,6.9206588319429294e-12,6.920685071783007e-12,2.6239840077191063e-17,3.791509049324618e-06,-1.8765123345908545e-10,-1.8768583688444436e-10
Eb,asymmetric_smooth,0.01,2.9642870210253986e-11,3.0116105555575667e-11,4.732353453216808e-13,0.015713696594945904,-1.8698662419879074e-10,-1.8758894630990225e-10
Eb,asymmetric_smooth,0.005,2.9642870210253986e-11,2.976101561173044e-11,1.1814540147645684e-13,0.003969804089276083,-1.8742453524140604e-10,-1.8772214539752335e-10
Eb,asymmetric_smooth,0.0025,2.9642870210253986e-11,2.9671900749571785e-11,2.9030539317799104e-14,0.0009783848888823903,-1.8757053975466953e-10,-1.877188992584174e-10
Eb,fixed_seed_random,0.01,1.5484538928982367e-10,1.5484626495077112e-10,8.75660947444405e-16,5.6550343511533585e-06,-1.8612423042689364e-10,-1.8922115572590907e-10
Eb,fixed_seed_random,0.005,1.5484538928982367e-10,1.548455900316307e-10,2.0074180702924356e-16,1.2963998973960933e-06,-1.868953264380688e-10,-1.884437823383851e-10
Eb,fixed_seed_random,0.0025,1.5484538928982367e-10,1.5484482783668454e-10,5.614531391368725e-16,3.6259082526736984e-06,-1.8728166523271597e-10,-1.880558893718994e-10
