case_contract_sha256,factor,density_case,polarization,grid_edges_sha256,source_incident_power_W,source_power_scale,courant_factor,total_periods,window_periods,sio2_dz_nm,tairte4_dz_nm,au_dz_nm,yee_cell_count,compile_s,forward_s,P_Q_W,P_closed_td_W,P_closed_phasor_W,Q_vs_closed_td_relative,Q_vs_closed_phasor_relative,closed_td_vs_phasor_relative,complex_E_spatial_NRMSE,volume_integrated_E2_change_relative,au_x_W,au_y_W,au_z_W,tairte4_x_W,tairte4_y_W,tairte4_z_W,mapping_error_relative,Tmax_K,current_A,current_nA,thermal_energy_balance_relative,thermal_residual_relative,electrical_residual_relative,raw_path,raw_bytes,raw_sha256,physics_gates_pass
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,1,eta_0.50_nominal,Ea,c6a12b95e656a88d6d9fcf448e30539f7befaa0a894dc6d44f5de42929949e1c,1.8564145446570146e-12,153521744.8173224,0.25,40,4,95.0,20.0,25.0,1383840,7.787109635770321,237.69404987618327,4.4854851420619617e-05,4.479882051347743e-05,4.4763257381654535e-05,0.001250722820377218,0.0020461879747522655,0.0007944714907514257,4.596089664438284e-05,7.931621089937182e-06,3.465713144258901e-08,1.0425184873941073e-06,2.8498420444245236e-08,3.1425633303967883e-07,4.288368253129326e-05,5.512385170057364e-07,1.91519588314915e-16,0.8369330485059743,-6.3618450558090235e-09,-6.361845055809024,8.83921983685276e-11,9.915527694620808e-10,7.764770488469235e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f1_eta_0.50_nominal_Ea.npz,18885452,409e681d74968b4ad8ec7aa623b1988c4210df404a25d806c0f40b996d863731,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,1,eta_0.35,Ea,c6a12b95e656a88d6d9fcf448e30539f7befaa0a894dc6d44f5de42929949e1c,1.8564145446570146e-12,153521744.8173224,0.25,40,4,95.0,20.0,25.0,1383840,7.787109635770321,24.96885632351041,2.2254021454707166e-05,2.2205328636555894e-05,2.2165772881065586e-05,0.002192843841595314,0.003981299191103908,0.0017845421272946883,5.417411870085402e-05,2.121070084249581e-06,4.2218804855355515e-08,2.202587701006173e-06,2.5957056181076603e-08,2.3507625923041543e-07,1.91347914422027e-05,6.133901912314484e-07,3.3909703885280023e-16,0.5934890646881711,-3.3778625020482925e-09,-3.3778625020482926,3.666742488442705e-12,7.016498635738391e-10,8.921363174992803e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f1_eta_0.35_Ea.npz,18885452,2626b652df3883046e9d5c0ea3ac9b2ff0c93d19f1f048f591791cb2ca7325ba,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,1,eta_0.65,Ea,c6a12b95e656a88d6d9fcf448e30539f7befaa0a894dc6d44f5de42929949e1c,1.8564145446570146e-12,153521744.8173224,0.25,40,4,95.0,20.0,25.0,1383840,7.416940242052078,24.723411180078983,5.4096208558755733e-05,5.403781597826772e-05,5.400394603730992e-05,0.0010805873522256588,0.0017084403680810369,0.0006271752981605573,2.4139508919977748e-05,7.868061840224786e-06,2.2731012227352055e-08,5.957262275238165e-07,1.1359669036112084e-08,1.550644775543979e-07,5.2905436908715664e-05,4.058902636983916e-07,0.0,0.8615583494299319,-2.0861920417323443e-09,-2.0861920417323443,1.2831961045474987e-12,7.526974324710918e-10,9.253609599609297e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f1_eta_0.65_Ea.npz,18885452,06959622f64ecb3740d88ddbae8d6110ca2bb2bfa4fd5ce2acc21682903ef2d2,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,1,eta_0.50_nominal,Eb,c6a12b95e656a88d6d9fcf448e30539f7befaa0a894dc6d44f5de42929949e1c,1.8564145446570146e-12,153521744.8173224,0.25,40,4,95.0,20.0,25.0,1383840,8.572164721786976,26.38331000134349,8.41751618291237e-05,8.427002974816474e-05,8.425262631800707e-05,0.0011257610721694105,0.0009194311473565782,0.0002065624647946695,2.977800672476729e-05,1.038597480779669e-05,1.2363096423628625e-06,7.323845899880205e-08,5.636348523415278e-08,7.907603700448823e-05,9.762747052535135e-07,2.7569385327861396e-06,1.6365958049827517e-16,1.3786920220772596,-8.307106915416907e-09,-8.307106915416906,6.808048815607906e-12,7.270247054563198e-10,7.764770488469235e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f1_eta_0.50_nominal_Eb.npz,18885452,f2eb522e151025e41d4924f52dbe547f1120302f143f9e44c6cabf759989f339,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,1,eta_0.35,Eb,c6a12b95e656a88d6d9fcf448e30539f7befaa0a894dc6d44f5de42929949e1c,1.8564145446570146e-12,153521744.8173224,0.25,40,4,95.0,20.0,25.0,1383840,8.572164721786976,26.50133128091693,4.787670802715105e-05,4.7936734904238426e-05,4.790679328856077e-05,0.001252210381188691,0.0006279957255436572,0.0006249972837319378,4.839898090625315e-05,7.129766152685084e-06,2.9732707074586282e-06,1.2124496963435983e-07,1.1998307280004156e-07,3.9068826409180386e-05,1.1410473784002712e-06,4.452335489677362e-06,1.5172253427877052e-16,0.923617898186158,1.7255030101313565e-10,0.17255030101313565,6.395701240866662e-11,8.483487296829734e-10,8.921363174992803e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f1_eta_0.35_Eb.npz,18885452,69df53974485cc202ae00f85d699f7ce77c3c09932459423d2254cf621d7914f,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,1,eta_0.65,Eb,c6a12b95e656a88d6d9fcf448e30539f7befaa0a894dc6d44f5de42929949e1c,1.8564145446570146e-12,153521744.8173224,0.25,40,4,95.0,20.0,25.0,1383840,8.572164721786976,26.39185882732272,0.00010572640760661282,0.0001057971787994334,0.000105785752057465,0.0006689327033450629,0.0005609871811465019,0.00010801777882335866,1.7995374494447205e-05,1.0131534379960946e-05,8.780070676011654e-07,5.883631544690975e-08,3.0609464220283374e-08,0.0001005214618167864,8.465384406279821e-07,3.3909545019300805e-06,2.18882230189805e-16,1.5864660708267888,1.803427351037037e-09,1.8034273510370369,1.727778396773927e-11,9.91303711243869e-10,9.253609599609297e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f1_eta_0.65_Eb.npz,18885452,f0d33afaa4a34b7ec1df2a60607e00fd77dac11fd9ea63f62ffadfd82660e9b9,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,2,eta_0.50_nominal,Ea,7f5caf9fb99480a15e0840d1b2e935abd4299f50089bf3ba31a285207eb37a5e,1.877031733168999e-12,151835472.44501483,0.25,40,4,47.5,10.0,12.5,2767680,9.953940343111753,99.08450308069587,4.778692934915953e-05,4.777370282458357e-05,4.7749534783877216e-05,0.0002768578484386278,0.0007831398871542929,0.0005061419093556362,0.00011090432537644066,1.7078308597444452e-06,4.574130032896097e-08,1.1494909502074028e-06,3.403756077130657e-08,3.343250405209532e-07,4.5765856359889854e-05,4.5747813744105197e-07,1.722634322145366e-16,0.9061890966855736,-6.865332751356555e-09,-6.865332751356554,2.7533618854924e-12,6.871750994240093e-10,7.764770488469235e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f2_eta_0.50_nominal_Ea.npz,18885452,29058b07708fab2453673634901f30f24461955eb1a05e63e6576e4d2d35f308,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,2,eta_0.35,Ea,7f5caf9fb99480a15e0840d1b2e935abd4299f50089bf3ba31a285207eb37a5e,1.877031733168999e-12,151835472.44501483,0.25,40,4,47.5,10.0,12.5,2767680,9.953940343111753,98.8202853538096,2.3607175615855353e-05,2.3593520562137476e-05,2.356636823323214e-05,0.0005787628718619747,0.0017315940334696818,0.0011521643316702527,0.00012501104096758277,1.8006718454005124e-05,4.949344113547377e-08,2.406710025872771e-06,3.5584303228003915e-08,2.5302321016678393e-07,2.0356081930179668e-05,5.062827052726539e-07,3.209158944925704e-16,0.6472511735252477,-3.6422645754456146e-09,-3.6422645754456147,4.299610160361812e-12,6.747532353908345e-10,8.921363174992803e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f2_eta_0.35_Ea.npz,18885452,617b9eb9a7024b24edba2d8faf2c0b63aa4d6a00ea657611a652cf666e478dc1,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,2,eta_0.65,Ea,7f5caf9fb99480a15e0840d1b2e935abd4299f50089bf3ba31a285207eb37a5e,1.877031733168999e-12,151835472.44501483,0.25,40,4,47.5,10.0,12.5,2767680,9.953940343111753,98.72900472208858,5.7656971370672075e-05,5.7644323103394936e-05,5.762141176446695e-05,0.00021941913090820276,0.0006171248693190731,0.000397618493306636,6.868213148223404e-05,8.334676231670202e-07,3.0445109370288226e-08,6.511108256221265e-07,1.3163305117341032e-08,1.623834211636203e-07,5.646598720654901e-05,3.3388150284969005e-07,1.18960598020293e-16,0.9317134137507929,-2.3161500964866506e-09,-2.3161500964866506,4.465799318226483e-12,9.441232197468719e-10,9.253609599609297e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f2_eta_0.65_Ea.npz,18885452,4b3630d974f1b79efda8a39dc4c60256dd779fb9c76f887e9bd7cbd627acbb7c,True
04d749c9ea831675837a53333c04a6448ed855269dd8672fb9b896a7d429e47d,2,eta_0.50_nominal,Eb,7f5caf9fb99480a15e0840d1b2e935abd4299f50089bf3ba31a285207eb37a5e,1.877031733168999e-12,151835472.44501483,0.25,40,4,47.5,10.0,12.5,2767680,10.451183151453733,100.28750298917294,8.406280561918482e-05,8.414346990368531e-05,8.413283487562358e-05,0.0009586517479351132,0.0008323653487046713,0.000126407580078036,7.076176488888008e-05,4.709065873276353e-06,1.5545932447983738e-06,9.74105038207405e-08,6.547086608265003e-08,7.824353822133674e-05,1.331598719086762e-06,2.7701940640595488e-06,1.2329628339243105e-16,1.372389267248051,-7.920062712382784e-09,-7.920062712382784,9.200449759507261e-12,7.850325617018471e-10,7.764770488469235e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/shared_linear_full_z_convergence/f2_eta_0.50_nominal_Eb.npz,18885452,112f5374a77b4ef0ae070d4287aa6e9d8960dac39dfbc8f9045d703c0f91c60b,True
