coarse_factor,fine_factor,density_case,polarization,P_Q_relative_change,P_closed_phasor_relative_change,remapped_Q_volume_L2_NRMSE,Ta_temperature_NRMSE,Tmax_relative_change,current_relative_change,current_sign_preserved,au_x_W_change_over_total,au_y_W_change_over_total,au_z_W_change_over_total,tairte4_x_W_change_over_total,tairte4_y_W_change_over_total,tairte4_z_W_change_over_total,comparison_pass
1,2,eta_0.50_nominal,Ea,0.061357320264635994,0.06254045019996735,0.29795214064485587,0.06726708600492869,0.07642560303683452,0.07333769735313188,True,0.00023194980379225613,0.0022385297458995842,0.0001159132926618721,0.0004199622732534364,0.06031301587799731,0.001962050728968495,False
1,2,eta_0.50_nominal,Eb,0.0013365745898116684,0.0014238369901665743,0.301111310011121,0.020533647006193107,0.00459254162038657,0.048868830600165676,True,0.003786259572127255,0.0002875474431752954,0.00010834019613567074,0.00990329524478186,0.004226887399439313,0.00015768604409253768,False
1,2,eta_0.35,Ea,0.057319612611318266,0.059431955671111925,0.3021954863656574,0.06496443020531124,0.08306220372573728,0.07259276966857185,True,0.0003081536054331028,0.008646622035102872,0.0004078102015923217,0.0007602328727674964,0.051733867187259384,0.004537073290836941,False
1,2,eta_0.35,Eb,0.0166196558127559,0.01721156165715256,0.29026824594475215,0.03613856414227621,0.015213181638694315,0.7657227426992015,True,0.010818858044511909,0.0002943453281668917,0.002220787119555025,0.0010943337807304016,0.0075475510142726954,0.0031675519130202477,False
1,2,eta_0.65,Ea,0.06175771510828206,0.06277988713542394,0.29755267357128806,0.06650332972529803,0.07529682763548304,0.09928460815347322,True,0.00013379296483235055,0.0009605880569453922,3.128218562909792e-05,0.00012693943915592618,0.06175402927328334,0.0012489168115640853,False
1,2,eta_0.65,Eb,0.014040762685267522,0.013631108807374205,0.29833731118761453,0.029657034157618858,0.4267274147723682,0.40314590772576464,True,0.0034403356061263766,0.00010954919633112733,0.00019139607960670017,0.005207238980088294,0.0035066776842288213,0.0015855651388862256,False
2,4,eta_0.50_nominal,Ea,0.03199688920524133,0.030362948109175242,0.18333202391921002,0.0351930888260741,0.040604684768497074,0.03304145607041782,True,0.0005786778710199067,0.0018815306413182133,2.5205941357735537e-05,0.00033645560979849695,0.030420340562603808,0.0011949095381413176,False
2,4,eta_0.50_nominal,Eb,0.008575613439132176,0.010646937533942955,0.3407150087179627,0.027289620642730127,0.12824785578573736,0.17432976250947366,True,0.019709615962675352,0.00032653441432604224,0.0001331863634766271,0.010620712716413802,0.0015203099510498804,0.0024933205359818117,False
2,4,eta_0.35,Ea,0.03314162800588135,0.032002595603344494,0.1834947972450994,0.03633881122169714,0.046297812331877713,0.05184537435718952,True,0.0006873742798977851,0.005699712274231721,0.0001812327912709731,0.00046004585722784114,0.028696362054168603,0.00258309925091565,False
2,4,eta_0.35,Eb,0.01827098462557276,0.019889296593059106,0.31209181684553894,0.03300103838405488,0.017450433696203256,0.34763059146130054,True,0.02480234319080387,0.0003691011945089617,0.0020620001024405153,0.0062230481450327915,0.003263608657934438,0.006003020375082237,False
2,4,eta_0.65,Ea,0.03211670805535388,0.030373808856962413,0.183110941493656,0.03503185584736385,0.04004361618140976,0.02978292883452629,True,0.0005051503734788418,0.0011167622067137345,4.117887222276398e-05,0.0001838925101725139,0.031096540677838472,0.0008268165850723868,False
2,4,eta_0.65,Eb,0.012929216137398765,0.01490723518607644,0.340509632463039,0.03481448200843936,0.30150159825099543,0.37664428983934306,True,0.01657754796096262,0.00020539217618101903,0.0003878406782451196,0.002660433248080603,0.0005898304739705187,0.0021709619038799447,False
