case_type,beta,direction,step,adjoint,finite_difference,relative_error
jvp_vjp_dot,2.0,uniform,,180978.4920063567,180978.49200635648,1.2855503968272747e-15
jvp_vjp_dot,2.0,smooth_asymmetric,,21817.875871779375,21817.87587177936,1.9647280089354223e-16
jvp_vjp_dot,2.0,central_localized,,1297.9792104943062,1297.9792104943072,3.1855870582577893e-16
jvp_vjp_dot,2.0,design_edge_localized,,370.19583178384414,370.195831783844,7.834778929891477e-17
jvp_vjp_dot,2.0,fixed_seed_random,,-139.87689342619805,-139.87689342619808,8.919295692802005e-19
jvp_vjp_dot,4.0,uniform,,278418.84468630253,278418.84468630236,6.260728988457127e-16
jvp_vjp_dot,4.0,smooth_asymmetric,,31526.370362840684,31526.37036284065,2.8817826000316964e-16
jvp_vjp_dot,4.0,central_localized,,1954.4424384457561,1954.4424384457554,1.5559282304685572e-16
jvp_vjp_dot,4.0,design_edge_localized,,569.7700990487665,569.7700990487664,5.084398633573638e-17
jvp_vjp_dot,4.0,fixed_seed_random,,-211.56219030941313,-211.56219030941296,3.4750783807227295e-18
jvp_vjp_dot,8.0,uniform,,490349.82416590967,490349.824165909,1.290259053704292e-15
jvp_vjp_dot,8.0,smooth_asymmetric,,44935.734904536046,44935.734904536075,1.453380549910247e-16
jvp_vjp_dot,8.0,central_localized,,3173.9783892754317,3173.9783892754303,1.765936286189784e-16
jvp_vjp_dot,8.0,design_edge_localized,,992.1897569155773,992.189756915577,5.715496310583302e-17
jvp_vjp_dot,8.0,fixed_seed_random,,-356.3416635348753,-356.3416635348749,4.5577006841893e-18
jvp_vjp_dot,16.0,uniform,,765022.1539095129,765022.1539095127,2.8478472855164605e-16
jvp_vjp_dot,16.0,smooth_asymmetric,,40767.92602369262,40767.92602369265,8.927966124063549e-17
jvp_vjp_dot,16.0,central_localized,,3851.221845374324,3851.221845374324,0.0
jvp_vjp_dot,16.0,design_edge_localized,,1361.368305128902,1361.3683051289022,3.511729565501047e-17
jvp_vjp_dot,16.0,fixed_seed_random,,-528.8587586025683,-528.8587586025681,1.5824128829669626e-18
jvp_vjp_dot,32.0,uniform,,933154.373704598,933154.3737045978,1.957059051443006e-16
jvp_vjp_dot,32.0,smooth_asymmetric,,18289.434957656547,18289.434957656533,3.118029657909663e-17
jvp_vjp_dot,32.0,central_localized,,2832.7121976463573,2832.7121976463573,0.0
jvp_vjp_dot,32.0,design_edge_localized,,849.7663920564007,849.7663920564008,1.2579871307795883e-17
jvp_vjp_dot,32.0,fixed_seed_random,,-627.8502949333852,-627.8502949333852,0.0
