evaluation_index,tag,global_iteration,stage_iteration,role,beta,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance,constraint_contract
0,run003_b002_s000_g000_stage_baseline,0,0,stage_baseline,2.0,1.351217541491766e-20,9.775174754356877e-08,0.0,0.5000000006153631,0.0,0.0,1.0,0.9712101531063608,0.03731852068790568,0.03731851955307981,0.04,True,158,0,5.590359586552355e-06,9.419826543497526e-11,8.896723848470695e-14,legacy_zhou_p8_v1
1,run003_b002_s001_g001_accepted_mma,1,1,accepted_mma,2.0,1.8796372223896868e-20,1.359794537848302e-07,0.39106928727001034,0.4975544869282839,0.024853998764259984,0.02625720484255245,1.0,0.958510736476021,0.038896681905517885,0.03780527674016258,0.04,True,45,3,3.829221941220069e-06,7.446036177264718e-11,1.8381278744794206e-12,legacy_zhou_p8_v1
2,run003_b002_s002_g002_accepted_mma,2,2,accepted_mma,2.0,2.3986650037329063e-20,1.7352771754844872e-07,0.2761318913887813,0.4967976616923013,0.024281789955999975,0.02625720483387095,1.0,0.9429689273306036,0.03978261366357976,0.03889952778536891,0.04,True,54,3,7.810920376137798e-07,9.046813736090747e-11,8.903419221215312e-13,legacy_zhou_p8_v1
3,run003_b002_s003_g003_accepted_mma,3,3,accepted_mma,2.0,2.855746306452692e-20,2.0659455892546493e-07,0.19055653957866409,0.4989973348389849,0.02306674961568617,0.026257204836126258,1.0,0.9273149525588457,0.040044125270770725,0.03986862522590854,0.04,True,39,9,3.4531884797271486e-06,9.800860415416097e-11,1.113404368572185e-12,legacy_zhou_p8_v1
4,run003_b002_s004_g004_accepted_mma,4,4,accepted_mma,2.0,3.0818498389292675e-20,2.2295167000985652e-07,0.07917493650107646,0.49815069493268666,0.010866330270217313,0.013129915193695163,1.0,0.9191707545581104,0.03999352366972407,0.039838863416140936,0.04,True,40,7,4.268528102253688e-06,7.557973997498357e-11,9.643590465937302e-13,legacy_zhou_p8_v1
5,run003_b002_s005_g005_accepted_mma,5,5,accepted_mma,2.0,3.3231501702141965e-20,2.404081700490011e-07,0.0782972383134554,0.49715918502330086,0.011213895573976123,0.013129915193632602,1.0,0.9093261895182171,0.040058527695233666,0.04001881934374849,0.04,True,42,8,6.0876351658655715e-06,7.685649575311214e-11,7.989867946368416e-13,legacy_zhou_p8_v1
6,run003_b002_s006_g006_accepted_mma,6,6,accepted_mma,2.0,3.553734351758806e-20,2.5708942677469794e-07,0.06938722890447845,0.49577891787534095,0.010625143199957235,0.013129915184102114,1.0,0.8995629815815247,0.04006851299689305,0.04008684165890879,0.04,True,43,9,8.011306234309798e-06,8.118247682583441e-11,2.1033753022651153e-12,legacy_zhou_p8_v1
7,run003_b002_s007_g007_accepted_mma,7,7,accepted_mma,2.0,3.7915486461029257e-20,2.742937348517775e-07,0.06691954738440747,0.4933285533333085,0.0106828555905855,0.013129915193702879,1.0,0.889091068967562,0.040058760645274756,0.04003763177430268,0.04,True,41,42,1.0231023912148467e-05,8.328744524607363e-11,2.217007963200729e-12,legacy_zhou_p8_v1
8,run003_b002_s008_g008_accepted_mma,8,8,accepted_mma,2.0,4.282862420968171e-20,3.098370715910881e-07,0.12958129269163762,0.48855188162191454,0.020916589761732017,0.026257204842687676,1.0,0.8650092765279841,0.04007230888132011,0.04012081833224037,0.04,True,41,4,1.4844371412795298e-05,8.645029950342134e-11,2.030309766513589e-12,legacy_zhou_p8_v1
9,run003_b002_s009_g009_accepted_mma,9,9,accepted_mma,2.0,4.800943438720896e-20,3.473168432040058e-07,0.12096606587601036,0.4830274060560471,0.021646055947883453,0.026257204679178803,1.0,0.8362062576460771,0.039955152507009074,0.04000754698209655,0.04,True,39,3,2.0233593402788435e-05,9.035077536448884e-11,2.365555033568997e-12,legacy_zhou_p8_v1
10,run003_b002_s010_g010_accepted_mma,10,10,accepted_mma,2.0,5.343676824586414e-20,3.865800523390951e-07,0.11304723598454167,0.4780484208580157,0.022098405445310672,0.026257203412939578,1.0,0.8021826891420661,0.039819682072535265,0.03984920029930508,0.04,True,49,5,2.6264861532838842e-05,9.46146885021819e-11,2.7926416191449275e-12,legacy_zhou_p8_v1
11,run003_b002_s011_g011_accepted_mma,11,11,accepted_mma,2.0,5.886434939768802e-20,4.2584505047844567e-07,0.1015701609583016,0.47368235233440026,0.02202099543181269,0.02625720472824833,1.0,0.7645238661819196,0.03950124707203762,0.039618146152468246,0.04,True,42,6,3.2796182069135805e-05,9.85831478966623e-11,3.3453213348844865e-12,legacy_zhou_p8_v1
12,run003_b002_s012_g012_accepted_mma,12,12,accepted_mma,2.0,6.421179627257538e-20,4.645303295593804e-07,0.09084355691693738,0.4692142456260427,0.021428019465664812,0.026257204765094466,1.0,0.7245355314897919,0.03899416628095318,0.03907407846102463,0.04,True,41,4,4.050579191172045e-05,9.080398704062488e-11,2.2051845575410784e-12,legacy_zhou_p8_v1
13,run003_b002_s013_g013_accepted_mma,13,13,accepted_mma,2.0,6.945593240509902e-20,5.024682230198675e-07,0.08166935729788012,0.4646988398291723,0.020804844900870565,0.026257204834417014,1.0,0.6825935904552771,0.03833761482577082,0.03820678792924834,0.04,True,46,2,4.841961440710779e-05,9.285827961002136e-11,2.3451302581925146e-12,legacy_zhou_p8_v1
14,run003_b002_s014_g014_accepted_mma,14,14,accepted_mma,2.0,7.45757703279962e-20,5.395069002672412e-07,0.07371347191822175,0.46017251849996227,0.020159040395493346,0.02625720336087356,1.0,0.6390971189419921,0.03757424044256493,0.03703790821102799,0.04,True,36,5,5.7937749499176546e-05,9.453595423621923e-11,3.72081419324782e-12,legacy_zhou_p8_v1
