polarization,metric,value,unit
E_parallel_b,native_P_Q_W,5.4760871978685217e-14,W
E_parallel_b,P_six_W,5.4747441866463551e-14,W
E_parallel_b,closure,2.4525015282616277e-04,1
E_parallel_b,mapped_Q_W,5.4257803999594013e-14,W
E_parallel_b,maximum_temperature_rise_K,2.2287086061126983e-09,K
E_parallel_b,maximum_flake_average_temperature_rise_K,2.3224251792422856e-10,K
E_parallel_b,strict_max_abs_dTdx_K_m,1.0064668328979668e-04,K/m
E_parallel_b,strict_max_abs_dTdy_K_m,1.0740064760101723e-04,K/m
E_parallel_b,strict_max_gradient_K_m,1.0740930025344887e-04,K/m
E_parallel_b,current_x_term_A,7.4602925343095684e-20,A
E_parallel_b,current_y_term_A,4.5370002761950144e-20,A
E_parallel_b,full_current_A,1.1997292810504584e-19,A
E_parallel_b,FOM_A_per_W,8.6792563151894733e-07,A/W
E_parallel_b,auto_shutoff,8.6929900000000006e-08,1
E_parallel_b,thermal_residual,8.9466271339077323e-11,1
E_parallel_b,thermal_energy_balance,6.4017504818712021e-12,1
E_parallel_a,native_P_Q_W,8.2905864671086468e-14,W
E_parallel_a,P_six_W,8.2906157468688291e-14,W
E_parallel_a,closure,3.5316749776195645e-06,1
E_parallel_a,mapped_Q_W,8.1792697834126714e-14,W
E_parallel_a,maximum_temperature_rise_K,3.0248864405226931e-09,K
E_parallel_a,maximum_flake_average_temperature_rise_K,5.1060546729473366e-10,K
E_parallel_a,strict_max_abs_dTdx_K_m,2.8506817495742949e-04,K/m
E_parallel_a,strict_max_abs_dTdy_K_m,2.6834697195231955e-04,K/m
E_parallel_a,strict_max_gradient_K_m,3.0242765289053403e-04,K/m
E_parallel_a,current_x_term_A,1.2808273537313259e-19,A
E_parallel_a,current_y_term_A,7.3753999255285022e-20,A
E_parallel_a,full_current_A,2.0183673462841763e-19,A
E_parallel_a,FOM_A_per_W,1.4601567047918624e-06,A/W
E_parallel_a,auto_shutoff,8.7721200000000006e-08,1
E_parallel_a,thermal_residual,8.5006906224191482e-11,1
E_parallel_a,thermal_energy_balance,1.0122085435451173e-11,1
