evaluation_index,tag,global_iteration,stage_iteration,role,beta,constraint_contract,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,solid_constraint_cap,void_constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance
0,run008_Ea_b002_s000_g000_stage_baseline,0,0,stage_baseline,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,4.316738294628346e-20,3.122877693863457e-07,0.0,0.5000000006153631,0.0,0.0,1.0,0.9712101531063608,0.0011921756743704381,2.563430041770502e-05,0.0014902195929630477,3.204287552213128e-05,True,158,0,2.9910558014990857e-05,9.359315446527764e-11,1.9274724578285794e-12
1,run008_Ea_b002_s001_g001_accepted_mma,1,1,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.026464356395223e-20,3.6363180591974783e-07,0.16441257572877288,0.4995585933631081,0.012636521448904783,0.013129915194018904,1.0,0.9645210632971755,0.0009244644063328489,3.265484210825129e-05,0.0014902195929630477,3.204287552213128e-05,False,41,0,3.0397548004256167e-05,9.921265084260239e-11,2.3544328388636385e-12
2,run008_Ea_b002_s002_g002_accepted_mma,2,2,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.2026090716718707e-20,3.7637472348122886e-07,0.03504346251904417,0.4994363679631249,0.003147256519902298,0.003282581374927762,1.0,0.9626593949513937,0.0008715988480223963,3.509152130887109e-05,0.0014902195929630477,3.204287552213128e-05,False,36,0,3.0507496462967922e-05,9.791035999510448e-11,2.439530517263307e-12
3,run008_Ea_b002_s003_g003_accepted_mma,3,3,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.553323609150523e-20,4.0174662539542674e-07,0.06741128011871728,0.49919556850669505,0.0062896861078292916,0.006565121716534172,1.0,0.9587098945359656,0.0007518716079598461,3.4091889041271505e-05,0.0014902195929630477,3.204287552213128e-05,False,40,1,3.0712566533706565e-05,9.970922439691497e-11,2.584599910892373e-12
4,run008_Ea_b002_s004_g004_accepted_mma,4,4,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.727799522816664e-20,4.1436881608005686e-07,0.031418286767702135,0.4990733685958912,0.0031365192196790813,0.0032825813746893417,1.0,0.9566235919483926,0.0007000851180528941,3.306410404766e-05,0.0014902195929630477,3.204287552213128e-05,False,40,1,3.0785255966932286e-05,6.732977452251392e-11,2.064485040682923e-12
5,run008_Ea_b002_s005_g005_accepted_mma,5,5,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.420031277204979e-20,4.64447253947214e-07,0.12085474563675155,0.4985724512737375,0.012517228271931235,0.013129915194071362,1.0,0.9475395988439931,0.0005355916330559534,3.4021628100143726e-05,0.0014902195929630477,3.204287552213128e-05,False,44,0,3.125636968780894e-05,7.008885359895213e-11,1.9707560927141226e-12
6,run008_Ea_b002_s006_g006_accepted_mma,6,6,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.762425718655947e-20,4.892172513556885e-07,0.053332207689809494,0.4983089576875219,0.006226541162570792,0.006565121718176747,1.0,0.9425625077936347,0.00048825164822459996,3.453594889237318e-05,0.0014902195929630477,3.204287552213128e-05,False,40,1,3.144434324436018e-05,7.13743293338346e-11,1.9385116621092332e-12
7,run008_Ea_b002_s007_g007_accepted_mma,7,7,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.10223848920911e-20,5.138004817676627e-07,0.05025012986326756,0.4980359157798217,0.006205653202334786,0.006565121718223321,1.0,0.9373029490474625,0.000454993029000868,3.390702778520471e-05,0.0014902195929630477,3.204287552213128e-05,False,42,0,3.163821552852748e-05,7.925949909852089e-11,2.3855083871595496e-12
8,run008_Ea_b002_s008_g008_accepted_mma,8,8,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.439385487320573e-20,5.381908609867476e-07,0.04747052617617846,0.4977565450337304,0.00618605148056232,0.006565121715004951,1.0,0.9317640328934548,0.00042964562597981755,3.4943217092888724e-05,0.0014902195929630477,3.204287552213128e-05,False,36,1,3.1891686443616105e-05,7.900258541247554e-11,2.2605246524182896e-12
9,run008_Ea_b002_s009_g009_accepted_mma,9,9,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.77375700106903e-20,5.623804520733279e-07,0.04494612012219939,0.49747770262672764,0.006164837897311163,0.006565121717860833,1.0,0.9259459837747152,0.00041039778777660774,3.348045546671772e-05,0.0014902195929630477,3.204287552213128e-05,False,39,3,3.1436992878789746e-05,8.102841794948404e-11,2.156148265834286e-12
10,run008_Ea_b002_s010_g010_accepted_mma,10,10,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,8.105313396591462e-20,5.86366387776755e-07,0.04265072801694682,0.49718139301794056,0.006143617591137877,0.006565121716238742,1.0,0.9198602640193518,0.00039842738686044605,3.422199626037967e-05,0.0014902195929630477,3.204287552213128e-05,False,36,1,3.165754471896869e-05,8.110450471643387e-11,2.068538857689724e-12
11,run008_Ea_b002_s011_g011_accepted_mma,11,11,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,8.433939500727396e-20,6.101403360724951e-07,0.04054452777533945,0.49688182095672534,0.006118847903557318,0.0065651217181725285,1.0,0.9135117226213428,0.00038887989151164957,3.4333432058055875e-05,0.0014902195929630477,3.204287552213128e-05,False,40,1,3.187499120963713e-05,8.271121202480762e-11,1.998552645000613e-12
12,run008_Ea_b002_s012_g012_accepted_mma,12,12,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,8.759574827696848e-20,6.336979212101503e-07,0.03861010942055821,0.49658363493696356,0.0060941272676560574,0.006565121718176414,1.0,0.9068992461963511,0.00038270710868422924,3.416016191005542e-05,0.0014902195929630477,3.204287552213128e-05,False,36,3,3.2072445747527546e-05,8.379952611219989e-11,1.9342810716104234e-12
13,run008_Ea_b002_s013_g013_accepted_mma,13,13,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,9.082134725242577e-20,6.570330191528243e-07,0.036823693374457935,0.4962803193655815,0.00606648945151308,0.006565121716501143,1.0,0.9000357788611418,0.0003782713565354277,3.398882493712465e-05,0.0014902195929630477,3.204287552213128e-05,False,42,0,3.223551410580756e-05,8.453289027603113e-11,1.8808071150691187e-12
