evaluation_index,tag,global_iteration,stage_iteration,role,beta,constraint_contract,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,solid_constraint_cap,void_constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance
0,run009_Ea_uniform_b002_s000_g000_stage_baseline,0,0,stage_baseline,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,-1.7796994377951584e-26,-1.2874960900427572e-13,0.0,0.5,0.0,0.0,1.0,1.0,0.0002654641016045472,0.0,0.002,0.002,True,40,0,2.8790175638077538e-05,9.476582420137563e-11,5.893125335328745e-12
1,run009_Ea_uniform_b002_s001_g001_accepted_mma,1,1,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.526666040310697e-21,5.445050378823009e-08,1.0000023645255791,0.5000000110482827,0.012882082179758055,0.013128602421348723,1.0,0.9993362078348561,0.00040043874079214,3.8647736761392764e-05,0.002,0.002,True,40,1,2.893149921492107e-05,8.495494338045852e-11,4.854044692491837e-12
2,run009_Ea_uniform_b002_s002_g002_accepted_mma,2,2,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.5036322535460213e-20,1.0877795464727819e-07,0.4994343847998383,0.49996223783042404,0.012871769382814466,0.013118296582582512,1.0,0.9973472545770562,0.00044878126718371936,4.006663889104589e-05,0.002,0.002,True,41,1,2.9332277385851684e-05,8.328547892078098e-11,1.39758555156803e-13
3,run009_Ea_uniform_b002_s003_g003_accepted_mma,3,3,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.2522355472775132e-20,1.6293450452327813e-07,0.33238232769942666,0.4998878680389525,0.012851212630502639,0.013098774979330707,1.0,0.9940404065975573,0.000454342386697494,3.9862405762082705e-05,0.002,0.002,True,39,0,3.038484118600276e-05,7.000674794392987e-11,1.244000545682401e-12
4,run009_Ea_uniform_b002_s004_g004_accepted_mma,4,4,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,2.996854843627413e-20,2.168028382576865e-07,0.24846692122352101,0.49977679549802856,0.01282072976166369,0.01307182681757385,1.0,0.9894276319546941,0.0004472475477106682,3.896570066029266e-05,0.002,0.002,True,40,1,3.174920420907426e-05,7.459620373717136e-11,1.466366688956164e-12
5,run009_Ea_uniform_b002_s005_g005_accepted_mma,5,5,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.736674995122163e-20,2.703239852646433e-07,0.19798889452802496,0.4996283567243618,0.012780162517350117,0.01304126731142935,1.0,0.9835257915281865,0.0004408105848107306,3.796508689850435e-05,0.002,0.002,True,42,2,2.478771897678444e-05,9.093383638738166e-11,1.0285819136384367e-12
6,run009_Ea_uniform_b002_s006_g006_accepted_mma,6,6,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,4.470008103650035e-20,3.233758371603907e-07,0.16405632641450033,0.49944392079747857,0.012729712491613308,0.013016425993847058,1.0,0.9763561247692115,0.00043177257044937515,3.719188005036061e-05,0.002,0.002,True,39,2,3.14999682998288e-05,8.686725710646534e-11,2.6424387944768318e-12
7,run009_Ea_uniform_b002_s007_g007_accepted_mma,7,7,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.1959696423303e-20,3.758944042129384e-07,0.13971627793319524,0.49922085756118967,0.012669846149247523,0.012998732068780272,1.0,0.9679444814978027,0.00040455269151846356,3.68492859803356e-05,0.002,0.002,True,42,2,2.9874575895786617e-05,9.439085938585185e-11,2.0052197984631135e-12
8,run009_Ea_uniform_b002_s008_g008_accepted_mma,8,8,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.913211838492816e-20,4.277821838886438e-07,0.12129485899583967,0.4989623392826908,0.012600350123852041,0.012997706295703793,1.0,0.9583213334471552,0.0003892203279394337,3.721747649801338e-05,0.002,0.002,True,40,0,3.536642199634139e-05,9.640094185636533e-11,2.3040917235917245e-12
9,run009_Ea_uniform_b002_s009_g009_accepted_mma,9,9,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.621207637519595e-20,4.79001047234635e-07,0.10692849972184297,0.49866650104535126,0.01252179281377693,0.01301249789134401,1.0,0.9475207737425818,0.00038306654570850794,3.8166596355177825e-05,0.002,0.002,True,44,0,3.52705333146762e-05,9.904294029984204e-11,1.2610041492670676e-12
10,run009_Ea_uniform_b002_s010_g010_accepted_mma,10,10,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.318939419916528e-20,5.294773761392245e-07,0.09533236202204974,0.4983334000012365,0.012434475971571777,0.013035559571162147,1.0,0.9355828151453102,0.0003808695910843012,3.935191288758683e-05,0.002,0.002,True,41,2,2.3983606354397106e-05,7.945338832613844e-11,1.0687198746172489e-12
11,run009_Ea_uniform_b002_s011_g011_accepted_mma,11,11,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,8.004915714574509e-20,5.791032724269899e-07,0.08569438069273207,0.49796298057908306,0.012338501261252214,0.013073834124842032,1.0,0.9225485132950617,0.0003802173078967465,4.050764621904891e-05,0.002,0.002,True,41,0,2.362268751543117e-05,8.170011196818468e-11,6.256391329824631e-13
12,run009_Ea_uniform_b002_s012_g012_accepted_mma,12,12,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,8.678806756356684e-20,6.278548797480715e-07,0.0776478910869392,0.49755257294394556,0.012234402783212184,0.013115728770609514,1.0,0.9084633391182182,0.0003801856004562033,4.158352841673122e-05,0.002,0.002,True,38,3,2.3948195249660727e-05,8.434404989743605e-11,2.2126600821560034e-13
13,run009_Ea_uniform_b002_s013_g013_accepted_mma,13,13,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,9.339470875973622e-20,6.756496057997998e-07,0.07073892390590733,0.4971000926874803,0.012122581060285525,0.013129715272770903,1.0,0.8933775271331477,0.0003801962375794356,4.2665307169875275e-05,0.002,0.002,True,42,2,3.058079282749011e-05,8.734653612344404e-11,7.21314654836544e-14
14,run009_Ea_uniform_b002_s014_g014_accepted_mma,14,14,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,9.987350835336982e-20,7.225194815093069e-07,0.06487005113218303,0.4965871246436037,0.01198864166448755,0.013129903042676305,1.0,0.877369905265599,0.0003801963842401902,4.36575170756929e-05,0.002,0.002,True,39,3,2.8327119466221368e-05,8.998516270032626e-11,2.2020712093565486e-13
15,run009_Ea_uniform_b002_s015_g015_accepted_mma,15,15,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.0621773034968965e-19,7.684157763620178e-07,0.05972846506353888,0.4958923927736614,0.011830369748802158,0.01312991323227497,1.0,0.8606680795511948,0.0003799582636435854,4.435431646826541e-05,0.002,0.002,True,38,2,2.0054149116780028e-05,9.15202132190067e-11,2.405252633558713e-13
16,run009_Ea_uniform_b002_s016_g016_accepted_mma,16,16,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1243443880898132e-19,8.133895942117878e-07,0.055291852969119586,0.4950259427120895,0.011682870066059246,0.013129909063014589,1.0,0.843322824062264,0.00037978469738326673,4.507194236940514e-05,0.002,0.002,True,40,2,2.2411369297997753e-05,9.41622296530601e-11,1.5196739248255174e-13
17,run009_Ea_uniform_b002_s017_g017_accepted_mma,17,17,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1852603526262568e-19,8.574583085667347e-07,0.05139458550306539,0.4940046738757231,0.01153501903068772,0.01312991518994644,1.0,0.8253784714914302,0.00037968319546701114,4.5790305993917054e-05,0.002,0.002,True,39,2,2.8736346485460986e-05,9.725437980415236e-11,1.9355518154740738e-14
18,run009_Ea_uniform_b002_s018_g018_accepted_mma,18,18,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.2449194530650125e-19,9.006177639888963e-07,0.047922056557052,0.492839033048243,0.01138555189203343,0.013129915186259444,1.0,0.8068810785724339,0.00037938271115726436,4.663154254572487e-05,0.002,0.002,True,39,2,2.775751679427668e-05,9.909369410078894e-11,2.6337038847088465e-13
