center_um,current_A,objective_A2,node_signature,node_count
-4.0,-1.2920286703391966e-10,1.6693380849784724e-20,538:587:636:685:734:783:832:881:930:979:1028:1077:1126,13
-3.975,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.95,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.9250000000000003,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.9000000000000004,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.8750000000000004,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.8500000000000005,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.8250000000000006,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.8000000000000007,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.775000000000001,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.750000000000001,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.725000000000001,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.700000000000001,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.675000000000001,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.6500000000000012,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.6250000000000013,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.6000000000000014,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.5750000000000015,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.5500000000000016,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.5250000000000017,-1.060046565295241e-10,1.1236987205942376e-20,587:636:685:734:783:832:881:930:979:1028:1077:1126,12
-3.5000000000000018,-9.016310281765345e-11,8.129385109706749e-21,587:636:685:734:783:832:881:930:979:1028:1077:1126:1175,13
-3.475000000000002,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.450000000000002,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.425000000000002,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.400000000000002,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.375000000000002,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.3500000000000023,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.3250000000000024,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.3000000000000025,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
-3.2750000000000026,-6.634725527592191e-11,4.401958282648347e-21,636:685:734:783:832:881:930:979:1028:1077:1126:1175,12
