run,id,beam_x_um,beam_y_um,terminal_current_nA,temperature_max_K,temperature_gradient_max_K_m,local_J_total_max_A_m2,positive_contribution_nA,negative_contribution_nA,pte_reintegration_relative_error,total_J_reintegration_relative_error,local_J_constitutive_closure_relative_error,terminal_potential_max_abs_V,maximum_material_power_reintegration_relative_error,short_circuit_continuity_residual,reference_current_relative_error,field_path,field_size_bytes,field_sha256
44,position_x-10_y-10,-10.0,-10.0,0.9663394682814489,0.37805505477026985,1292731.900970717,569480.8272351542,5.764627037202914,-4.798287568921466,5.873241264821654e-17,3.3217735617364994e-09,2.044236017428972e-16,0.0,4.329964617896338e-16,8.026159432734903e-11,1.5889128482020665e-10,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-10_y-10.npz,12865432,7fccad309196914064dc15fe1a2295db48700840fe938289320123fb632decd4
44,position_x-5_y-10,-5.0,-10.0,7.700211519299694,0.3061454884036438,1080295.6566542904,681638.2928905289,15.646511570831462,-7.946300051531769,7.012141035102041e-17,8.247917295854007e-10,1.7078753209897954e-16,0.0,1.6746313200434266e-16,5.972300356431437e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-5_y-10.npz,12881163,b34d140792e9fb6b1524b2cdc9a803685781e097f08d0009b6e5d677550955e8
44,position_x0_y-10,0.0,-10.0,10.28105394288419,0.1825402549779188,504850.3835681339,300504.8183043609,19.7994059864044,-9.518352043520213,2.8214320198315475e-16,1.2614526631978175e-09,1.936995927117309e-16,0.0,2.0518908426317705e-16,7.400880172105334e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x0_y-10.npz,12886505,3f15da7a7ec5df45de1e274ffce6da15ad57e97d9599e87f08e576546d0bf91e
44,position_x5_y-10,5.0,-10.0,7.778267944676663,0.2967988427220876,1043584.432912531,708768.7937199796,15.724103820464494,-7.945835875787839,2.795716839731519e-16,1.018327138360585e-09,1.6425006695896968e-16,0.0,2.3885168473620094e-16,7.625011866367518e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x5_y-10.npz,12881847,d52e017cb1e0b173171030ccb044f9d33638026f7325383dd0fb64f3bf8492ea
44,position_x10_y-10,10.0,-10.0,0.91897063108722,0.3766658616110741,1283224.0269215317,683334.230006055,5.770494181526085,-4.851523550438865,1.946853774457051e-17,3.420779932625072e-09,1.7036366204851654e-16,0.0,1.5103927198014317e-16,6.861705655732485e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x10_y-10.npz,12865471,644c269bb317db5d6bbe4cad88179e248626623c541b7ccefabd9eeb95617627
44,position_x-10_y-5,-10.0,-5.0,-2.3509933103464773,0.34499616415953865,1192140.7726958967,690223.9951699466,10.53021308406602,-12.881206394412496,7.066471243347139e-17,6.883945863421334e-09,1.686631045017076e-16,0.0,3.5337186391317245e-16,2.959950422127835e-11,2.300402514242353e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-10_y-5.npz,12865485,c537bf01662fabdad59b3c4a93b0abf9e5a49eb124735721b995725c156acbef
44,position_x-5_y-5,-5.0,-5.0,34.48384396709359,0.3643663284118808,1277222.5137413319,587547.8891076902,44.300082670091044,-9.816238702997452,1.222818686215248e-16,4.077969476928427e-09,1.981375884163841e-16,0.0,1.598446058812488e-16,3.211761595106751e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-5_y-5.npz,12883348,3e37a5cad5fd3bd13cbb032cadc359842dbed12fe4a5a5a6540b7b00c689aed4
44,position_x0_y-5,0.0,-5.0,62.28059556698731,0.2673576281356555,886840.7758082685,555098.6590408476,70.21973768838863,-7.939142121401351,1.693331561692965e-16,2.186954645242081e-11,2.097200559412057e-16,0.0,0.0,7.539738674770568e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x0_y-5.npz,12882501,1405e205d58d88c28b99e4c0cf5a38e01643367250f9094b39befb8df8241024
44,position_x5_y-5,5.0,-5.0,34.63644078776642,0.3533318026593956,1226695.5521198951,648099.0971987655,44.40950106724828,-9.773060279481863,2.4426474998393843e-16,3.9608949609416774e-09,1.7962580464948774e-16,0.0,1.5956524297642073e-16,7.90296164690823e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x5_y-5.npz,12882844,b7d934d38eb99069751ef735957ea281fd42f0e544f09681e9303c71334cdd34
44,position_x10_y-5,10.0,-5.0,-2.456433065973569,0.33593703464829827,1187667.0491079867,782167.2261670841,10.493308094342833,-12.9497411603164,8.821171294393668e-17,6.044971752994158e-09,1.488368700864827e-16,0.0,1.7965710090177951e-16,8.719303906096532e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x10_y-5.npz,12866298,8ac7fdf66fd27d72b649ddf212b4c27ad9a0b2ef07f2591dddb58b6f59cb07ae
