case_id,case,polarization_deg,domain_um,pml_layers,flake_dz_nm,source_span_um,waist_um,status,generation_commit,P_Qx_W,P_Qy_W,P_Qz_W,P_Qx_fraction,P_Qy_fraction,P_Qz_fraction,P_Q_W,P_six_face_W,closure,sigma_abs_m2,sigma_over_Ageo,Q_hotspot_W_m3,source_central_intensity_native_W_m2,all_case_acceptance,artifact_path
finite_2um_controls/no_source_L8_pml24_dz5,no-source,0.0,8.0,24,5.0,,,BLOCKED_EXECUTION_ERROR,1b538cf82d7ac513034bc1e7ee7da58e34b91c10,,,,,,,,,,,,,,False,
finite_contract_probe,empty-stack,0.0,8.0,24,5.0,,,BLOCKED_EXECUTION_ERROR,8511d7b7dfa573d8b94b95dadfe4ac264e437240,,,,,,,,,,,,,,False,
finite_contract_probe_02,empty-stack,0.0,8.0,24,5.0,,,BLOCKED_EXECUTION_ERROR,8511d7b7dfa573d8b94b95dadfe4ac264e437240,,,,,,,,,,,,,,False,
finite_contract_probe_03,empty-stack,0.0,8.0,24,5.0,,,CONTRACT_BUILT_NOT_SOLVED,8511d7b7dfa573d8b94b95dadfe4ac264e437240,,,,,,,,,,,,,,False,
finite_convergence/domain/fixed_x_L12_pml24_dz5_w2_span6p8,fixed-design,0.0,12.0,24,5.0,6.8,2.0,COMPLETED,b13e45707c4bda06d1f4afa1a47f8fe72ce29435,2.532696879123271e-12,2.852783400358483e-14,0.0,0.988861643471823,0.01113835652817702,0.0,2.5612247131268556e-12,2.5653623636146825e-12,0.001612891241608739,2.5612247131268556e-12,0.6403061782817139,33222246.85979607,0.000652185260850769,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_convergence/domain/fixed_x_L12_pml24_dz5_w2_span6p8/finite_q_on_artifact.npz
finite_convergence/domain/fixed_x_L16_pml24_dz5_w2_span6p8,fixed-design,0.0,16.0,24,5.0,6.8,2.0,COMPLETED,b13e45707c4bda06d1f4afa1a47f8fe72ce29435,2.532188621867e-12,2.8525088998209955e-14,0.0,0.9888604927301413,0.011139507269858738,0.0,2.56071371086521e-12,2.5648606611011944e-12,0.0016168325628277665,2.56071371086521e-12,0.6401784277163025,33215609.100703213,0.000652185260850769,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_convergence/domain/fixed_x_L16_pml24_dz5_w2_span6p8/finite_q_on_artifact.npz
finite_convergence/mesh/fixed_x_L8_pml24_dz10_w2_span6p8,fixed-design,0.0,8.0,24,10.0,6.8,2.0,COMPLETED,b13e45707c4bda06d1f4afa1a47f8fe72ce29435,2.5329875271667123e-12,2.868539678076991e-14,0.0,0.9888020845625497,0.011197915437450282,0.0,2.561672923947482e-12,2.565960421612777e-12,0.0016709134050477568,2.561672923947482e-12,0.6404182309868706,31803997.2669397,0.000652185260850769,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_convergence/mesh/fixed_x_L8_pml24_dz10_w2_span6p8/finite_q_on_artifact.npz
finite_convergence/mesh/fixed_x_L8_pml24_dz2p5_w2_span6p8,fixed-design,0.0,8.0,24,2.5,6.8,2.0,COMPLETED,b13e45707c4bda06d1f4afa1a47f8fe72ce29435,2.5334902568054557e-12,2.8437204311884516e-14,0.0,0.9889000743606214,0.011099925639378613,0.0,2.56192746111734e-12,2.5655631843610802e-12,0.001417124811387414,2.56192746111734e-12,0.640481865279335,33985562.03162828,0.000652185260850769,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_convergence/mesh/fixed_x_L8_pml24_dz2p5_w2_span6p8/finite_q_on_artifact.npz
finite_convergence/pml/fixed_x_L8_pml16_dz5_w2_span6p8,fixed-design,0.0,8.0,16,5.0,6.8,2.0,COMPLETED,b13e45707c4bda06d1f4afa1a47f8fe72ce29435,2.5301413455118496e-12,2.850707085019039e-14,0.0,0.9888585431793233,0.011141456820676661,0.0,2.55864841636204e-12,2.5627214663506775e-12,0.001589345561785672,2.55864841636204e-12,0.63966210409051,33190180.543621644,0.000652185260850769,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_convergence/pml/fixed_x_L8_pml16_dz5_w2_span6p8/finite_q_on_artifact.npz
finite_convergence/waist/empty_L8_pml24_dz5_w1p5_span6p8,empty-stack,0.0,8.0,24,5.0,6.8,1.5,COMPLETED,b13e45707c4bda06d1f4afa1a47f8fe72ce29435,,,,,,,,,,,,,0.00034155787320142055,True,
