case_id,passed,lateral_domain_um,Si_depth_um,active_cells,Tmax_K_per_W_m2,flake_average_K_per_W_m2,energy_balance_relative_error,Q_mapping_relative_error,source_mesh_mode,G_bottom_W_m2K,G_top_W_m2K,G_oxide_Si_W_m2K,exposed_h_W_m2K
baseline_L8um_Si5um,True,8.0,5.0,754032,3.1155747960018524e-07,2.2506372211130945e-07,3.401881978835397e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
domain_L4,True,4.0,5.0,669792,3.1094837457123065e-07,2.2445859641241876e-07,1.498102514603978e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
domain_L16,True,16.0,5.0,826608,3.1174732667488357e-07,2.252531161001668e-07,4.40834567073769e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
domain_L32,True,32.0,5.0,985584,3.117626020692796e-07,2.2526835851276125e-07,2.003305963148571e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
depth_D2_L32,True,32.0,2.0,857688,3.112327442576195e-07,2.2473599626742757e-07,5.935312447309717e-13,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
depth_D5_L32,True,32.0,5.0,985584,3.117626020692796e-07,2.2526835851276125e-07,2.003305963148571e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
depth_D10_L32,True,32.0,10.0,1198744,3.1194651484418606e-07,2.2545246180455928e-07,4.190207559798829e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
final_native,True,32.0,20.0,1625064,3.1200215677157526e-07,2.2550813062581508e-07,3.361661285929099e-12,0.0,native,7370000.0,7370000.0,1100000000.0,0.0
mesh_coarse,True,32.0,20.0,284028,3.12833529971828e-07,2.2625724405721572e-07,1.0788609391336292e-13,0.0,conservative_coarsening_x2,7370000.0,7370000.0,1100000000.0,0.0
mesh_refined,True,32.0,20.0,5510892,3.11563804466101e-07,2.2529772804629724e-07,8.992873749225711e-12,0.0,piecewise_constant_refinement_1x1x2,7370000.0,7370000.0,1100000000.0,0.0
Gbottom_1e6,True,32.0,20.0,1625064,8.829001042891665e-07,7.802225177961883e-07,1.3217623786461713e-12,0.0,native,1000000.0,7370000.0,1100000000.0,0.0
Gbottom_3e6,True,32.0,20.0,1625064,4.4704385713415273e-07,3.5276508085234373e-07,3.687843218988799e-12,0.0,native,3000000.0,7370000.0,1100000000.0,0.0
Gbottom_1p5e7,True,32.0,20.0,1625064,2.6217612657153555e-07,1.8074990259697078e-07,2.34336797846613e-12,0.0,native,15000000.0,7370000.0,1100000000.0,0.0
Gbottom_3e7,True,32.0,20.0,1625064,2.3688946169841303e-07,1.589342407296264e-07,3.016236511557367e-12,0.0,native,30000000.0,7370000.0,1100000000.0,0.0
Gbottom_1e8,True,32.0,20.0,1625064,2.182795549534364e-07,1.434554880515343e-07,5.159289666529387e-12,0.0,native,100000000.0,7370000.0,1100000000.0,0.0
Gbottom_perfect,True,32.0,20.0,1625064,2.0989636095724961e-07,1.3668816666712032e-07,5.340203920503989e-12,0.0,native,,7370000.0,1100000000.0,0.0
Gtop_7p37e4,True,32.0,20.0,1625064,3.3536791619225983e-07,2.2532758495803134e-07,2.7350071176282355e-12,0.0,native,7370000.0,73700.0,1100000000.0,0.0
Gtop_7p37e5,True,32.0,20.0,1625064,3.2977410680357517e-07,2.2537907700172915e-07,4.47474924608495e-13,0.0,native,7370000.0,737000.0,1100000000.0,0.0
Gtop_7p37e7,True,32.0,20.0,1625064,3.012621192037093e-07,2.2556371682267818e-07,4.8859466829740396e-12,0.0,native,7370000.0,73700000.0,1100000000.0,0.0
Gtop_perfect,True,32.0,20.0,1625064,2.992757596084301e-07,2.255725131567573e-07,5.3794782441654325e-12,0.0,native,7370000.0,,1100000000.0,0.0
oxide_si_perfect,True,32.0,20.0,1625064,3.116148563055045e-07,2.251096798003276e-07,3.117340292549276e-12,0.0,native,7370000.0,7370000.0,,0.0
convection_h10,True,32.0,20.0,1625064,3.119974381560441e-07,2.2550419946657255e-07,3.3668663167757964e-12,0.0,native,7370000.0,7370000.0,1100000000.0,10.0
