case_id,family,mesh_role,physical_basis,Tmax_K_per_W_m2,TaIrTe4_average_K_per_W_m2,Tmax_change_vs_control,average_change_vs_control,common_flake_3d_NRMSE_vs_control,hotspot_x_m,hotspot_y_m,hotspot_z_m,top_interface_mean_jump_K,top_interface_max_jump_K,bottom_numerical_boundary_flux_fraction,lateral_numerical_boundary_flux_fraction,energy_balance_relative_error,linear_residual_relative,Q_mapping_relative_error,optical_source_SHA256,mapped_source_power_W,source_mesh_mode,active_solid_cells,G_top_W_m2K,TaIrTe4_kz_W_mK,far_xy_boundary,exposed_h_W_m2K,top_disk_support,passed,raw_result_path,raw_field_path
scenario_control_Gtop_7p37e6_kz_1,G_top,native,PR #4 numerical-convergence checkpoint parameter set; not promoted as uniquely correct physics,3.120021567715753e-07,2.2550813062581508e-07,0.0,0.0,0.0,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.705867068657705e-09,3.90825953119553e-08,0.1960192794022903,0.8039807206010711,3.361345829514148e-12,1.2362588672374323e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,1.0,fixed,0.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_control_Gtop_7p37e6_kz_1/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_control_Gtop_7p37e6_kz_1/temperature_flux_3d.npz
scenario_evaporated_SiO2_estimate_Gtop_7p37e4,G_top,native,earlier contract label: evaporated-SiO2 estimate; repository does not contain a traceable literature source,3.3536791619225994e-07,2.2532758495803134e-07,0.07488973686099001,-0.0008006171098252705,0.021549490923511275,1.3333333333333656e-08,-9.933333333333295e-07,-4.999999999999942e-09,2.5303738073924654e-08,9.582006449596884e-08,0.19601554079071185,0.8039844592065544,2.73374529196843e-12,1.3538522639667923e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,73700.0,1.0,fixed,0.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_evaporated_SiO2_estimate_Gtop_7p37e4/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_evaporated_SiO2_estimate_Gtop_7p37e4/temperature_flux_3d.npz
scenario_kz_0p5,TaIrTe4_kz,native,"numerical scenario, not a confidence interval; no repository source establishes a kz range",3.504130501807187e-07,2.490834787625729e-07,0.1231109868168795,0.1045432289795187,0.08804097660477912,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.63957108965296e-09,3.847879508504399e-08,0.1960209577291979,0.803979042277758,6.955971677884822e-12,1.2313623694924047e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,0.5,fixed,0.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_kz_0p5/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_kz_0p5/temperature_flux_3d.npz
scenario_kz_2p0,TaIrTe4_kz,native,"numerical scenario, not a confidence interval; no repository source establishes a kz range",2.9235687814353657e-07,2.137021666136845e-07,-0.06296520136693011,-0.052352719963433,0.0440345751723722,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.728442016623647e-09,3.923745763803065e-08,0.1960181931440175,0.8039818068563956,4.132479035862732e-13,1.244161428395586e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,2.0,fixed,0.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_kz_2p0/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_kz_2p0/temperature_flux_3d.npz
scenario_far_xy_adiabatic_bottom_fixed,far_xy_boundary,native,"boundary-robustness scenario; lateral boundary flux is a numerical truncation flux, not a physical heat-path fraction",3.121505974064632e-07,2.2565655059411357e-07,0.00047576797681105504,0.0006581579470620729,0.0005039342822306021,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.705867112396142e-09,3.90826035002288e-08,0.9999999999995287,0.0,4.712918839373222e-13,1.715164475051427e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,1.0,adiabatic,0.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_far_xy_adiabatic_bottom_fixed/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_far_xy_adiabatic_bottom_fixed/temperature_flux_3d.npz
scenario_exposed_convection_h5,exposed_convection,native,exposed-surface Robin boundary robustness scenario,3.119997974197634e-07,2.2550616500898553e-07,-7.561972764225856e-06,-8.71639006579718e-06,6.637304144240902e-06,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.705757450624067e-09,3.90836653810669e-08,0.1960175533919868,0.8039735719948534,3.397781045441029e-12,1.235480375961799e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,1.0,fixed,5.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_exposed_convection_h5/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_exposed_convection_h5/temperature_flux_3d.npz
scenario_exposed_convection_h10,exposed_convection,native,exposed-surface Robin boundary robustness scenario,3.11997438156044e-07,2.2550419946657255e-07,-1.5123663182694178e-05,-1.743245013659227e-05,1.3274356796694214e-05,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.705647836960147e-09,3.9084735408160104e-08,0.19601582744564722,0.8039664236523857,3.3663931321533694e-12,1.2323235259801274e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,1.0,fixed,10.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_exposed_convection_h10/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_exposed_convection_h10/temperature_flux_3d.npz
scenario_exposed_convection_h20,exposed_convection,native,exposed-surface Robin boundary robustness scenario,3.1199271989292603e-07,2.2550026860503822e-07,-3.024619684339284e-05,-3.486358010701407e-05,2.6547707483241298e-05,1.3333333333333656e-08,-9.933333333333295e-07,-1.499999999999994e-08,7.705428622743658e-09,3.908687533627917e-08,0.1960123757448958,0.8039521277588493,3.3600840038543424e-12,1.2360208504414229e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1625064,7370000.0,1.0,fixed,20.0,suspended-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_exposed_convection_h20/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_exposed_convection_h20/temperature_flux_3d.npz
scenario_geometry_oxide_supported_overhang,top_disk_support,native,alternative thermal geometry B: SiO2 fills the 100 nm annulus below the disk outside the flake; fabrication is not confirmed by repository evidence,1.8802616576831318e-07,1.4197308410448486e-07,-0.3973561987073958,-0.3704303090514269,0.27538599619399406,-1.3333333333333008e-08,-8.399999999999998e-07,-1.999999999999994e-08,1.3710607134013134e-08,3.4016983369927734e-08,0.19570447158216273,0.804295528417949,1.1167157089277916e-13,1.2419404168861438e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,native,1673364,7370000.0,1.0,fixed,0.0,oxide-supported-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_geometry_oxide_supported_overhang/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_geometry_oxide_supported_overhang/temperature_flux_3d.npz
scenario_geometry_oxide_supported_overhang_refined,top_disk_support,refined_maximum_variation_scenario,alternative thermal geometry B: SiO2 fills the 100 nm annulus below the disk outside the flake; fabrication is not confirmed by repository evidence,1.865539374506603e-07,1.4092547279509674e-07,-0.4020748465939574,-0.37507586797864095,0.27863247101653665,-1.3333333333333008e-08,-8.399999999999998e-07,-2.1249999999999942e-08,1.3237787277277644e-08,3.2552147504643744e-08,0.1956725541866405,0.8043274458121061,1.2533083366017276e-12,1.3542189559196454e-10,0.0,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,2.56071371086521e-12,piecewise_constant_refinement_1x1x2,5704764,7370000.0,1.0,fixed,0.0,oxide-supported-overhang,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_geometry_oxide_supported_overhang_refined/case_result.json,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/fvm_thermal_physical_model/sweep_v1/scenario_geometry_oxide_supported_overhang_refined/temperature_flux_3d.npz
