case_id,control,status,passed,axis,requested_value,readback_before_save,readback_after_reload,analytic_heat_flux_W_m2,numerical_heat_flux_W_m2,heat_flux_relative_error,temperature_profile_relative_error,expected_interface_jump_K,numerical_interface_jump_K,interface_jump_relative_error,flux_transmission_relative_error,energy_balance_relative_error,mesh_max_edge_m,notes
finite_Q_precheck,finite_Q,Q_ARTIFACT_COMPATIBLE_2UM_FOOTPRINT,True,,7a63f82842751e7623e895701bac4ce92558679ed71bf13a3d404695a150e794,,,,,,,,,,,0.0,,Q blocker is a release candidate; PR #2 unchanged
v261_DEVICE_license_probe,license,DEVICE_LICENSE_API_SOLVER_AVAILABLE,True,,v261,,7.17.4413,,,,,,,,,,,startup/save/load/actual HEAT solve
kappa_x,anisotropic_kappa,FAILED_ANISOTROPIC_K_ANALYTIC_CONTROL,False,x,"[14.4, 3.8, 1.0]",[0.0],[0.0],-72000000.0,0.0,1.0,0.9736323748447262,,,,,0.0,,no isotropic fallback
kappa_y,anisotropic_kappa,FAILED_ANISOTROPIC_K_ANALYTIC_CONTROL,False,y,"[14.4, 3.8, 1.0]",[0.0],[0.0],-19000000.0,0.0,1.0,0.9730396798744948,,,,,0.0,,no isotropic fallback
kappa_z,anisotropic_kappa,FAILED_ANISOTROPIC_K_ANALYTIC_CONTROL,False,z,"[14.4, 3.8, 1.0]",[0.0],[0.0],-5000000.0,0.0,1.0,0.9680131649890995,,,,,0.0,,no isotropic fallback
fvm_x,diagonal_kappa_fvm_fallback,PASSED,True,x,"[14.4, 3.8, 1.0]",,,72000000.0,72000000.01582454,2.197852979103724e-10,5.007336767448578e-11,,,,,1.1044368481988525e-11,,validated conservative Python FVM; not a v261 HEAT result
fvm_y,diagonal_kappa_fvm_fallback,PASSED,True,y,"[14.4, 3.8, 1.0]",,,19000000.0,19000000.004364334,2.2970179193898252e-10,3.2457592169521376e-11,,,,,1.4898328763678434e-11,,validated conservative Python FVM; not a v261 HEAT result
fvm_z,diagonal_kappa_fvm_fallback,PASSED,True,z,"[14.4, 3.8, 1.0]",,,5000000.0,5000000.006481192,1.2962384149432183e-09,2.7625901566352695e-11,,,,,4.9733539432333e-11,,validated conservative Python FVM; not a v261 HEAT result
interface_G_7370000p0,internal_interface_G,FAILED_INTERFACE_G_ANALYTIC_CONTROL,False,,7370000.0,1.3568521031207598e-07,1.3568521031207598e-07,25927880.38698329,48345495.7221889,0.8646142685253994,,6.55976875470677,1.1368683772161603e-13,0.9999999999999827,0.5754066363043451,0.2877033240124558,5e-08,candidate acted as fixed-temperature reservoir
interface_G_1100000000p0,internal_interface_G,FAILED_INTERFACE_G_ANALYTIC_CONTROL,False,,1100000000.0,9.090909090909091e-10,9.090909090909091e-10,39855072.46376812,62247191.01123168,0.5618386108272676,,0.056588355464756074,2.2737367544323206e-13,0.999999999995982,1.1913357400721767,0.5956679295983254,5e-08,candidate acted as fixed-temperature reservoir
perfect_contact_mesh_100nm,perfect_contact,PASSED,True,,perfect_contact,,,40000000.0,39999999.99999712,7.208436727523803e-14,,0.0,2.2737367544323206e-13,,8.368685518873091e-14,8.368685518873091e-14,1e-07,default continuity; mesh-refinement control
perfect_contact_mesh_50nm,perfect_contact,PASSED,True,,perfect_contact,,,40000000.0,39999999.9999957,1.0747462511062622e-13,,0.0,1.1368683772161603e-13,,2.8121493848845795e-13,2.8121493848845795e-13,5e-08,default continuity; mesh-refinement control
perfect_contact_mesh_25nm,perfect_contact,PASSED,True,,perfect_contact,,,40000000.0,40000000.00000316,7.897615432739258e-14,,0.0,2.8421709430404007e-13,,1.6567964448292804e-13,1.6567964448292804e-13,2.5e-08,default continuity; mesh-refinement control
