case_id,case,polarization_deg,domain_um,pml_layers,flake_dz_nm,waist_um,source_span_um,design_radius_um,status,all_case_acceptance,P_Qx_W,P_Qy_W,P_Qz_W,P_Q_W,P_six_W,six_face_closure,Qx_fraction,Qy_fraction,Qz_fraction,hotspot_x_m,hotspot_y_m,hotspot_z_m,hotspot_Q_W_m3,generation_command,generation_commit
control_source_off_L12_pml24_dz5_retry1,no-source,0.0,12.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,,,,,,,,,,,,,,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/control_source_off_L12_pml24_dz5_retry1 --case no-source --polarization-deg 0 --domain-um 12 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8,072353d133bde000c567557ba83e4b914017bd42
empty_45_L8_pml24_dz5,empty-stack,45.0,8.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,,,,,,,,,,,,,,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_45_L8_pml24_dz5 --case empty-stack --polarization-deg 45 --domain-um 8 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8,072353d133bde000c567557ba83e4b914017bd42
empty_x_L12_pml24_dz5,empty-stack,0.0,12.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,,,,,,,,,,,,,,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_x_L12_pml24_dz5 --case empty-stack --polarization-deg 0 --domain-um 12 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8,072353d133bde000c567557ba83e4b914017bd42
empty_y_L8_pml24_dz5,empty-stack,90.0,8.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,,,,,,,,,,,,,,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_y_L8_pml24_dz5 --case empty-stack --polarization-deg 90 --domain-um 8 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8,072353d133bde000c567557ba83e4b914017bd42
flat_45_L8_pml24_dz5,flat,45.0,8.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,7.999540122666294e-13,8.731988530752163e-13,0.0,1.6731528653418457e-12,1.6786535900193833e-12,0.0032768670738517994,0.47811173075521046,0.5218882692447896,0.0,-9.3333333333333e-08,-9.733333333333333e-07,-4.999999999999942e-09,10435365.033964757,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/flat_45_L8_pml24_dz5 --case flat --polarization-deg 45 --domain-um 8 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_45_L8_pml24_dz5/case_result.json,072353d133bde000c567557ba83e4b914017bd42
flat_x_L8_pml24_dz5,flat,0.0,8.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,1.5512014850760047e-12,1.547851104795341e-14,0.0,1.5666799961239582e-12,1.5719281804220606e-12,0.003338692163845061,0.9901201833901958,0.009879816609804167,0.0,-1.333333333333301e-08,-9.733333333333333e-07,-4.999999999999942e-09,19497050.0095762,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/flat_x_L8_pml24_dz5 --case flat --polarization-deg 0 --domain-um 8 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_x_L12_pml24_dz5/case_result.json,072353d133bde000c567557ba83e4b914017bd42
flat_y_L8_pml24_dz5,flat,90.0,8.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,4.9690887825564974e-14,1.7309192009814894e-12,0.0,1.7806100888070543e-12,1.7863671346430803e-12,0.0032227674392231024,0.02790666420342261,0.9720933357965774,0.0,8.133333333333337e-07,1.333333333333366e-08,-2.499999999999994e-08,8481724.26123303,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/flat_y_L8_pml24_dz5 --case flat --polarization-deg 90 --domain-um 8 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_y_L8_pml24_dz5/case_result.json,072353d133bde000c567557ba83e4b914017bd42
proxy_x_r0p8_L12_pml24_dz5,fixed-design,0.0,12.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,2.0230059179773404e-12,1.3592792417622702e-14,0.0,2.036598710394963e-12,2.0411424323906064e-12,0.002226068070282404,0.9933257384735421,0.006674261526457814,0.0,1.333333333333366e-08,-9.733333333333333e-07,-4.999999999999942e-09,23328424.67598719,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/proxy_x_r0p8_L12_pml24_dz5 --case fixed-design --polarization-deg 0 --domain-um 12 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --require-design-inside-flake --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_x_L12_pml24_dz5/case_result.json,af6e93f7b2748da7d6eaffda269d389ac07a9327
proxy_x_r0p8_L16_pml16_dz5,fixed-design,0.0,16.0,16,5.0,2.0,6.8,0.8,COMPLETED,True,2.0225104875349834e-12,1.3592866586455574e-14,0.0,2.036103354121439e-12,2.0406405289542367e-12,0.002223407194173038,0.9933240782895716,0.0066759217104284865,0.0,1.333333333333366e-08,9.73333333333334e-07,-4.999999999999942e-09,23322015.246706266,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/proxy_x_r0p8_L16_pml16_dz5 --case fixed-design --polarization-deg 0 --domain-um 16 --pml-layers 16 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --require-design-inside-flake --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_x_L12_pml24_dz5/case_result.json,327102d2fdbb4f47a2f916c859672e216572cd32
proxy_x_r0p8_L16_pml24_dz2p5,fixed-design,0.0,16.0,24,2.5,2.0,6.8,0.8,COMPLETED,True,2.024136732007989e-12,1.3540032980233847e-14,0.0,2.0376767649882227e-12,2.0416965110027385e-12,0.001968826411199395,0.9933551615188034,0.006644838481196553,0.0,-1.333333333333301e-08,-9.733333333333333e-07,-2.49999999999988e-09,23862064.668079324,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/proxy_x_r0p8_L16_pml24_dz2p5 --case fixed-design --polarization-deg 0 --domain-um 16 --pml-layers 24 --flake-dz-nm 2.5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --require-design-inside-flake --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_x_L12_pml24_dz5/case_result.json,1fe2643554fe8aec7226c1bad3fa4686d82746e5
proxy_x_r0p8_L16_pml24_dz5,fixed-design,0.0,16.0,24,5.0,2.0,6.8,0.8,COMPLETED,True,2.0225159394906936e-12,1.3592920978488833e-14,0.0,2.0361088604691824e-12,2.040668004695463e-12,0.0022341430432536048,0.9933240696298741,0.006675930370125988,0.0,-1.333333333333301e-08,-9.733333333333333e-07,-4.999999999999942e-09,23322114.12384901,/home/eidl/miniconda3/bin/python photothermal_pte/validation/photothermal_stage1/27_validate_finite_2um_optical_q.py --output-dir photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/proxy_x_r0p8_L16_pml24_dz5 --case fixed-design --polarization-deg 0 --domain-um 16 --pml-layers 24 --flake-dz-nm 5 --source-span-um 6.8 --waist-um 2 --design-radius-um 0.8 --require-design-inside-flake --incident-reference photothermal_pte/validation/photothermal_stage1/output/inflake_proxy_optical_q_fresh/cases/empty_x_L12_pml24_dz5/case_result.json,af6e93f7b2748da7d6eaffda269d389ac07a9327
