scenario,direction,step,analytic_directional_A,finite_difference_directional_A,relative_error,step_plateau_relative,step_plateau_limit,step_convergence_passed
4um,adjoint_aligned,0.01,1.599423887033223e-15,1.59939755058442e-15,1.6466209499877618e-05,9.230077323078983e-06,0.001,True
4um,adjoint_aligned,0.005,1.599423887033223e-15,1.5994044112449195e-15,1.217675218027678e-05,9.230077323078983e-06,0.001,True
4um,adjoint_aligned,0.0025,1.599423887033223e-15,1.5993896486185328e-15,2.1406717110991595e-05,9.230077323078983e-06,0.001,True
4um,central_localized,0.01,5.068795705543801e-18,5.0596407543965516e-18,0.0018061393039054108,0.0013950939221030279,0.001,False
4um,central_localized,0.005,5.068795705543801e-18,5.061493002523581e-18,0.0014407175677318197,0.0013950939221030279,0.001,False
4um,central_localized,0.0025,5.068795705543801e-18,5.054431744398993e-18,0.002833801553512638,0.0013950939221030279,0.001,False
4um,design_edge_localized,0.01,9.124395854981658e-17,9.123832339952486e-17,6.175916062038008e-05,0.00010279788299196202,0.001,True
4um,design_edge_localized,0.005,9.124395854981658e-17,9.123692413361146e-17,7.709459691269872e-05,0.00010279788299196202,0.001,True
4um,design_edge_localized,0.0025,9.124395854981658e-17,9.124630406049972e-17,2.5705267816524138e-05,0.00010279788299196202,0.001,True
4um,smooth_asymmetric,0.01,-7.696255669726497e-16,-7.696232220118062e-16,3.046885322046519e-06,1.5780889744999944e-05,0.001,True
4um,smooth_asymmetric,0.005,-7.696255669726497e-16,-7.696321028569287e-16,8.492218885752786e-06,1.5780889744999944e-05,0.001,True
4um,smooth_asymmetric,0.0025,-7.696255669726497e-16,-7.696199573775693e-16,7.288732756761129e-06,1.5780889744999944e-05,0.001,True
4um,fixed_seed_random,0.01,6.017464960308618e-18,6.010147859653368e-18,0.0012159772767293636,0.005094110053632509,0.001,False
4um,fixed_seed_random,0.005,6.017464960308618e-18,6.0158701028714076e-18,0.0002650380929063025,0.005094110053632509,0.001,False
4um,fixed_seed_random,0.0025,6.017464960308618e-18,6.046672518137073e-18,0.004830352188058195,0.005094110053632509,0.001,False
6um,adjoint_aligned,0.01,3.883401770622571e-16,3.883325293349138e-16,1.9693371417711897e-05,1.2332751296787117e-05,0.001,True
6um,adjoint_aligned,0.005,3.883401770622571e-16,3.883355397924873e-16,1.1941256773621491e-05,1.2332751296787117e-05,0.001,True
6um,adjoint_aligned,0.0025,3.883401770622571e-16,3.8833075054685534e-16,2.427386080185865e-05,1.2332751296787117e-05,0.001,True
6um,central_localized,0.01,1.3896764399536623e-18,1.3875287176398017e-18,0.0015454837198882797,0.0008857417547363277,0.001,True
6um,central_localized,0.005,1.3896764399536623e-18,1.3869739735724116e-18,0.0019446730933574817,0.0008857417547363277,0.001,True
6um,central_localized,0.0025,1.3896764399536623e-18,1.3857449814513023e-18,0.002829045948631839,0.0008857417547363277,0.001,True
6um,design_edge_localized,0.01,2.5280698504538606e-17,2.5278180415274348e-17,9.960520923923411e-05,0.00012724409417359673,0.001,True
6um,design_edge_localized,0.005,2.5280698504538606e-17,2.5277472863800907e-17,0.00012759302268173419,0.00012724409417359673,0.001,True
6um,design_edge_localized,0.0025,2.5280698504538606e-17,2.528068968225961e-17,3.489729128796486e-07,0.00012724409417359673,0.001,True
6um,smooth_asymmetric,0.01,-9.620440634559469e-17,-9.620416471460541e-17,2.5116416020631363e-06,3.3902418597634394e-05,0.001,True
6um,smooth_asymmetric,0.005,-9.620440634559469e-17,-9.620591655669392e-17,1.5697694625017013e-05,3.3902418597634394e-05,0.001,True
6um,smooth_asymmetric,0.0025,-9.620440634559469e-17,-9.620265494343925e-17,1.8205009749301067e-05,3.3902418597634394e-05,0.001,True
6um,fixed_seed_random,0.01,2.95761612403721e-18,2.955479964156111e-18,0.0007222573151863283,0.0024250789032312604,0.001,False
6um,fixed_seed_random,0.005,2.95761612403721e-18,2.9576849223476637e-18,2.326086525783e-05,0.0024250789032312604,0.001,False
6um,fixed_seed_random,0.0025,2.95761612403721e-18,2.964874978107791e-18,0.0024482833590554827,0.0024250789032312604,0.001,False
