scenario,step,sign,analytic_directional_A,finite_difference_directional_A,relative_error,P_Q_W,P_six_W,six_face_closure_relative_error,Q_mapping_relative_error,energy_balance_relative_error,linear_residual_relative,FSP_sha256,reused_completed
4um,0.01,plus,1.599423887033223e-15,1.59939755058442e-15,1.6466209499877618e-05,1.6926680678544491e-12,1.6929837449845492e-12,0.00018646199707185552,2.386154681733434e-16,2.7937099013735057e-12,9.874069912887948e-12,e476c0788f8ac1ec270e4d1a0195a94308806cb0be076984d03f1c8d0eab52d9,True
4um,0.01,minus,1.599423887033223e-15,1.59939755058442e-15,1.6466209499877618e-05,1.6923789256878464e-12,1.69274548305249e-12,0.00021654605982619456,1.193281177585567e-16,3.0804553599371418e-12,1.0190596204318034e-11,21c57e788b08adde3afbeebff3edd3e2cebf0f08595d109829597c2f5d925273,True
4um,0.005,plus,1.599423887033223e-15,1.5994044112449195e-15,1.217675218027678e-05,1.6925961861246483e-12,1.692924635546838e-12,0.00019401302059945743,0.0,2.8052825744467157e-12,9.864742196821595e-12,f5b440a2ec4c93046b65f3c08876a4660d8240c6f55d2b907178fe854acf2b10,True
4um,0.005,minus,1.599423887033223e-15,1.5994044112449195e-15,1.217675218027678e-05,1.692451579595357e-12,1.6928053183113072e-12,0.00020896597625470466,1.193229952167153e-16,2.8267617566839846e-12,9.873705015966417e-12,a3207099667851378d6696536319a9f42cb473b3dbbed59c20301538f694c490,True
4um,0.0025,plus,1.599423887033223e-15,1.5993896486185328e-15,2.1406717110991595e-05,1.6925600925857906e-12,1.692894887817797e-12,0.00019776492587671174,0.0,2.81130816385244e-12,9.876079526375711e-12,64d9e308c9325581aa79678efd4f9ae1779bdc4fbad158f3a053da70b0a628be,True
4um,0.0025,minus,1.599423887033223e-15,1.5993896486185328e-15,2.1406717110991595e-05,1.692487820998817e-12,1.692835217006345e-12,0.00020521548939790297,1.1932044014201516e-16,3.064029582406807e-12,1.021352236142191e-11,841d0ae49a668b450eb0357adc5197f796eceae492940e2022baf777571092a8,True
6um,0.01,plus,3.883401770622571e-16,3.883325293349138e-16,1.9693371417711897e-05,1.6926680678544491e-12,1.6929837449845492e-12,0.00018646199707185552,2.386154681733434e-16,3.153780642847081e-12,1.0202128356152363e-11,e476c0788f8ac1ec270e4d1a0195a94308806cb0be076984d03f1c8d0eab52d9,True
6um,0.01,minus,3.883401770622571e-16,3.883325293349138e-16,1.9693371417711897e-05,1.6923789256878464e-12,1.69274548305249e-12,0.00021654605982619456,1.193281177585567e-16,3.1763951666150213e-12,1.0131831807495125e-11,21c57e788b08adde3afbeebff3edd3e2cebf0f08595d109829597c2f5d925273,True
6um,0.005,plus,3.883401770622571e-16,3.883355397924873e-16,1.1941256773621491e-05,1.6925961861246483e-12,1.692924635546838e-12,0.00019401302059945743,2.386256017732831e-16,3.159283654677382e-12,1.0175656009535008e-11,f5b440a2ec4c93046b65f3c08876a4660d8240c6f55d2b907178fe854acf2b10,True
6um,0.005,minus,3.883401770622571e-16,3.883355397924873e-16,1.1941256773621491e-05,1.692451579595357e-12,1.6928053183113072e-12,0.00020896597625470466,1.193229952167153e-16,3.171127920879425e-12,1.0145602009711386e-11,a3207099667851378d6696536319a9f42cb473b3dbbed59c20301538f694c490,True
6um,0.0025,plus,3.883401770622571e-16,3.8833075054685534e-16,2.427386080185865e-05,1.6925600925857906e-12,1.692894887817797e-12,0.00019776492587671174,0.0,3.161856648081218e-12,1.0191036881086861e-11,64d9e308c9325581aa79678efd4f9ae1779bdc4fbad158f3a053da70b0a628be,True
6um,0.0025,minus,3.883401770622571e-16,3.8833075054685534e-16,2.427386080185865e-05,1.692487820998817e-12,1.692835217006345e-12,0.00020521548939790297,1.1932044014201516e-16,3.1679576857705023e-12,1.0172288131696575e-11,841d0ae49a668b450eb0357adc5197f796eceae492940e2022baf777571092a8,True
