scenario,direction,h,analytic_directional_A,finite_difference_directional_A,relative_error,objective_numerator_A,objective_numerator_over_base,objective_midpoint_bias_A,P_Q_directional_W,P_six_directional_W
4um,adjoint_aligned,0.01,1.599423887033223e-15,1.59939755058442e-15,1.6466209499877618e-05,3.19879510116884e-17,0.0691424534271477,4.20250049898676e-22,1.445710833013676e-14,1.1913096602956904e-14
4um,adjoint_aligned,0.005,1.599423887033223e-15,1.5994044112449195e-15,1.217675218027678e-05,1.5994044112449195e-17,0.03457137500781717,8.185958061418283e-23,1.4460652929126412e-14,1.193172355308634e-14
4um,adjoint_aligned,0.0025,1.599423887033223e-15,1.5993896486185328e-15,2.1406717110991595e-05,7.996948243092664e-18,0.017285527955676342,-1.0422486486119505e-23,1.4454317394709473e-14,1.1934162290387172e-14
4um,central_localized,0.01,5.068795705543801e-18,5.0596407543965516e-18,0.0018061393039054108,1.0119281508793103e-19,0.00021872984305317455,8.305721030782765e-23,4.4551781465340665e-14,4.4542624091465317e-14
4um,central_localized,0.005,5.068795705543801e-18,5.061493002523581e-18,0.0014407175677318197,5.0614930025235806e-20,0.00010940495815782128,-1.8636959975995355e-23,4.454796169718757e-14,4.454531191535574e-14
4um,central_localized,0.0025,5.068795705543801e-18,5.054431744398993e-18,0.002833801553512638,2.5272158721994965e-20,5.462616398282369e-05,-2.7729498565039383e-23,4.4550803047041667e-14,4.455921693682587e-14
4um,design_edge_localized,0.01,9.124395854981658e-17,9.123832339952486e-17,6.175916062038008e-05,1.8247664679904973e-18,0.003944261090132083,-1.1761726421157082e-21,1.6228436321487477e-14,1.6115009915557868e-14
4um,design_edge_localized,0.005,9.124395854981658e-17,9.123692413361146e-17,7.709459691269872e-05,9.123692413361146e-19,0.00197210029971578,-2.627381659347106e-22,1.622654547309158e-14,1.6117333136197585e-14
4um,design_edge_localized,0.0025,9.124395854981658e-17,9.124630406049972e-17,2.5705267816524138e-05,4.562315203024986e-19,0.0009861515241468817,-5.1084093076074044e-23,1.6226839924368243e-14,1.613698350126215e-14
4um,smooth_asymmetric,0.01,-7.696255669726497e-16,-7.696232220118062e-16,3.046885322046519e-06,-1.5392464440236124e-17,0.033271051193593734,2.5963463204351715e-21,6.045081653245851e-14,6.065605739023395e-14
4um,smooth_asymmetric,0.005,-7.696255669726497e-16,-7.696321028569287e-16,8.492218885752786e-06,-7.696321028569287e-18,0.01663571755764489,5.98392670159608e-22,6.044832986803833e-14,6.064463407445231e-14
4um,smooth_asymmetric,0.0025,-7.696255669726497e-16,-7.696199573775693e-16,7.288732756761129e-06,-3.848099786887846e-18,0.008317727515610142,1.2770004780564542e-22,6.044620628325912e-14,6.066700282281348e-14
4um,fixed_seed_random,0.01,6.017464960308618e-18,6.010147859653368e-18,0.0012159772767293636,1.2020295719306736e-19,0.0002598205607633387,2.508044302134666e-22,6.689165824303744e-15,6.689663032391751e-15
4um,fixed_seed_random,0.005,6.017464960308618e-18,6.0158701028714076e-18,0.0002650380929063025,6.015870102871408e-20,0.00013003396755846214,5.1447848475169805e-23,6.684521877147532e-15,6.684341876123308e-15
4um,fixed_seed_random,0.0025,6.017464960308618e-18,6.046672518137073e-18,0.004830352188058195,3.0233362590685365e-20,6.534988327663428e-05,2.6575053878359535e-23,6.689010179951929e-15,6.629413375859068e-15
6um,adjoint_aligned,0.01,3.883401770622571e-16,3.883325293349138e-16,1.9693371417711897e-05,7.766650586698276e-18,0.061823630540428325,9.532802373007463e-23,1.445710833013676e-14,1.1913096602956904e-14
6um,adjoint_aligned,0.005,3.883401770622571e-16,3.883355397924873e-16,1.1941256773621491e-05,3.883355397924873e-18,0.030912054906869248,2.9179516022270156e-23,1.4460652929126412e-14,1.193172355308634e-14
6um,adjoint_aligned,0.0025,3.883401770622571e-16,3.8833075054685534e-16,2.427386080185865e-05,1.9416537527342767e-18,0.015455836838092004,9.89939183379132e-25,1.4454317394709473e-14,1.1934162290387172e-14
6um,central_localized,0.01,1.3896764399536623e-18,1.3875287176398017e-18,0.0015454837198882797,2.7750574352796033e-20,0.00022089847314752105,2.0733372819977393e-23,4.4551781465340665e-14,4.4542624091465317e-14
6um,central_localized,0.005,1.3896764399536623e-18,1.3869739735724116e-18,0.0019446730933574817,1.3869739735724116e-20,0.00011040507816611237,-1.0197503158735246e-23,4.454796169718757e-14,4.454531191535574e-14
6um,central_localized,0.0025,1.3896764399536623e-18,1.3857449814513023e-18,0.002829045948631839,6.928724907256512e-21,5.515362433275012e-05,-1.1234583683734254e-23,4.4550803047041667e-14,4.455921693682587e-14
6um,design_edge_localized,0.01,2.5280698504538606e-17,2.5278180415274348e-17,9.960520923923411e-05,5.05563608305487e-19,0.004024357396494074,-3.3022168366001933e-22,1.6228436321487477e-14,1.6115009915557868e-14
6um,design_edge_localized,0.005,2.5280698504538606e-17,2.5277472863800907e-17,0.00012759302268173419,2.5277472863800907e-19,0.0020121223761550436,-7.398439028318575e-23,1.622654547309158e-14,1.6117333136197585e-14
6um,design_edge_localized,0.0025,2.5280698504538606e-17,2.528068968225961e-17,3.489729128796486e-07,1.2640344841129805e-19,0.0010061892197133515,-1.98388662818226e-23,1.6226839924368243e-14,1.613698350126215e-14
6um,smooth_asymmetric,0.01,-9.620440634559469e-17,-9.620416471460541e-17,2.5116416020631363e-06,-1.9240832942921083e-18,0.015315973518759086,9.862673086139862e-22,6.045081653245851e-14,6.065605739023395e-14
6um,smooth_asymmetric,0.005,-9.620440634559469e-17,-9.620591655669392e-17,1.5697694625017013e-05,-9.620591655669392e-19,0.007658126208472606,2.4157098292294927e-22,6.044832986803833e-14,6.064463407445231e-14
6um,smooth_asymmetric,0.0025,-9.620440634559469e-17,-9.620265494343925e-17,1.8205009749301067e-05,-4.810132747171962e-19,0.0038289332897361063,6.041249417324623e-23,6.044620628325912e-14,6.066700282281348e-14
6um,fixed_seed_random,0.01,2.95761612403721e-18,2.955479964156111e-18,0.0007222573151863283,5.910959928312222e-20,0.0004705207201842261,5.343489581261949e-23,6.689165824303744e-15,6.689663032391751e-15
6um,fixed_seed_random,0.005,2.95761612403721e-18,2.9576849223476637e-18,2.326086525783e-05,2.957684922347664e-20,0.000235435877863989,1.0273402227439728e-23,6.684521877147532e-15,6.684341876123308e-15
6um,fixed_seed_random,0.0025,2.95761612403721e-18,2.964874978107791e-18,0.0024482833590554827,1.4824374890538956e-20,0.0001180041082052978,6.619391809138307e-24,6.689010179951929e-15,6.629413375859068e-15
