scenario,direction_index,direction,set,step,AD_A,FD_A,relative_error
4um,1,adjoint_aligned,original,0.005,4.419047771410595e-15,4.418531763672822e-15,0.00011676898835787123
4um,2,central_localized,original,0.005,4.4984722601489396e-17,4.494181288258212e-17,0.0009538731468325798
4um,3,design_edge_localized,original,0.005,2.424939852814697e-16,2.424662929598756e-16,0.00011419797304241267
4um,4,smooth_asymmetric,original,0.005,-2.703799600947816e-15,-2.7032523056030884e-15,0.00020241712608275414
4um,5,fixed_seed_random,original,0.005,-1.8860828398821073e-17,-1.887711946213072e-17,0.0008630057855135116
4um,6,uniform,additional,0.005,7.165375181740186e-16,7.149263785268849e-16,0.0022485070303637504
4um,7,x_antisymmetric,additional,0.005,4.153434930474189e-15,4.152986758459008e-15,0.00010790394521242153
4um,8,y_antisymmetric,additional,0.005,-2.704397318323214e-15,-2.7038655899721488e-15,0.00019661621000081127
4um,9,diagonal_quadrupole,additional,0.005,-1.3714750236548268e-16,-1.370940127204303e-16,0.0003900154514649546
4um,10,radial_ring,additional,0.005,1.4362375946295298e-17,1.4318696658513042e-17,0.003041229943122547
6um,1,adjoint_aligned,original,0.005,1.0632609742134683e-15,1.0631518787772494e-15,0.00010260457109277712
6um,2,central_localized,original,0.005,1.2055674044245489e-17,1.2042968299586211e-17,0.001053922378180278
6um,3,design_edge_localized,original,0.005,6.698058703508498e-17,6.697295034441257e-17,0.00011401349272158546
6um,4,smooth_asymmetric,original,0.005,-3.2802046662955576e-16,-3.2797195689028756e-16,0.00014788631870030447
6um,5,fixed_seed_random,original,0.005,-2.3268978787554293e-18,-2.3309230977510797e-18,0.0017268776475439945
6um,6,uniform,additional,0.005,1.6229759183529045e-16,1.6191347038040023e-16,0.002366772362710394
6um,7,x_antisymmetric,additional,0.005,1.1622390894546856e-15,1.162103765552017e-15,0.00011643379051381936
6um,8,y_antisymmetric,additional,0.005,-2.675350359966235e-16,-2.675082181422442e-16,0.00010024053215832328
6um,9,diagonal_quadrupole,additional,0.005,-3.579107268874315e-17,-3.577409863536948e-17,0.00047425383199016996
6um,10,radial_ring,additional,0.005,5.765720016414771e-18,5.752687304362154e-18,0.002260378931948369
