scenario,direction,step,AD_A,FD_A,relative_error
4um,adjoint_aligned,0.005,4.419047771410595e-15,4.418531763672822e-15,0.00011676898835787123
4um,central_localized,0.005,4.4984722601489396e-17,4.494181288258212e-17,0.0009538731468325798
4um,design_edge_localized,0.005,2.424939852814697e-16,2.424662929598756e-16,0.00011419797304241267
4um,smooth_asymmetric,0.005,-2.703799600947816e-15,-2.7032523056030884e-15,0.00020241712608275414
4um,fixed_seed_random,0.005,-1.8860828398821073e-17,-1.887711946213072e-17,0.0008630057855135116
6um,adjoint_aligned,0.005,1.0632609742134683e-15,1.0631518787772494e-15,0.00010260457109277712
6um,central_localized,0.005,1.2055674044245489e-17,1.2042968299586211e-17,0.001053922378180278
6um,design_edge_localized,0.005,6.698058703508498e-17,6.697295034441257e-17,0.00011401349272158546
6um,smooth_asymmetric,0.005,-3.2802046662955576e-16,-3.2797195689028756e-16,0.00014788631870030447
6um,fixed_seed_random,0.005,-2.3268978787554293e-18,-2.3309230977510797e-18,0.0017268776475439945
