direction,step,adjoint_directional_A,finite_difference_directional_A,relative_error,bulk_k_directional_A,interface_G_directional_A,top_convection_k_directional_A,plus_objective_A,minus_objective_A,plus_forward_residual,minus_forward_residual,plus_energy_error,minus_energy_error,elapsed_s
uniform,0.01,-6.256360999249426e-18,-6.256364469099067e-18,5.546111736962866e-07,-3.977126365888427e-19,-5.858648362658704e-18,-1.87868990689847e-30,9.115156800786814e-15,9.115281928076196e-15,1.0707641738334191e-11,1.0545337505696866e-11,1.5831180184333676e-12,1.5533073872204647e-12,35.58878956362605
uniform,0.005,-6.256360999249426e-18,-6.256361865936966e-18,1.3852899795625308e-07,-3.977126365888427e-19,-5.858648362658704e-18,-1.87868990689847e-30,9.11518807653739e-15,9.115250640156049e-15,1.0708457164359093e-11,1.0553023049450378e-11,1.5757047926820109e-12,1.5608783411792971e-12,28.615701988339424
uniform,0.0025,-6.256360999249426e-18,-6.25636121228682e-18,3.405132581786498e-08,-3.977126365888427e-19,-5.858648362658704e-18,-1.87868990689847e-30,9.115203715922595e-15,9.115234997728656e-15,1.0694080722207771e-11,1.0572140815440578e-11,1.5720770439100702e-12,1.564821546366189e-12,26.274754285812378
uniform,0.00125,-6.256360999249426e-18,-6.256361052936917e-18,8.581264854269301e-09,-3.977126365888427e-19,-5.858648362658704e-18,-1.87868990689847e-30,9.115211535994026e-15,9.115227176896658e-15,1.063922590713031e-11,1.0598644472987227e-11,1.5703420336278378e-12,1.5667142848558971e-12,29.235263846814632
sinusoidal,0.01,-9.402830575000256e-18,-9.40278544352364e-18,4.799775584207756e-06,1.221930828281857e-19,-9.525023657706608e-18,-1.2183495830541862e-28,9.115125377057454e-15,9.115313432766325e-15,1.0681712092583534e-11,1.0587260440375047e-11,1.5675029258932755e-12,1.5679761105157027e-12,28.438741084188223
sinusoidal,0.005,-9.402830575000256e-18,-9.40281929441283e-18,1.199701232125916e-06,1.221930828281857e-19,-9.525023657706608e-18,-1.2183495830541862e-28,9.115172354370247e-15,9.11526638256319e-15,1.0683762390959132e-11,1.0662438211320084e-11,1.5675029258932755e-12,1.5679761105157027e-12,30.296148397028446
sinusoidal,0.0025,-9.402830575000256e-18,-9.402827754472722e-18,2.9996579347562556e-07,1.221930828281857e-19,-9.525023657706608e-18,-1.2183495830541862e-28,9.115195852286234e-15,9.115242866425007e-15,1.0606259239125855e-11,1.0637692005670685e-11,1.5678183823082269e-12,1.5678183823082269e-12,27.515340264886618
sinusoidal,0.00125,-9.402830575000256e-18,-9.402829870828758e-18,7.488931042659724e-08,1.221930828281857e-19,-9.525023657706608e-18,-1.2183495830541862e-28,9.1152076035405e-15,9.115231110615178e-15,1.0582071499875966e-11,1.0557965129109725e-11,1.5679761105157027e-12,1.5682915669306539e-12,37.99659541621804
center_edge,0.01,2.001312192218488e-18,2.00130392068859e-18,4.133053268767286e-06,5.1259621740015794e-20,1.950052570477859e-18,6.129087838790346e-31,9.115239379963929e-15,9.115199353885515e-15,1.0675740118005299e-11,1.0684915918064634e-11,1.5657679156110432e-12,1.5708152182502648e-12,28.918342515826225
center_edge,0.005,2.001312192218488e-18,2.001310124685179e-18,1.0330888488066935e-06,5.1259621740015794e-20,1.950052570477859e-18,6.129087838790346e-31,9.1152293655206e-15,9.115209352419354e-15,1.0686771750629701e-11,1.0651728207811437e-11,1.5671874694783243e-12,1.5695533925904594e-12,24.164972208440304
center_edge,0.0025,2.001312192218488e-18,2.0013116727458196e-18,2.595660339130998e-07,5.1259621740015794e-20,1.950052570477859e-18,6.129087838790346e-31,9.115224360260622e-15,9.115214353702258e-15,1.0658269390887586e-11,1.0633646589177492e-11,1.5679761105157027e-12,1.568764751553081e-12,25.775668043643236
center_edge,0.00125,2.001312192218488e-18,2.0013120596032075e-18,6.626416455730162e-08,5.1259621740015794e-20,1.950052570477859e-18,6.129087838790346e-31,9.115221858124375e-15,9.115216854844226e-15,1.0569087312969027e-11,1.0670098976787261e-11,1.5678183823082269e-12,1.5682915669306539e-12,26.609857220202684
seeded_random,0.01,2.53022539980212e-19,2.530214733793784e-19,4.215438014581082e-06,-1.5419898735719124e-21,2.545645298517682e-19,2.0159500193272922e-30,9.115221891443038e-15,9.11521683101357e-15,1.0438240765879574e-11,1.0442499364857064e-11,1.5671874694783243e-12,1.5678183823082269e-12,28.563126109540462
seeded_random,0.005,2.53022539980212e-19,2.5302227375765284e-19,1.0521693409687097e-06,-1.5419898735719124e-21,2.545645298517682e-19,2.0159500193272922e-30,9.115220622657315e-15,9.115218092434577e-15,1.0481575507020103e-11,1.04282000719567e-11,1.5670297412708485e-12,1.5675029258932755e-12,34.058153074234724
seeded_random,0.0025,2.53022539980212e-19,2.5302247097287915e-19,2.7273195835182317e-07,-1.5419898735719124e-21,2.545645298517682e-19,2.0159500193272922e-30,9.115219989181608e-15,9.115218724069253e-15,1.0434344311357663e-11,1.0419474384244476e-11,1.5671874694783243e-12,1.5676606541007513e-12,26.86087452247739
seeded_random,0.00125,2.53022539980212e-19,2.530225069449364e-19,1.305625797625031e-07,-1.5419898735719124e-21,2.545645298517682e-19,2.0159500193272922e-30,9.115219672673441e-15,9.115219040117173e-15,1.0462246681995876e-11,1.0408332957392856e-11,1.5675029258932755e-12,1.5670297412708485e-12,28.865535717457533
