flake_span_um,direction,step,adjoint_directional_A,finite_difference_directional_A,relative_error,signal_ratio,included_in_gate,bulk_k_A,interface_G_A,top_convection_k_A,component_sum_relative_error,plus_source_array_sha256,minus_source_array_sha256,plus_energy_balance_relative_error,minus_energy_balance_relative_error,plus_linear_residual_relative,minus_linear_residual_relative,wall_s
4.0,adjoint_aligned,0.01,2.6908341626987686e-17,2.6908235143586687e-17,3.957263605302958e-06,0.6764047578059127,True,-4.504289183692307e-19,2.7358770545016618e-17,3.4030057860087706e-28,1.1451794219562764e-16,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,3.1951073887377742e-12,3.1990535897119252e-12,1.015864550455096e-11,1.0121052556963356e-11,28.71174367144704
4.0,adjoint_aligned,0.005,2.6908341626987686e-17,2.6908315011887922e-17,9.891021948989788e-07,0.6764047578059127,True,-4.504289183692307e-19,2.7358770545016618e-17,3.4030057860087706e-28,1.1451794219562764e-16,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,3.1958248798239832e-12,3.198096934930313e-12,1.0164715117662657e-11,1.0175114771486601e-11,26.828905381262302
4.0,seeded_random,0.01,-4.769602888330372e-19,-4.76957913514295e-19,4.980118466432264e-06,0.01198952403397388,True,1.921094958912268e-20,-4.961712384166648e-19,-5.494852605706385e-30,4.0379251469746976e-16,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,3.1976186075395068e-12,3.1973794438441036e-12,1.0159111243842154e-11,1.0156904184437965e-11,30.145951367914677
4.0,seeded_random,0.005,-4.769602888330372e-19,-4.769596953933077e-19,1.244212030546615e-06,0.01198952403397388,True,1.921094958912268e-20,-4.961712384166648e-19,-5.494852605706385e-30,4.0379251469746976e-16,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,3.1971402801487005e-12,3.197259861996402e-12,1.0146038513925743e-11,1.0160105519851217e-11,31.298962399363518
4.0,asymmetric_smooth,0.01,-2.0376909321582222e-17,-2.037686930170222e-17,1.9639818468509367e-06,0.512221771432922,True,2.4904543951256236e-19,-2.0625954760878057e-17,-2.167267141707981e-28,0.0,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,3.2010864811228515e-12,3.1927157517837432e-12,1.0167937087934369e-11,1.0153365387145183e-11,24.509548615664244
4.0,asymmetric_smooth,0.005,-2.0376909321582222e-17,-2.037689931898379e-17,4.908790766159721e-07,0.512221771432922,True,2.4904543951256236e-19,-2.0625954760878057e-17,-2.167267141707981e-28,0.0,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,14f32c06604f5683349d450113847076143c2948c153d4d0a33a737d98a20e67,3.1984556804734174e-12,3.1955857161285805e-12,1.0152947587069308e-11,1.0166055960885219e-11,24.660536389797926
6.0,adjoint_aligned,0.01,4.824496147957441e-18,4.824469004155336e-18,5.626245989648851e-06,0.6504833786174604,True,-1.5169298445516338e-19,4.976189132296937e-18,1.1566638346462057e-28,1.5967926061689337e-16,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,3.463688218675461e-12,3.466079855629492e-12,1.005686391544836e-11,1.006267745657177e-11,42.23807895928621
6.0,adjoint_aligned,0.005,4.824496147957441e-18,4.824489363314236e-18,1.4062905215871863e-06,0.6504833786174604,True,-1.5169298445516338e-19,4.976189132296937e-18,1.1566638346462057e-28,1.5967926061689337e-16,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,3.4648840371524763e-12,3.466079855629492e-12,1.0061139890297009e-11,1.0057287935885651e-11,48.79561806097627
6.0,seeded_random,0.01,-1.13997905723251e-19,-1.1399696436382592e-19,8.257690517324752e-06,0.015370256415598901,True,7.188019952717501e-21,-1.2118592567364463e-19,-2.323875857090975e-30,0.0,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,3.465003619000178e-12,3.4656015282386857e-12,1.0050071908001673e-11,9.984012570919317e-12,47.29891560226679
6.0,seeded_random,0.005,-1.13997905723251e-19,-1.1399767027600695e-19,2.0653646446833517e-06,0.015370256415598901,True,7.188019952717501e-21,-1.2118592567364463e-19,-2.323875857090975e-30,0.0,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,3.465003619000178e-12,3.465242782695581e-12,1.0066825292125777e-11,1.0021074332001579e-11,40.762940887361765
6.0,asymmetric_smooth,0.01,-4.3131091069766285e-18,-4.3130920089223526e-18,3.964206295704209e-06,0.5815334281984474,True,1.2043266155812875e-19,-4.433541768442155e-18,-9.260175566637177e-29,1.7861175283249534e-16,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,5a772b2c4962787b39ee9b92a0c6e55d5e2e59649ed57123ec781cc8842b825e,3.4672756741065073e-12,3.462611982046147e-12,1.0050814964722869e-11,1.0069489348797599e-11,39.13338440284133
