flake_span_um,direction,step,adjoint_directional_K,finite_difference_directional_K,relative_error,bulk_k_directional_K,interface_G_directional_K,top_convection_k_directional_K,plus_energy_error,minus_energy_error,plus_linear_residual,minus_linear_residual,elapsed_s
4.0,uniform,0.01,-3.1872562832846373e-10,-3.187585182009267e-10,0.00010318115622006604,-1.006238971854403e-11,-3.086632385281315e-10,-8.178819226414357e-20,2.9561297493798954e-12,3.156752023169965e-12,9.90876447899089e-12,1.007113003594724e-11,29.43827384710312
4.0,uniform,0.005,-3.1872562832846373e-10,-3.187338500762857e-10,2.579502559887996e-05,-1.006238971854403e-11,-3.086632385281315e-10,-8.178819226414357e-20,3.193576612161229e-12,3.1693058603260777e-12,1.0198359431119694e-11,1.0116578635073027e-11,23.11433457583189
4.0,sinusoidal,0.01,-1.612573596632542e-12,-1.6125681562673851e-12,3.373715883859628e-06,1.4469487314178545e-14,-1.6270430839350806e-12,-1.1631284640876391e-23,3.1828161803131323e-12,3.18030541288191e-12,1.0172864140006175e-11,1.015899702272146e-11,28.877837877720594
4.0,sinusoidal,0.005,-1.612573596632542e-12,-1.6125722365839107e-12,8.434025176217713e-07,1.4469487314178545e-14,-1.6270430839350806e-12,-1.1631284640876391e-23,3.1823379388976614e-12,3.1810227750051163e-12,1.0156473496406342e-11,1.0155424451545062e-11,29.865282278507948
4.0,seeded_random,0.01,-9.473814392128792e-12,-9.473792842352332e-12,2.274667369282805e-06,-2.2784567294012026e-13,-9.24596871686617e-12,-2.322501917873199e-21,3.182935740667e-12,3.181142335358984e-12,1.0126637744156923e-11,1.0149930428540268e-11,21.351180773228407
4.0,seeded_random,0.005,-9.473814392128792e-12,-9.47380900678499e-12,5.684451456664887e-07,-2.2784567294012026e-13,-9.24596871686617e-12,-2.322501917873199e-21,3.182577059605397e-12,3.1807836542973808e-12,1.0174618608867379e-11,1.0183026851942713e-11,25.912470187991858
6.0,uniform,0.01,-2.191022127594259e-10,-2.1913075910087403e-10,0.00013027080983640265,-7.100938467065404e-12,-2.1200127419061839e-10,-1.0174208700006634e-19,3.518661214327617e-12,3.4804019010899396e-12,1.0225868724342602e-11,1.00921652018578e-11,41.26409811154008
6.0,uniform,0.005,-2.191022127594259e-10,-2.1910934850612947e-10,3.256705728089963e-05,-7.100938467065404e-12,-2.1200127419061839e-10,-1.0174208700006634e-19,3.5095746274336686e-12,3.4905645311686976e-12,1.0198233935606675e-11,1.0121024929112077e-11,41.413473427295685
6.0,sinusoidal,0.01,-1.2442226527403525e-12,-1.2442188670265026e-12,3.042633761334313e-06,1.1812312485682717e-14,-1.2560349652143373e-12,-1.17062294009235e-23,3.501085842309059e-12,3.4995315577087783e-12,1.015495000663125e-11,1.0085972434363762e-11,32.18860085681081
6.0,sinusoidal,0.005,-1.2442226527403525e-12,-1.2442217098808319e-12,7.577900294178684e-07,1.1812312485682717e-14,-1.2560349652143373e-12,-1.17062294009235e-23,3.5007271612474556e-12,3.4997706784165137e-12,1.0169095876768255e-11,1.0155814060050302e-11,38.16225245594978
6.0,seeded_random,0.01,-6.536232311038702e-12,-6.536218251107308e-12,2.151075837814143e-06,-1.6293891312761452e-13,-6.373293395025642e-12,-2.88544660881682e-21,3.5039552908018845e-12,3.5029988079709426e-12,1.0110873250426767e-11,1.0097655411180486e-11,36.89530012384057
6.0,seeded_random,0.005,-6.536232311038702e-12,-6.536228795344012e-12,5.378778664800547e-07,-1.6293891312761452e-13,-6.373293395025642e-12,-2.88544660881682e-21,3.5026401269093394e-12,3.5026401269093394e-12,9.942972944737988e-12,9.951983649658258e-12,35.84661519899964
