case,P_Q_W,P_six_W,closure_relative_error,source_intensity_W_m2,relative_P_Q_change_from_flat_baseline,passed
flat_pml24_xy50_dz5_tfsf2p6,1.3567412718462558e-12,1.3567343935235152e-12,5.069763671844543e-06,0.9990774703439347,0,true
flat_pml32_matched_inner,1.3567281643471084e-12,1.3567215324316366e-12,4.888192096395914e-06,0.9990759709401065,9.661016009037011e-06,true
flat_dz2p5,1.35637397721861e-12,1.3563738706598484e-12,7.856149686144492e-08,0.9990774703439346,0.0002707182535591808,true
flat_xy25,1.3567385099333843e-12,1.3567349416056173e-12,2.630084666888673e-06,0.9990774703439352,2.0356960674044926e-06,true
flat_tfsf3p0,1.3567412395928241e-12,1.3567344414381459e-12,5.010674506851545e-06,0.9990774703439347,2.3772720978285944e-08,true
flat_tfsf3p4,1.3567412578085808e-12,1.3567345739778877e-12,4.9264099413848675e-06,0.9990774703439343,1.0346611648790782e-08,true
rho0_air,1.356746074711707e-12,1.356739303416645e-12,4.990859367673179e-06,0.9990774703439347,3.5400009941400285e-06,true
rho1_sio2,2.0897370029545985e-12,2.090775542520629e-12,0.0004967245622063595,0.9990774703439347,,true
rho0p5_standard_pml24,1.6891228343790494e-12,1.6896323310397946e-12,0.0003015429163998723,0.9990774703439347,,true
rho0p5_stabilized_xy_pml32,1.689091619450848e-12,1.6895947794697648e-12,0.0002977992267913773,0.9990759709401065,,true
