G_SiO2_W_m2K,absolute_error,adjoint_directional,finite_difference,minus_objective_A_m_per_W_m2,plus_objective_A_m_per_W_m2,relative_error,scenario,step
7370000.0,5.36330066802442e-26,-1.6030177074177752e-21,-1.6030713404244554e-21,-2.1140864834344265e-21,-2.1782093370514047e-21,3.345640666624571e-05,thermally_grown_SiO2_baseline,0.02
7370000.0,1.3414935301953526e-26,-1.6030177074177752e-21,-1.6030311223530772e-21,-2.1297436595517723e-21,-2.161804281998834e-21,8.368480882805222e-06,thermally_grown_SiO2_baseline,0.01
7370000.0,3.370902098216887e-27,-1.6030177074177752e-21,-1.6030210783198734e-21,-2.1376653846636592e-21,-2.153695595446858e-21,2.1028432774882346e-06,thermally_grown_SiO2_baseline,0.005
7370000.0,8.633771208846091e-28,-1.6030177074177752e-21,-1.603018570794896e-21,-2.1416495737025564e-21,-2.149664666556531e-21,5.385945843762012e-07,thermally_grown_SiO2_baseline,0.0025
7370000.0,1.6210318371511777e-28,-1.6030177074177752e-21,-1.603017869520959e-21,-2.1440475587007032e-21,-2.147253594439745e-21,1.0112375338870064e-07,thermally_grown_SiO2_baseline,0.001
7370000.0,6.197495107026758e-29,-1.6030177074177752e-21,-1.6030177693927263e-21,-2.1448481328920966e-21,-2.1464511506614894e-21,3.8661424878493796e-08,thermally_grown_SiO2_baseline,0.0005
7370000.0,2.99582465357911e-29,-1.6030177074177752e-21,-1.6030177373760217e-21,-2.1454890408692078e-21,-2.145809644416683e-21,1.8688655675656916e-08,thermally_grown_SiO2_baseline,0.0001
73700.0,2.151504959321331e-31,-3.3923584881121186e-23,-3.392358509627168e-23,-1.6380859908524027e-21,-1.6394429342562535e-21,6.342209861415234e-09,evaporated_SiO2_sensitivity,0.02
73700.0,4.6325997267036186e-32,-3.3923584881121186e-23,-3.3923584927447183e-23,-1.6384251359577323e-21,-1.6391036076562812e-21,1.365598516964354e-09,evaporated_SiO2_sensitivity,0.01
73700.0,4.910980298865353e-33,-3.3923584881121186e-23,-3.3923584886032166e-23,-1.6385947311957353e-21,-1.6389339670445957e-21,1.4476595900356686e-10,evaporated_SiO2_sensitivity,0.005
73700.0,3.970819917077687e-34,-3.3923584881121186e-23,-3.392358488151827e-23,-1.6386795344862722e-21,-1.6388491524106798e-21,1.170518956338547e-11,evaporated_SiO2_sensitivity,0.0025
73700.0,7.149121542830988e-33,-3.3923584881121186e-23,-3.392358488827031e-23,-1.6387304182755087e-21,-1.6387982654452852e-21,2.1074192383785847e-10,evaporated_SiO2_sensitivity,0.001
73700.0,9.312031148343997e-33,-3.3923584881121186e-23,-3.3923584890433217e-23,-1.6387473798410775e-21,-1.638781303425968e-21,2.745002091736502e-10,evaporated_SiO2_sensitivity,0.0005
73700.0,3.3005765481258353e-32,-3.3923584881121186e-23,-3.392358484811542e-23,-1.6387609492024527e-21,-1.6387677339194223e-21,9.72944504447889e-10,evaporated_SiO2_sensitivity,0.0001
