scenario,direction,step,provenance,analytic_directional_A,finite_difference_directional_A,relative_error,step_plateau_relative,step_plateau_limit,case_passed
4um,central_localized,0.02,new_h0.02_pair,5.068795705543801e-18,5.068258720822421e-18,0.00010593931035590332,0.0017003801306478912,0.001,False
4um,central_localized,0.01,immutable_failed_five_direction_sweep,5.068795705543801e-18,5.0596407543965516e-18,0.0018061393039054108,0.0017003801306478912,0.001,False
4um,central_localized,0.005,immutable_failed_five_direction_sweep,5.068795705543801e-18,5.061493002523581e-18,0.0014407175677318197,0.0017003801306478912,0.001,False
4um,fixed_seed_random,0.02,new_h0.02_pair,6.017464960308618e-18,6.0184221973321506e-18,0.00015905115861705854,0.0013748350327517063,0.001,False
4um,fixed_seed_random,0.01,immutable_failed_five_direction_sweep,6.017464960308618e-18,6.010147859653368e-18,0.0012159772767293636,0.0013748350327517063,0.001,False
4um,fixed_seed_random,0.005,immutable_failed_five_direction_sweep,6.017464960308618e-18,6.0158701028714076e-18,0.0002650380929063025,0.0013748350327517063,0.001,False
6um,central_localized,0.02,new_h0.02_pair,1.3896764399536623e-18,1.3895393994274655e-18,9.861326151679285e-05,0.0014470131530579676,0.001,False
6um,central_localized,0.01,immutable_failed_five_direction_sweep,1.3896764399536623e-18,1.3875287176398017e-18,0.0015454837198882797,0.0014470131530579676,0.001,False
6um,central_localized,0.005,immutable_failed_five_direction_sweep,1.3896764399536623e-18,1.3869739735724116e-18,0.0019446730933574817,0.0014470131530579676,0.001,False
6um,fixed_seed_random,0.02,new_h0.02_pair,2.95761612403721e-18,2.9573054961872427e-18,0.00010502642565498429,0.0007455013801140682,0.001,True
6um,fixed_seed_random,0.01,immutable_failed_five_direction_sweep,2.95761612403721e-18,2.955479964156111e-18,0.0007222573151863283,0.0007455013801140682,0.001,True
6um,fixed_seed_random,0.005,immutable_failed_five_direction_sweep,2.95761612403721e-18,2.9576849223476637e-18,2.326086525783e-05,0.0007455013801140682,0.001,True
