absolute_error,analytic,direction,family,finite_difference,minimum_Q_minus_W_m3,minimum_Q_plus_W_m3,relative_error,space,step
7.888609052210118e-31,4.569773831438238e-15,0,unrestricted,4.569773831438239e-15,,,1.7262580913610222e-16,temperature,0.01
1.5777218104420236e-30,4.569773831438238e-15,0,unrestricted,4.5697738314382396e-15,,,3.4525161827220445e-16,temperature,0.003
3.944304526105059e-30,4.569773831438238e-15,0,unrestricted,4.569773831438234e-15,,,8.631290456805111e-16,temperature,0.001
7.888609052210118e-31,4.569773831438238e-15,0,unrestricted,4.569773831438239e-15,,,1.7262580913610222e-16,temperature,0.0003
2.3665827156630354e-30,4.569773831438238e-15,0,unrestricted,4.56977383143824e-15,,,5.178774274083067e-16,temperature,0.0001
3.944304526105059e-30,4.569773831438238e-15,0,unrestricted,4.569773831438242e-15,,,8.631290456805111e-16,temperature,3e-05
7.888609052210118e-31,4.569773831438238e-15,0,unrestricted,4.569773831438239e-15,,,1.7262580913610222e-16,temperature,1e-05
7.888609052210118e-30,-1.0045429839002222e-14,1,unrestricted,-1.004542983900223e-14,,,7.852933302646675e-16,temperature,0.01
6.310887241768095e-30,-1.0045429839002222e-14,1,unrestricted,-1.0045429839002228e-14,,,6.282346642117341e-16,temperature,0.003
4.733165431326071e-30,-1.0045429839002222e-14,1,unrestricted,-1.0045429839002226e-14,,,4.711759981588005e-16,temperature,0.001
7.888609052210118e-30,-1.0045429839002222e-14,1,unrestricted,-1.004542983900223e-14,,,7.852933302646675e-16,temperature,0.0003
9.466330862652142e-30,-1.0045429839002222e-14,1,unrestricted,-1.0045429839002231e-14,,,9.42351996317601e-16,temperature,0.0001
7.888609052210118e-30,-1.0045429839002222e-14,1,unrestricted,-1.004542983900223e-14,,,7.852933302646675e-16,temperature,3e-05
6.310887241768095e-30,-1.0045429839002222e-14,1,unrestricted,-1.0045429839002228e-14,,,6.282346642117341e-16,temperature,1e-05
3.1554436208840472e-30,1.8787450913440186e-14,2,unrestricted,1.8787450913440182e-14,,,1.6795485643167818e-16,temperature,0.01
3.1554436208840472e-30,1.8787450913440186e-14,2,unrestricted,1.8787450913440182e-14,,,1.6795485643167818e-16,temperature,0.003
3.1554436208840472e-30,1.8787450913440186e-14,2,unrestricted,1.8787450913440182e-14,,,1.6795485643167818e-16,temperature,0.001
6.310887241768095e-30,1.8787450913440186e-14,2,unrestricted,1.878745091344018e-14,,,3.3590971286335636e-16,temperature,0.0003
3.1554436208840472e-30,1.8787450913440186e-14,2,unrestricted,1.8787450913440182e-14,,,1.6795485643167818e-16,temperature,0.0001
6.310887241768095e-30,1.8787450913440186e-14,2,unrestricted,1.878745091344018e-14,,,3.3590971286335636e-16,temperature,3e-05
6.310887241768095e-30,1.8787450913440186e-14,2,unrestricted,1.878745091344018e-14,,,3.3590971286335636e-16,temperature,1e-05
0.0,-1.1232988490518652e-14,3,unrestricted,-1.1232988490518652e-14,,,0.0,temperature,0.01
1.5777218104420236e-30,-1.1232988490518652e-14,3,unrestricted,-1.123298849051865e-14,,,1.404543244902031e-16,temperature,0.003
7.888609052210118e-30,-1.1232988490518652e-14,3,unrestricted,-1.1232988490518644e-14,,,7.022716224510156e-16,temperature,0.001
7.888609052210118e-30,-1.1232988490518652e-14,3,unrestricted,-1.1232988490518644e-14,,,7.022716224510156e-16,temperature,0.0003
3.1554436208840472e-30,-1.1232988490518652e-14,3,unrestricted,-1.1232988490518649e-14,,,2.809086489804062e-16,temperature,0.0001
1.5777218104420236e-30,-1.1232988490518652e-14,3,unrestricted,-1.123298849051865e-14,,,1.404543244902031e-16,temperature,3e-05
4.733165431326071e-30,-1.1232988490518652e-14,3,unrestricted,-1.1232988490518647e-14,,,4.2136297347060934e-16,temperature,1e-05
9.466330862652142e-30,1.179079243943076e-14,4,unrestricted,1.179079243943075e-14,,,8.028579004575506e-16,temperature,0.01
6.310887241768095e-30,1.179079243943076e-14,4,unrestricted,1.1790792439430754e-14,,,5.352386003050337e-16,temperature,0.003
7.888609052210118e-30,1.179079243943076e-14,4,unrestricted,1.1790792439430752e-14,,,6.690482503812922e-16,temperature,0.001
9.466330862652142e-30,1.179079243943076e-14,4,unrestricted,1.179079243943075e-14,,,8.028579004575506e-16,temperature,0.0003
1.1044052673094165e-29,1.179079243943076e-14,4,unrestricted,1.1790792439430749e-14,,,9.366675505338091e-16,temperature,0.0001
9.466330862652142e-30,1.179079243943076e-14,4,unrestricted,1.179079243943075e-14,,,8.028579004575506e-16,temperature,3e-05
6.310887241768095e-30,1.179079243943076e-14,4,unrestricted,1.1790792439430754e-14,,,5.352386003050337e-16,temperature,1e-05
6.7053176943786e-30,-2.81378257773761e-15,5,unrestricted,-2.8137825777376034e-15,,,2.383026232172471e-15,temperature,0.01
5.9164567891575885e-30,-2.81378257773761e-15,5,unrestricted,-2.813782577737604e-15,,,2.102670204858063e-15,temperature,0.003
1.9721522630525295e-30,-2.81378257773761e-15,5,unrestricted,-2.813782577737608e-15,,,7.008900682860209e-16,temperature,0.001
7.888609052210118e-31,-2.81378257773761e-15,5,unrestricted,-2.8137825777376093e-15,,,2.8035602731440835e-16,temperature,0.0003
1.9721522630525295e-30,-2.81378257773761e-15,5,unrestricted,-2.813782577737608e-15,,,7.008900682860209e-16,temperature,0.0001
3.549874073494553e-30,-2.81378257773761e-15,5,unrestricted,-2.8137825777376137e-15,,,1.2616021229148377e-15,temperature,3e-05
2.7610131682735413e-30,-2.81378257773761e-15,5,unrestricted,-2.8137825777376073e-15,,,9.812460956004293e-16,temperature,1e-05
4.338734978715565e-30,3.486889388737201e-15,6,unrestricted,3.486889388737197e-15,,,1.244299573347483e-15,temperature,0.01
1.5777218104420236e-30,3.486889388737201e-15,6,unrestricted,3.4868893887371996e-15,,,4.524725721263574e-16,temperature,0.003
2.3665827156630354e-30,3.486889388737201e-15,6,unrestricted,3.486889388737199e-15,,,6.787088581895362e-16,temperature,0.001
3.944304526105059e-30,3.486889388737201e-15,6,unrestricted,3.4868893887371972e-15,,,1.1311814303158935e-15,temperature,0.0003
1.1832913578315177e-30,3.486889388737201e-15,6,unrestricted,3.4868893887372e-15,,,3.393544290947681e-16,temperature,0.0001
7.888609052210118e-31,3.486889388737201e-15,6,unrestricted,3.4868893887372004e-15,,,2.262362860631787e-16,temperature,3e-05
3.944304526105059e-31,3.486889388737201e-15,6,unrestricted,3.4868893887372008e-15,,,1.1311814303158934e-16,temperature,1e-05
6.310887241768095e-30,1.497553480896854e-14,7,unrestricted,1.4975534808968533e-14,,,4.2141314632640927e-16,temperature,0.01
0.0,1.497553480896854e-14,7,unrestricted,1.497553480896854e-14,,,0.0,temperature,0.003
0.0,1.497553480896854e-14,7,unrestricted,1.497553480896854e-14,,,0.0,temperature,0.001
3.1554436208840472e-30,1.497553480896854e-14,7,unrestricted,1.4975534808968536e-14,,,2.1070657316320463e-16,temperature,0.0003
6.310887241768095e-30,1.497553480896854e-14,7,unrestricted,1.4975534808968533e-14,,,4.2141314632640927e-16,temperature,0.0001
3.1554436208840472e-30,1.497553480896854e-14,7,unrestricted,1.4975534808968536e-14,,,2.1070657316320463e-16,temperature,3e-05
3.1554436208840472e-30,1.497553480896854e-14,7,unrestricted,1.4975534808968536e-14,,,2.1070657316320463e-16,temperature,1e-05
6.69561582228375e-35,1.7145532591807404e-21,0,unrestricted,1.7145532591808074e-21,-17368.72680484778,-19598.360593663932,3.905166425383073e-14,source_Q,0.01
1.487705650400687e-33,1.7145532591807404e-21,0,unrestricted,1.7145532591792527e-21,-5210.618041454334,-4888.558498166243,8.676928771005648e-13,source_Q,0.003
