comparison,domain,metric,value,percent,threshold,passed
nested_vs_reference,raw_optical_control_volume,relative_power_change,0.000559739062889672,0.055973906288967194,0.005,True
nested_vs_reference,raw_optical_control_volume,equal_power_lateral_NRMSE,0.019577179488517095,1.9577179488517096,0.005,False
nested_vs_reference,raw_optical_control_volume,equal_power_full_3D_NRMSE,0.09281643003141953,9.281643003141953,0.005,False
nested_vs_reference,raw_optical_control_volume,equal_power_depth_NRMSE,0.0035878315361822727,0.35878315361822727,0.005,True
nested_vs_reference,raw_optical_control_volume,conservative_remap_power_error,0.0,0.0,1e-12,True
nested_vs_reference,material_overlap_thermal_source,relative_power_change,1.1653202880512522e-05,0.0011653202880512522,0.005,True
nested_vs_reference,material_overlap_thermal_source,equal_power_lateral_NRMSE,0.01000887917247249,1.000887917247249,0.005,False
nested_vs_reference,material_overlap_thermal_source,equal_power_full_3D_NRMSE,0.033301642586937845,3.3301642586937845,0.005,False
nested_vs_reference,material_overlap_thermal_source,equal_power_depth_NRMSE,0.0012994637517147903,0.12994637517147903,0.005,True
boxes_vs_reference,raw_optical_control_volume,relative_power_change,0.0002811397206678144,0.02811397206678144,0.005,True
boxes_vs_reference,raw_optical_control_volume,equal_power_lateral_NRMSE,0.049819071027425825,4.981907102742582,0.005,False
boxes_vs_reference,raw_optical_control_volume,equal_power_full_3D_NRMSE,0.08321726693911388,8.321726693911389,0.005,False
boxes_vs_reference,raw_optical_control_volume,equal_power_depth_NRMSE,0.0009168792151838022,0.09168792151838022,0.005,True
boxes_vs_reference,raw_optical_control_volume,conservative_remap_power_error,0.0,0.0,1e-12,True
boxes_vs_reference,material_overlap_thermal_source,relative_power_change,0.0018912356215768894,0.18912356215768894,0.005,True
boxes_vs_reference,material_overlap_thermal_source,equal_power_lateral_NRMSE,0.03225441702868651,3.2254417028686513,0.005,False
boxes_vs_reference,material_overlap_thermal_source,equal_power_full_3D_NRMSE,0.04193439036398492,4.193439036398492,0.005,False
boxes_vs_reference,material_overlap_thermal_source,equal_power_depth_NRMSE,0.0005475943939120922,0.05475943939120922,0.005,True
x9_y12_vs_reference,raw_optical_control_volume,relative_power_change,3.397262352867e-06,0.0003397262352867,0.005,True
x9_y12_vs_reference,raw_optical_control_volume,equal_power_lateral_NRMSE,9.354788051670288e-05,0.009354788051670287,0.005,True
x9_y12_vs_reference,raw_optical_control_volume,equal_power_full_3D_NRMSE,9.406930715255239e-05,0.009406930715255238,0.005,True
x9_y12_vs_reference,raw_optical_control_volume,equal_power_depth_NRMSE,1.0563421523700717e-07,1.0563421523700717e-05,0.005,True
x9_y12_vs_reference,raw_optical_control_volume,conservative_remap_power_error,0.0,0.0,1e-12,True
x9_y12_vs_reference,material_overlap_thermal_source,relative_power_change,1.4632927685799174e-06,0.00014632927685799175,0.005,True
x9_y12_vs_reference,material_overlap_thermal_source,equal_power_lateral_NRMSE,6.713208875524135e-05,0.006713208875524135,0.005,True
x9_y12_vs_reference,material_overlap_thermal_source,equal_power_full_3D_NRMSE,6.742508150367267e-05,0.006742508150367267,0.005,True
x9_y12_vs_reference,material_overlap_thermal_source,equal_power_depth_NRMSE,9.303451819185682e-08,9.303451819185683e-06,0.005,True
