SiO2_source_power_W,Ta_only_actual_current_A,Ta_only_uniform45_current_A,Ta_plus_planar_SiO2_Tmax_rise_K,Ta_plus_planar_SiO2_actual_current_A,Ta_plus_planar_SiO2_uniform45_current_A,Ta_plus_planar_SiO2_volume_average_rise_K,actual_digitized_current_A,current_A,current_per_mapped_TaIrTe4_W_A_W,energy_balance_relative_error,flake_volume_average_temperature_rise_K,kind,linear_residual_relative,mapped_TaIrTe4_power_W,maximum_temperature_rise_K,negative_A,planar_SiO2_actual_current_A,planar_SiO2_uniform45_current_A,polarization,positive_A,scan_distance_um,uniform45_current_A,weighting_control,x_component_A,y_component_A
,,,,,,,,1.194840872255497e-08,0.0007334124330587648,,,weighting,,1.6291527364382168e-05,,-1.4529792346079833e-09,,,a,1.3401387957162953e-08,-1.0,,actual_digitized,6.465702287588598e-09,5.482706434966371e-09
,,,,,,,,2.1695707813540663e-08,0.0013317172373275169,,,weighting,,1.6291527364382168e-05,,-1.1368667706138551e-10,,,a,2.1809394490602046e-08,-1.0,,uniform_45deg,1.8434903751247e-08,3.2608040622936672e-09
,,,,,,,,3.2814128677219656e-08,0.0020141836884465794,,,weighting,,1.6291527364382168e-05,,-3.771926201544231e-11,,,a,3.28518479392351e-08,-1.0,,uniform_x_equals_b,3.2814128677219656e-08,0.0
,,,,,,,,7.4096568904885865e-09,0.00045481658808051156,,,weighting,,1.6291527364382168e-05,,-5.3778695270538055e-09,,,a,1.2787526417542393e-08,-1.0,,uniform_y_equals_a,0.0,7.4096568904885865e-09
,,,,,,,,1.3722019660897156e-08,0.0009574043369472358,,,weighting,,1.4332522980469223e-05,,-1.2491624588265604e-09,,,a,1.4971182119723717e-08,1.0,,actual_digitized,6.964066936292939e-09,6.757952724604217e-09
,,,,,,,,2.0690758404254725e-08,0.001443622901037717,,,weighting,,1.4332522980469223e-05,,-1.1379996058186394e-10,,,a,2.0804558364836587e-08,1.0,,uniform_45deg,1.6538987830676684e-08,4.15177057357804e-09
,,,,,,,,2.9439398338604502e-08,0.0020540276390082373,,,weighting,,1.4332522980469223e-05,,-9.816417140363902e-11,,,a,2.9537562510008138e-08,1.0,,uniform_x_equals_b,2.9439398338604502e-08,0.0
,,,,,,,,9.434236111875201e-09,0.0006582397338368921,,,weighting,,1.4332522980469223e-05,,-4.151998474691553e-09,,,a,1.3586234586566756e-08,1.0,,uniform_y_equals_a,0.0,9.434236111875201e-09
,,,,,,,,1.1155378828929697e-08,0.0006847088850758808,,,weighting,,1.6292148491243013e-05,,-2.1722208248754593e-09,,,b,1.3327599653805154e-08,1.0,,actual_digitized,5.703369873882102e-09,5.452008955047594e-09
,,,,,,,,1.2121080834932035e-08,0.0007439829585058769,,,weighting,,1.6292148491243013e-05,,-2.5110994381809998e-09,,,b,1.4632180273113035e-08,1.0,,uniform_45deg,8.424597927650306e-09,3.6964829072817302e-09
,,,,,,,,1.4995784311217548e-08,0.0009204301273879098,,,weighting,,1.6292148491243013e-05,,-5.317727517404287e-09,,,b,2.0313511828621835e-08,1.0,,uniform_x_equals_b,1.4995784311217548e-08,0.0
,,,,,,,,8.399667542504016e-09,0.0005155653686202783,,,weighting,,1.6292148491243013e-05,,-3.835506858566005e-09,,,b,1.2235174401070022e-08,1.0,,uniform_y_equals_a,0.0,8.399667542504016e-09
,,,,,,,,1.3699611729926189e-08,0.001155483672489901,,,weighting,,1.1856170758696658e-05,,-1.225386245381734e-09,,,a,1.492499797530792e-08,3.0,,actual_digitized,6.660130454875614e-09,7.039481275050573e-09
,,,,,,,,1.8333506004932046e-08,0.001546326075936801,,,weighting,,1.1856170758696658e-05,,-1.1372899396364275e-10,,,a,1.8447234998895693e-08,3.0,,uniform_45deg,1.3974532916524249e-08,4.358973088407797e-09
,,,,,,,,2.4874668591413163e-08,0.002098035621928544,,,weighting,,1.1856170758696658e-05,,-1.8346942111545695e-10,,,a,2.5058138012528623e-08,3.0,,uniform_x_equals_b,2.4874668591413163e-08,0.0
,,,,,,,,9.90507076259474e-09,0.0008354359062625038,,,weighting,,1.1856170758696658e-05,,-3.0729453696218677e-09,,,a,1.2978016132216606e-08,3.0,,uniform_y_equals_a,0.0,9.90507076259474e-09
