scenario,position,polarization,beam_x_b_um,beam_y_a_um,Jloc_full_max_A_m2,Jloc_full_p99_A_m2,Jloc_full_rms_A_m2,Jloc_full_mean_A_m2,Jloc_edge_max_A_m2,Jloc_edge_p99_A_m2,Jloc_edge_rms_A_m2,Jloc_edge_mean_A_m2,abs_Jloc_b_full_max_A_m2,abs_Jloc_a_full_max_A_m2,strict_valid_cell_count,illuminated_edge_cell_count,saved_gradient_reproduction_max_abs_K_m,weighting_potential_used,terminal_current_integration_performed
thermally_grown,outside_top,a,-16.5625,3.0,405818.0837188534,114326.86964785957,26752.7246941289,7276.796165321812,405818.0837188534,393989.57597940124,156635.54394148628,125241.25915300424,400587.25217426993,223289.19081407634,64845,1357,0.0,False,False
evaporated,outside_top,a,-16.5625,3.0,1366568.9507328453,771938.6155758926,217108.59228753686,114940.64782083144,1366568.9507328453,1056931.6717401994,666493.9682259932,631535.9589157216,997793.3377918687,1068974.1834081938,64845,1357,0.0,False,False
thermally_grown,outside_top,b,-16.5625,3.0,191596.2646802321,75256.90910319252,16373.04013845983,6167.119845198482,191596.2646802321,177807.6551078376,70493.9535563231,59746.022058843,190699.1755908101,69305.26701253347,64845,1357,0.0,False,False
evaporated,outside_top,b,-16.5625,3.0,1240237.8303795562,719848.6976709227,205672.36483151882,113801.80792562237,1240237.8303795562,950320.5306269064,499956.48071822483,452542.38990526885,1103305.7510161411,625292.5963982958,64845,1357,0.0,False,False
thermally_grown,outside_middle,a,-16.5625,0.0,540894.7024216378,186187.08753260813,37451.50918508496,10237.978977739587,540894.7024216378,535832.9868357558,225015.52550108073,181093.6355313668,537259.1490423579,271510.6930462342,64845,1363,0.0,False,False
evaporated,outside_middle,a,-16.5625,0.0,1555057.3715056665,1151301.4888118443,321012.6133913995,168641.0234007739,1555057.3715056665,1439657.3056547344,983547.6075533074,943224.9815935331,1412957.8568769577,945881.2112368047,64845,1363,0.0,False,False
thermally_grown,outside_middle,b,-16.5625,0.0,208654.2641700324,93805.6081180686,21946.31161141572,8837.779152611105,208654.2641700324,197237.9034249412,91109.0781189161,81647.51489439368,207419.1572835357,71929.52481449817,64845,1363,0.0,False,False
evaporated,outside_middle,b,-16.5625,0.0,2002432.7101640778,1082334.4417841642,309551.6517747684,170495.21288010548,2002432.7101640778,1473836.2794576678,705274.6989766682,610177.5293419965,1755955.8218718364,962473.8491873206,64845,1363,0.0,False,False
thermally_grown,outside_bottom,a,-16.5625,-3.0,550460.124608161,248275.48419352775,43646.697810138,12463.063484672051,550460.124608161,504270.096100355,255794.75152154441,216827.50958757277,542331.9288275148,220719.10003106203,64845,1468,0.0,False,False
evaporated,outside_bottom,a,-16.5625,-3.0,1677634.550003885,1290689.413099133,397412.31553528423,211346.22757305365,1483193.979546764,1470888.9809411548,1129581.1805275306,1099905.7405063976,1481879.5596077817,936319.22780652,64845,1468,0.0,False,False
thermally_grown,outside_bottom,b,-16.5625,-3.0,198513.767830804,106651.66775873918,26316.274268328372,11164.908897459458,198513.767830804,194619.81174277133,102949.68110595595,93948.54481413282,195311.29738932152,121428.59255861724,64845,1468,0.0,False,False
evaporated,outside_bottom,b,-16.5625,-3.0,2101673.8652394623,1206565.178465007,387949.7469692035,215744.36016956042,1420022.5328765556,1357284.1702703552,660375.4293204204,562807.2418194814,1833292.8655613188,1027652.8134114901,64845,1468,0.0,False,False
thermally_grown,edge_top,a,-9.827940015785318,3.0,536455.0649965848,203789.18588941608,42255.80128746305,17155.121292437263,536455.0649965848,473135.6808700867,201341.6494147112,159083.40944901053,507855.40147783875,284935.8733711527,64845,1931,0.0,False,False
evaporated,edge_top,a,-9.827940015785318,3.0,2431315.818956832,1076997.759919757,465205.9795251541,310250.92286868335,2431315.818956832,1436255.9747667208,909797.4979343204,850371.600476123,1873216.323252132,1676178.4238256603,64845,1931,0.0,False,False
thermally_grown,edge_top,b,-9.827940015785318,3.0,329623.5022162464,138989.22488685648,38845.025874433995,20300.15372267583,329623.5022162464,251461.19401791695,130365.84667270257,115973.74883031248,285753.6407210683,211920.36733036113,64845,1931,0.0,False,False
evaporated,edge_top,b,-9.827940015785318,3.0,2313613.0322131766,1426484.1434401704,577734.6877498508,385742.1804239476,2313613.0322131766,1489851.1155328432,875451.7588706037,761369.1229867557,1844875.6965925605,1396151.4699160561,64845,1931,0.0,False,False
thermally_grown,edge_middle,a,-13.480662983425413,0.0,645889.5975276508,196416.2021860571,45232.29834787472,15521.260626301015,645889.5975276508,633732.8092116369,237624.67604451277,189364.92107162482,636764.1361364524,371978.7449130867,64845,1701,0.0,False,False
evaporated,edge_middle,a,-13.480662983425413,0.0,2343136.047131587,1342638.2710967707,456948.79674647615,276040.9259489527,2343136.047131587,1682008.1079877417,1107120.2148634803,1058404.496187363,2121745.593674409,1632038.9743737215,64845,1701,0.0,False,False
thermally_grown,edge_middle,b,-13.480662983425413,0.0,329591.1439226064,111263.13087258433,33838.7451749012,16119.403314479116,329591.1439226064,310738.18382653344,129182.71743127934,113163.21012053655,328291.199093145,170728.13375082324,64845,1701,0.0,False,False
evaporated,edge_middle,b,-13.480662983425413,0.0,3456176.54183577,1466324.5177473044,511569.6441256915,315868.8140363926,3456176.54183577,2273206.173273948,988927.3188958939,885714.0972274248,3003543.467491128,1709936.5272510073,64845,1701,0.0,False,False
thermally_grown,edge_bottom,a,-14.008036162732294,-3.0,649382.1971758321,254474.92982424423,48037.42987350578,16516.031986891605,649382.1971758321,589975.5169616279,257447.35306656637,208785.22849940445,637574.8618829505,282327.3222451364,64845,1668,0.0,False,False
evaporated,edge_bottom,a,-14.008036162732294,-3.0,2602283.6097781896,1444044.9478980505,502207.1659875899,299410.905218037,2602283.6097781896,1802379.7977355702,1245837.8913362185,1200829.8551917898,2287409.6696410077,1240821.0946599115,64845,1668,0.0,False,False
thermally_grown,edge_bottom,b,-14.008036162732294,-3.0,250930.19088741535,135073.52256638385,36157.010911113735,17458.666504553443,250930.19088741535,243643.90685685305,138226.00146781106,125631.0244055491,247549.3169569151,140002.81391472413,64845,1668,0.0,False,False
evaporated,edge_bottom,b,-14.008036162732294,-3.0,3522250.170076709,1590525.1869616138,556693.899399159,336966.9842924755,3522250.170076709,2373108.954221205,987484.2549205866,792504.4682728631,3049402.463224787,1762779.3049284439,64845,1668,0.0,False,False
thermally_grown,inside_top,a,-6.0,3.0,383631.8664556715,101770.53381785919,33747.59092298407,18355.121871491454,383631.8664556715,326939.1067040869,125944.4477906891,96475.54116222508,356614.24308146787,240132.21590725236,64845,2034,0.0,False,False
evaporated,inside_top,a,-6.0,3.0,2390403.665623728,1090217.1590018414,492035.1396284532,360262.2296422412,2390403.665623728,1584051.3452032334,769876.0333274042,692599.6485410954,2041498.9847420987,1405305.0233994587,64845,2034,0.0,False,False
thermally_grown,inside_top,b,-6.0,3.0,260118.05738377172,144342.67742625944,43941.16792031085,25979.575206290123,260118.05738377172,254640.4462360059,128434.58448352464,116245.2309400677,257072.11741347835,148887.8876281021,64845,2034,0.0,False,False
