scenario,position,beam_x_b_um,beam_y_a_um,full_maximum_Ea_A_m2,full_maximum_Eb_A_m2,full_p99_Ea_A_m2,full_p99_Eb_A_m2,edge_maximum_Ea_A_m2,edge_maximum_Eb_A_m2,edge_p99_Ea_A_m2,edge_p99_Eb_A_m2,full_maximum_Ea_over_Eb,full_p99_Ea_over_Eb,full_rms_Ea_over_Eb,edge_maximum_Ea_over_Eb,edge_p99_Ea_over_Eb,edge_rms_Ea_over_Eb,ratio_is_polarization_indexed_not_vector_component_ratio
thermally_grown,outside_top,-16.5625,3.0,405818.0837188534,191596.2646802321,114326.86964785957,75256.90910319252,405818.0837188534,191596.2646802321,393989.57597940124,177807.6551078376,2.1180897466667763,1.5191544671479158,1.63394974103114,2.1180897466667763,2.2158189743880974,2.221971332851093,True
thermally_grown,outside_middle,-16.5625,0.0,540894.7024216378,208654.2641700324,186187.08753260813,93805.6081180686,540894.7024216378,208654.2641700324,535832.9868357558,197237.9034249412,2.5923012145146607,1.9848182989045111,1.706505851562044,2.5923012145146607,2.7166836471655498,2.469737705032962,True
thermally_grown,outside_bottom,-16.5625,-3.0,550460.124608161,198513.767830804,248275.48419352775,106651.66775873918,550460.124608161,198513.767830804,504270.096100355,194619.81174277133,2.7729065375320756,2.327910002824909,1.6585439627624943,2.7729065375320756,2.5910522242558116,2.4846580268498366,True
thermally_grown,edge_top,-9.827940015785318,3.0,536455.0649965848,329623.5022162464,203789.18588941608,138989.22488685648,536455.0649965848,329623.5022162464,473135.6808700867,251461.19401791695,1.6274782028274444,1.4662229108429787,1.0878046889209017,1.6274782028274444,1.8815455112981574,1.5444355600297752,True
thermally_grown,edge_middle,-13.480662983425413,0.0,645889.5975276508,329591.1439226064,196416.2021860571,111263.13087258433,645889.5975276508,329591.1439226064,633732.8092116369,310738.18382653344,1.959669152030725,1.76533053353485,1.3367014088165514,1.959669152030725,2.0394429851125477,1.839446334382312,True
thermally_grown,edge_bottom,-14.008036162732294,-3.0,649382.1971758321,250930.19088741535,254474.92982424423,135073.52256638385,649382.1971758321,250930.19088741535,589975.5169616279,243643.90685685305,2.587899825362943,1.883973446381239,1.3285785706013744,2.587899825362943,2.42146632999221,1.86251031161108,True
thermally_grown,inside_top,-6.0,3.0,383631.8664556715,260118.05738377172,101770.53381785919,144342.67742625944,383631.8664556715,260118.05738377172,326939.1067040869,254640.4462360059,1.4748375038403065,0.7050619791215308,0.7680176135551686,1.4748375038403065,1.2839244964292638,0.9806116342973417,True
thermally_grown,inside_middle,-6.0,0.0,257404.2761352034,228129.7840077858,85502.968847441,101472.87063213899,257404.2761352034,228129.7840077858,220923.73643507808,175731.3978438809,1.1283238497539563,0.8426190006726791,0.7438580464632574,1.1283238497539563,1.257167126339858,0.9508037028155112,True
thermally_grown,inside_bottom,-6.0,-3.0,125073.79351750814,164132.74157402286,68107.03446671582,92888.25669861073,125073.79351750814,164132.74157402286,117059.27981051672,107068.20558323026,0.7620282968410701,0.7332146913651191,0.7193384796777135,0.7620282968410701,1.0933150431807679,0.8099620715362227,True
evaporated,outside_top,-16.5625,3.0,1366568.9507328453,1240237.8303795562,771938.6155758926,719848.6976709227,1366568.9507328453,1240237.8303795562,1056931.6717401994,950320.5306269064,1.1018603990773508,1.0723623145718084,1.0556041034748946,1.1018603990773508,1.1121844027119607,1.3331039679064163,True
evaporated,outside_middle,-16.5625,0.0,1555057.3715056665,2002432.7101640778,1151301.4888118443,1082334.4417841642,1555057.3715056665,2002432.7101640778,1439657.3056547344,1473836.2794576678,0.7765840837559262,1.0637206434214475,1.0370243917321111,0.7765840837559262,0.9768095179367478,1.3945596077392322,True
evaporated,outside_bottom,-16.5625,-3.0,1677634.550003885,2101673.8652394623,1290689.413099133,1206565.178465007,1483193.979546764,1420022.5328765556,1470888.9809411548,1357284.1702703552,0.7982373372724684,1.0697220806099748,1.024391222419928,1.044486228357406,1.0837000925518574,1.7105136417476356,True
evaporated,edge_top,-9.827940015785318,3.0,2431315.818956832,2313613.0322131766,1076997.759919757,1426484.1434401704,2431315.818956832,2313613.0322131766,1436255.9747667208,1489851.1155328432,1.0508740161404875,0.7550015644214754,0.805224248066234,1.0508740161404875,0.964026512308947,1.0392320178875705,True
evaporated,edge_middle,-13.480662983425413,0.0,2343136.047131587,3456176.54183577,1342638.2710967707,1466324.5177473044,2343136.047131587,3456176.54183577,1682008.1079877417,2273206.173273948,0.6779561225443117,0.915648790459733,0.8932289122186555,0.6779561225443117,0.7399276527413512,1.119516261417012,True
