scenario,G_TaIrTe4_SiO2_W_m2K,position,category,vertical_level,polarization,beam_x_b_um,beam_y_a_um,P_Q_W_at_1_W_m2,P_six_W_at_1_W_m2,incident_power_W_at_1_W_m2,optical_absorption_fraction,P_Q_W_at_285uW_incident,six_face_closure,auto_shutoff,mapped_source_power_W_at_285uW_incident,Tmax_rise_K,TaIrTe4_volume_average_rise_K,strict_gradient_max_K_m,strict_gradient_p99_K_m,production_current_A,strict_current_A,mapping_relative_power_error,thermal_energy_balance_relative_error,linear_residual_relative,lateral_numerical_boundary_flux_fraction
thermally_grown,7370000.0,outside_top,outside,top,a,-16.5625,3.0,5.675779450747205e-09,5.68522189714674e-09,1.7718458071060473e-07,0.032033145480178354,9.129446461850832e-06,0.001660875612308794,9.6997e-06,7.924722794136914e-06,0.21528305582653245,0.005179753610574223,136676.3140556588,38543.14231811716,1.1290350558390492e-08,1.1166785314887154e-08,0.0,1.8747605791122825e-13,1.0066498681696515e-10,0.44599269715006395
thermally_grown,7370000.0,outside_top,outside,top,b,-16.5625,3.0,6.06392078214175e-09,6.065658479200393e-09,1.7890091450965983e-07,0.033895415228938505,9.660193340247474e-06,0.00028648118989912854,9.93934e-06,8.529062652658383e-06,0.1369317061718902,0.005619218572788638,64515.45650620165,25386.262892716488,9.438201869335533e-09,9.449696102703664e-09,1.9862275181910934e-16,6.209940335624455e-12,1.0161499443368789e-10,0.4420430334460428
thermally_grown,7370000.0,outside_middle,outside,middle,a,-16.5625,0.0,6.455947480563735e-09,6.460992399698541e-09,1.4098766751313883e-07,0.04579086663705602,1.3050396991560965e-05,0.0007808272820504585,9.91546e-06,1.1872667280074245e-05,0.27941373147463394,0.007779301223519214,182178.88389856636,62896.713913610365,1.3621471861798321e-08,1.3502728135813772e-08,0.0,9.46009571028911e-13,1.002350873773804e-10,0.4564385232048625
thermally_grown,7370000.0,outside_middle,outside,middle,b,-16.5625,0.0,7.1951230150998764e-09,7.198875832317325e-09,1.4228671527066626e-07,0.05056777789418278,1.4411816699842091e-05,0.0005213060073354,9.66905e-06,1.328245810660838e-05,0.15433029758555877,0.008771558915053858,70264.24149401094,31594.61318305744,1.1476628805830877e-08,1.1472143250949903e-08,0.0,2.373038919471169e-12,1.0212296624117625e-10,0.45251589760018035
thermally_grown,7370000.0,outside_bottom,outside,bottom,a,-16.5625,-3.0,1.0283833376207752e-08,1.0288134528084367e-08,1.7718539871425666e-07,0.05803995956118418,1.654138847493749e-05,0.0004180691713229416,9.79937e-06,1.5304239261461688e-05,0.2774181000432829,0.010034460395342648,185384.54593816682,83630.95441402818,1.281961000355678e-08,1.2646139270700744e-08,0.0,3.234658889186908e-12,1.0069437573520006e-10,0.4694271036740229
thermally_grown,7370000.0,outside_bottom,outside,bottom,b,-16.5625,-3.0,1.1834498019019576e-08,1.1840506000861937e-08,1.7890203694954995e-07,0.0661507170114384,1.8852954348259942e-05,0.000507409213924099,9.87871e-06,1.7680593575076376e-05,0.16751821670936307,0.011684393890044956,66857.14805425117,35988.862397250654,1.0474371470874996e-08,1.044197661851572e-08,0.0,4.746482968788255e-12,1.0242459897586337e-10,0.46546601884634586
thermally_grown,7370000.0,edge_top,edge,top,a,-9.827940015785318,3.0,1.9999645847886346e-10,2.0011816314486686e-10,1.8127223981809162e-09,0.11032933596427218,3.144386074981757e-05,0.0006081640171527278,9.58709e-06,2.9538736482392322e-05,0.2841822747737798,0.01976496210246902,180783.4468350531,68856.50541379844,2.204528453618136e-08,2.1956033218244754e-08,0.0,9.449438074001126e-12,1.0101819257952035e-10,0.4179253273262994
thermally_grown,7370000.0,edge_top,edge,top,b,-9.827940015785318,3.0,2.7173489741705307e-10,2.717724311052238e-10,1.9566299821525212e-09,0.1388790419730321,3.958052696231415e-05,0.0001381070479373955,9.9549e-06,3.767898248841769e-05,0.23684227869210275,0.025259332280319687,111358.95677181278,47036.60273421564,1.6475531627410368e-08,1.695809278105111e-08,0.0,7.060417087744568e-12,1.0348234187381203e-10,0.41528646165155847
thermally_grown,7370000.0,edge_middle,edge,middle,a,-13.480662983425413,0.0,1.1178954213612828e-09,1.1185491741904282e-09,1.3018836807789833e-08,0.08586753470113313,2.4472247389822944e-05,0.0005844649875304575,9.6581e-06,2.289458182545813e-05,0.36748846745625413,0.01518686661016661,217581.51398067345,66276.84493998504,1.906140463920489e-08,1.9067806719853826e-08,1.4798836750316596e-16,1.695635916014525e-11,1.0260963772822622e-10,0.4426599379766379
thermally_grown,7370000.0,edge_middle,edge,middle,b,-13.480662983425413,0.0,1.439949077753066e-09,1.4403267736316244e-09,1.3873594868353132e-08,0.10379062466626543,2.9580328029885645e-05,0.0002622292978738817,9.82298e-06,2.7975705004805757e-05,0.2389391836862975,0.0186348604084892,110981.7219091295,37518.30698441961,1.698829093496859e-08,1.7134101041187277e-08,1.211097911003557e-16,9.653782558400455e-12,1.0353127449797882e-10,0.43955893387694484
thermally_grown,7370000.0,edge_bottom,edge,bottom,a,-14.008036162732294,-3.0,2.2682503819157296e-09,2.2689860274684273e-09,2.397393116085263e-08,0.09461320159372058,2.6964762454210365e-05,0.0003242177535656946,9.79172e-06,2.5414475502220522e-05,0.3203910181097142,0.016847211864485047,218717.43006515165,85798.813813017,1.5978425552572894e-08,1.587869279006078e-08,1.3331503885339565e-16,2.1943655395268927e-13,1.0194976773383215e-10,0.45777017966983075
thermally_grown,7370000.0,edge_bottom,edge,bottom,b,-14.008036162732294,-3.0,2.9026203770332014e-09,2.90340388706101e-09,2.4974456788838414e-08,0.1162235640028191,3.3123715740803446e-05,0.00026985912338978256,9.8364e-06,3.154160478384055e-05,0.2172298567216053,0.02100172796171031,84506.7751423858,45522.650028730466,1.3899225040501942e-08,1.3935149294813008e-08,0.0,6.4025343205125285e-12,1.0217901744667939e-10,0.45455902221149147
thermally_grown,7370000.0,inside_top,inside,top,a,-6.0,3.0,5.541231518143017e-11,5.5424970882057623e-11,3.824602281545895e-10,0.14488386269286188,4.129190086746563e-05,0.00022833932839380578,9.76423e-06,3.941605847205763e-05,0.2334030158336045,0.02671720426847964,129312.47959724464,34329.949433107606,1.8798520150982026e-08,1.8633583293818007e-08,0.0,1.5683925541726213e-12,1.031203427498008e-10,0.4025525492621117
thermally_grown,7370000.0,inside_top,inside,top,b,-6.0,3.0,7.600995273024625e-11,7.601317094691946e-11,3.955841131294287e-10,0.1921461206541857,5.476164438644293e-05,4.233761903524e-05,9.91601e-06,5.2753033219905025e-05,0.23295804979710696,0.035717575016531104,87598.8237137108,48828.18842690216,1.0191756237461544e-08,1.0769212774737115e-08,1.2845258678846073e-16,2.1682796649892174e-12,1.0465090623023208e-10,0.4007230467360804
thermally_grown,7370000.0,inside_middle,inside,middle,a,-6.0,0.0,4.813846888732267e-11,4.814451647362327e-11,3.0098258001070387e-10,0.15993772425504066,4.5582251412686586e-05,0.00012561319011102158,9.67451e-06,4.3986233368906416e-05,0.1705191746316444,0.030057122458010926,86669.34723783164,28861.393736882288,4.976080962891457e-09,5.207878340481674e-09,0.0,1.8905530267209072e-12,1.0544888455653887e-10,0.4045713636355935
thermally_grown,7370000.0,inside_middle,inside,middle,b,-6.0,0.0,6.858313267519491e-11,6.858494175670395e-11,3.1532442265870536e-10,0.2175002243623437,6.198756394326795e-05,2.637724058226521e-05,9.65807e-06,5.997757834716233e-05,0.2355853115137063,0.040872185836477,77156.9034889875,34225.183330645814,1.2038908267080632e-10,5.566830307968852e-10,0.0,8.304026049579455e-13,1.0457086775738155e-10,0.4034758386155141
thermally_grown,7370000.0,inside_bottom,inside,bottom,a,-6.0,-3.0,6.381276704569965e-11,6.381705022820134e-11,3.8246042155794686e-10,0.16684802779267796,4.755168792091322e-05,6.711658540123534e-05,9.88156e-06,4.605912731197806e-05,0.17279548683072338,0.03159643106763617,42136.74871808323,23003.766144062993,-1.883584237716504e-09,-1.6940658327225378e-09,0.0,4.489396459536166e-12,1.0550865427998913e-10,0.4125631859839099
