scenario,position,beam_x_b_um,beam_y_a_um,total_current_E_parallel_a_A,total_current_E_parallel_b_A,signed_Eb_over_Ea,absolute_Eb_over_Ea
thermally_grown,outside_top,-16.5625,3.0,1.1290350558390492e-08,9.438201869335533e-09,0.835952951197027,0.835952951197027
thermally_grown,outside_middle,-16.5625,0.0,1.3621471861798321e-08,1.1476628805830877e-08,0.8425395524265848,0.8425395524265848
thermally_grown,outside_bottom,-16.5625,-3.0,1.281961000355678e-08,1.0474371470874996e-08,0.8170585117619724,0.8170585117619724
thermally_grown,edge_top,-9.827940015785318,3.0,2.204528453618136e-08,1.6475531627410368e-08,0.7473494660670063,0.7473494660670063
thermally_grown,edge_middle,-13.480662983425413,0.0,1.906140463920489e-08,1.698829093496859e-08,0.8912402446998902,0.8912402446998902
thermally_grown,edge_bottom,-14.008036162732294,-3.0,1.5978425552572894e-08,1.3899225040501942e-08,0.8698745063942703,0.8698745063942703
thermally_grown,inside_top,-6.0,3.0,1.8798520150982026e-08,1.0191756237461544e-08,0.5421573696017307,0.5421573696017307
thermally_grown,inside_middle,-6.0,0.0,4.976080962891457e-09,1.2038908267080632e-10,0.024193553836562114,0.024193553836562114
thermally_grown,inside_bottom,-6.0,-3.0,-1.883584237716504e-09,-5.324040877803414e-09,2.82654779711781,2.82654779711781
evaporated,outside_top,-16.5625,3.0,1.8071961062870786e-07,1.735061448535545e-07,0.960084764735502,0.960084764735502
evaporated,outside_middle,-16.5625,0.0,2.1923434967765247e-07,2.149870275780711e-07,0.9806265664763466,0.9806265664763466
evaporated,outside_bottom,-16.5625,-3.0,1.973634570184292e-07,1.9272551893168e-07,0.9765005226559437,0.9765005226559437
evaporated,edge_top,-9.827940015785318,3.0,5.050762962192098e-07,5.683948956844563e-07,1.1253644250170185,1.1253644250170185
evaporated,edge_middle,-13.480662983425413,0.0,3.5924764237378867e-07,3.845854816700113e-07,1.0705302869318742,1.0705302869318742
evaporated,edge_bottom,-14.008036162732294,-3.0,2.735538938761471e-07,2.8671343932868816e-07,1.0481058604799063,1.0481058604799063
evaporated,inside_top,-6.0,3.0,5.520868522068152e-07,6.565552378948981e-07,1.18922454912755,1.18922454912755
evaporated,inside_middle,-6.0,0.0,3.1485026303215103e-07,3.765293040281535e-07,1.195899601296201,1.195899601296201
evaporated,inside_bottom,-6.0,-3.0,4.737705647065582e-08,3.174182728273588e-08,0.6699831025255016,0.6699831025255016
