position_label,signed_s_from_edge_um,polarization,scenario,status,P_Q_thermal_W,Tmax_rise_K,flake_average_rise_K,PTE_current_A,PTE_current_nA,mapping_relative_power_error,linear_residual_relative,energy_balance_relative_error,weighting_gate_passed,thermal_domain_um,Si_depth_um,core_step_nm,flake_dz_nm
sminus1,2.000000000000001,a,isolated,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,3.418191522135268e-05,0.2506860133382882,0.023065526901411153,1.0756687218166239e-08,10.756687218166238,0.0,1.0290765879386558e-10,1.252527491847272e-11,True,60.0,20.0,100.0,10.0
sminus1,2.000000000000001,b,isolated,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,4.646789180139042e-05,0.14608055387379457,0.03142408316722272,7.087814382757999e-09,7.087814382757999,0.0,1.0584164127196303e-10,1.1527607883161838e-12,True,60.0,20.0,100.0,10.0
s0,3.000000000000001,a,isolated,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,3.67419540543747e-05,0.23039913445368806,0.02485318908289879,8.072622429764236e-09,8.072622429764236,1.8442850285007043e-16,1.0362805775793799e-10,7.1451290574174305e-12,True,60.0,20.0,100.0,10.0
s0,3.000000000000001,b,isolated,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,5.0465130243434614e-05,0.1444754661049431,0.03418416877239504,4.990319469064974e-09,4.990319469064974,0.0,1.0692680121363809e-10,3.3971866850888437e-14,True,60.0,20.0,100.0,10.0
splus1,4.000000000000001,a,isolated,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,3.900259222946206e-05,0.20649849980837734,0.02644317679408217,4.940608383785784e-09,4.940608383785784,0.0,1.0475948432403881e-10,3.739380196372297e-12,True,60.0,20.0,100.0,10.0
splus1,4.000000000000001,b,isolated,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,5.404145380489881e-05,0.14704529394494686,0.03666534852195676,2.60235551444492e-09,2.60235551444492,0.0,1.0590238133871861e-10,2.30592403472233e-13,True,60.0,20.0,100.0,10.0
sminus1,2.000000000000001,a,perfect,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,3.4371590427295495e-05,0.2506956452045244,0.023189166273359787,1.1109599793303933e-08,11.109599793303932,1.971472222784655e-16,1.0181865899659593e-10,1.718000039101232e-11,True,60.0,20.0,100.0,10.0
sminus1,2.000000000000001,b,perfect,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,4.647587781451593e-05,0.14608104306173436,0.031429054067817534,7.112114808221645e-09,7.112114808221644,1.4580173407543373e-16,1.0609186876355725e-10,1.4365844858452487e-12,True,60.0,20.0,100.0,10.0
s0,3.000000000000001,a,perfect,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,3.694596918264992e-05,0.23040921186082441,0.024986578446378784,8.196197440488383e-09,8.196197440488383,1.8341009122090054e-16,1.0392287405090355e-10,1.0379360472281984e-11,True,60.0,20.0,100.0,10.0
s0,3.000000000000001,b,perfect,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,5.047214283838818e-05,0.14447586597206497,0.034188536978839515,5.001980469742066e-09,5.001980469742066,1.3425749724421256e-16,1.0616242451281857e-10,1.9010861609780495e-13,True,60.0,20.0,100.0,10.0
splus1,4.000000000000001,a,perfect,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,3.9225940255663386e-05,0.20650927880962353,0.026589639848316696,4.79803354918874e-09,4.79803354918874,0.0,1.0374655227164791e-10,6.093222173047112e-12,True,60.0,20.0,100.0,10.0
splus1,4.000000000000001,b,perfect,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,5.404771849126927e-05,0.14704564094652556,0.0366692539667051,2.604295111143177e-09,2.604295111143177,0.0,1.0739830759849541e-10,3.2146296456319087e-13,True,60.0,20.0,100.0,10.0
