PTE_current_A,Q_current_sheet_Pearson,current_efficiency_b_over_a,current_per_absorbed_W_A_W,free_edge_current_A_a,free_edge_current_A_b,free_edge_power_fraction_a,free_edge_power_fraction_a_over_b,free_edge_power_fraction_b,mapped_power_W,nearest_0p25um_power_fraction_a,nearest_0p25um_power_fraction_a_over_b,nearest_0p25um_power_fraction_b,polarization,record_type,region,region_current_A,region_current_fraction,region_power_W,region_power_fraction,scan_distance_um,top_third_power_fraction_a,top_third_power_fraction_b,total_current_b_over_a,total_power_b_over_a
1.194840872255497e-08,0.614270058542159,,0.0007334124330587648,,,,,,1.6291527364382168e-05,,,,a,case,,,,,,-1.0,,,,
,,,,,,,,,,,,,a,device_region,top_contact_within_2um,-6.888758899135334e-11,-0.00576541952915575,1.4564647167538673e-08,0.0008940013322127834,-1.0,,,,
,,,,,,,,,,,,,a,device_region,bottom_contact_within_2um,5.720591322321972e-10,0.047877432511353846,3.046366979909145e-07,0.018699087640913,-1.0,,,,
,,,,,,,,,,,,,a,device_region,free_edge_within_1um,4.2584572608060776e-09,0.35640371531377246,6.067252197422198e-06,0.3724176414967026,-1.0,,,,
,,,,,,,,,,,,,a,device_region,flake_interior,7.186779918508047e-09,0.6014842717040293,9.905073821801519e-06,0.6079892695301717,-1.0,,,,
1.3722019660897154e-08,0.6098248802250915,,0.0009574043369472357,,,,,,1.4332522980469223e-05,,,,a,case,,,,,,1.0,,,,
,,,,,,,,,,,,,a,device_region,top_contact_within_2um,-1.1096424148158662e-10,-0.008086582312499887,4.3122522935192654e-08,0.0030087182133916868,1.0,,,,
,,,,,,,,,,,,,a,device_region,bottom_contact_within_2um,2.805724996506115e-10,0.02044688074964232,1.0357307229654534e-07,0.007226436855373145,1.0,,,,
,,,,,,,,,,,,,a,device_region,free_edge_within_1um,4.682166111452751e-09,0.34121552272623895,5.684394175387773e-06,0.3966080628744735,1.0,,,,
,,,,,,,,,,,,,a,device_region,flake_interior,8.87024529127538e-09,0.6464241788366187,8.501433209849709e-06,0.5931567820567615,1.0,,,,
1.1155378828929695e-08,0.5090994454147809,,0.0006847088850758807,,,,,,1.6292148491243013e-05,,,,b,case,,,,,,1.0,,,,
,,,,,,,,,,,,,b,device_region,top_contact_within_2um,-2.2396187969440543e-10,-0.020076582169813544,4.4296990248881235e-08,0.0027189164322121637,1.0,,,,
,,,,,,,,,,,,,b,device_region,bottom_contact_within_2um,5.152032103830424e-10,0.04618428636837909,1.3547634242640892e-07,0.008315437494276896,1.0,,,,
,,,,,,,,,,,,,b,device_region,free_edge_within_1um,4.657955825097017e-10,0.04175524557729363,3.893076467955178e-06,0.23895414837691276,1.0,,,,
,,,,,,,,,,,,,b,device_region,flake_interior,1.0398341915731355e-08,0.9321370502241407,1.2219298690612545e-05,0.7500114976965981,1.0,,,,
