a_minus_b_total_current_A,negative_contribution_A,polarization,positive_contribution_A,record_type,region,region_current_A,region_current_per_absorbed_W_A_W,scan_distance_um,total_current_A,x_equals_b_term_A,y_equals_a_term_A
,-1.444155694729408e-09,a,1.3392564417284379e-08,case_total,,,,-1.0,1.194840872255497e-08,6.465702287588598e-09,5.482706434966373e-09
,,a,,device_region,top_contact_within_2um,-6.888758899135334e-11,-4.2284303644826365e-06,-1.0,,,
,,a,,device_region,bottom_contact_within_2um,5.720591322321972e-10,3.5113904266758824e-05,-1.0,,,
,,a,,device_region,free_edge_within_1um,4.2584572608060776e-09,0.0002613909159994572,-1.0,,,
,,a,,device_region,flake_interior,7.186779918508047e-09,0.00044113604315703124,-1.0,,,
,,a,,radial_region,r_over_w0_0_to_0p5,4.314802766924122e-09,,-1.0,,,
,,a,,radial_region,r_over_w0_0p5_to_1,5.6818967560777e-09,,-1.0,,,
,,a,,radial_region,r_over_w0_1_to_1p5,2.0421164851213163e-09,,-1.0,,,
,,a,,radial_region,r_over_w0_ge_1p5,-9.040728556816794e-11,,-1.0,,,
,,a,,weighting_potential_region,psi_0.0_to_0.2,4.499398463036044e-09,,-1.0,,,
,,a,,weighting_potential_region,psi_0.2_to_0.4,8.048461804845818e-09,,-1.0,,,
,,a,,weighting_potential_region,psi_0.4_to_0.6,2.0684207367339674e-11,,-1.0,,,
,,a,,weighting_potential_region,psi_0.6_to_0.8,-3.836504701189274e-10,,-1.0,,,
,,a,,weighting_potential_region,psi_0.8_to_1.0,-2.3648528257530327e-10,,-1.0,,,
,-1.2441335171464214e-09,a,1.4966153178043578e-08,case_total,,,,1.0,1.3722019660897154e-08,6.9640669362929375e-09,6.757952724604216e-09
,,a,,device_region,top_contact_within_2um,-1.1096424148158662e-10,-7.742128977068198e-06,1.0,,,
,,a,,device_region,bottom_contact_within_2um,2.805724996506115e-10,1.9575932306750506e-05,1.0,,,
,,a,,device_region,free_edge_within_1um,4.682166111452751e-09,0.00032668122129181923,1.0,,,
,,a,,device_region,flake_interior,8.87024529127538e-09,0.0006188893123257342,1.0,,,
,,a,,radial_region,r_over_w0_0_to_0p5,3.57528322090957e-09,,1.0,,,
,,a,,radial_region,r_over_w0_0p5_to_1,7.507415165288136e-09,,1.0,,,
,,a,,radial_region,r_over_w0_1_to_1p5,2.5043423044807654e-09,,1.0,,,
,,a,,radial_region,r_over_w0_ge_1p5,1.3497897021868434e-10,,1.0,,,
,,a,,weighting_potential_region,psi_0.0_to_0.2,2.7545266047376932e-09,,1.0,,,
,,a,,weighting_potential_region,psi_0.2_to_0.4,9.669916458243952e-09,,1.0,,,
,,a,,weighting_potential_region,psi_0.4_to_0.6,2.024697592945759e-09,,1.0,,,
,,a,,weighting_potential_region,psi_0.6_to_0.8,-3.269098925634503e-10,,1.0,,,
,,a,,weighting_potential_region,psi_0.8_to_1.0,-4.002111024667991e-10,,1.0,,,
,-2.1711844259364215e-09,b,1.3326563254866118e-08,case_total,,,,1.0,1.1155378828929695e-08,5.703369873882102e-09,5.452008955047594e-09
,,b,,device_region,top_contact_within_2um,-2.2396187969440543e-10,-1.3746614193627339e-05,1.0,,,
,,b,,device_region,bottom_contact_within_2um,5.152032103830424e-10,3.162279122731804e-05,1.0,,,
,,b,,device_region,free_edge_within_1um,4.657955825097017e-10,2.8590187645298323e-05,1.0,,,
,,b,,device_region,flake_interior,1.0398341915731355e-08,0.0006382425203968916,1.0,,,
,,b,,radial_region,r_over_w0_0_to_0p5,-6.247971249271212e-10,,1.0,,,
,,b,,radial_region,r_over_w0_0p5_to_1,8.358324377792289e-09,,1.0,,,
,,b,,radial_region,r_over_w0_1_to_1p5,3.263413061621658e-09,,1.0,,,
,,b,,radial_region,r_over_w0_ge_1p5,1.5843851444286997e-10,,1.0,,,
,,b,,weighting_potential_region,psi_0.0_to_0.2,3.6023945683119174e-09,,1.0,,,
,,b,,weighting_potential_region,psi_0.2_to_0.4,6.426346262998135e-09,,1.0,,,
,,b,,weighting_potential_region,psi_0.4_to_0.6,2.320528316460401e-09,,1.0,,,
,,b,,weighting_potential_region,psi_0.6_to_0.8,-6.715296942337199e-10,,1.0,,,
,,b,,weighting_potential_region,psi_0.8_to_1.0,-5.223606246070391e-10,,1.0,,,
,-1.2219394733803802e-09,a,1.4921551203306567e-08,case_total,,,,3.0,1.369961172992619e-08,6.6601304548756134e-09,7.039481275050573e-09
,,a,,device_region,top_contact_within_2um,-1.3007292128054562e-10,-1.0970904850129238e-05,3.0,,,
,,a,,device_region,bottom_contact_within_2um,1.1876922139972979e-10,1.0017502599868595e-05,3.0,,,
,,a,,device_region,free_edge_within_1um,4.457310064946573e-09,0.00037594853816330854,3.0,,,
,,a,,device_region,flake_interior,9.25360536486043e-09,0.0007804885365768528,3.0,,,
,,a,,radial_region,r_over_w0_0_to_0p5,1.6103669179658802e-09,,3.0,,,
,,a,,radial_region,r_over_w0_0p5_to_1,9.227431781859409e-09,,3.0,,,
,,a,,radial_region,r_over_w0_1_to_1p5,2.4830991631445426e-09,,3.0,,,
,,a,,radial_region,r_over_w0_ge_1p5,3.7871386695635513e-10,,3.0,,,
,,a,,weighting_potential_region,psi_0.0_to_0.2,1.3422439091718859e-09,,3.0,,,
,,a,,weighting_potential_region,psi_0.2_to_0.4,8.755160804424723e-09,,3.0,,,
,,a,,weighting_potential_region,psi_0.4_to_0.6,4.116390218034843e-09,,3.0,,,
,,a,,weighting_potential_region,psi_0.6_to_0.8,2.0694495807148255e-11,,3.0,,,
,,a,,weighting_potential_region,psi_0.8_to_1.0,-5.348776975124125e-10,,3.0,,,
,-1.8264957801598192e-09,b,1.3289293023923028e-08,case_total,,,,3.0,1.1462797243763208e-08,5.620713388501213e-09,5.842083855261994e-09
,,b,,device_region,top_contact_within_2um,-3.938121328287877e-10,-2.973765428470064e-05,3.0,,,
,,b,,device_region,bottom_contact_within_2um,1.9702973193586304e-10,1.4878165408538241e-05,3.0,,,
,,b,,device_region,free_edge_within_1um,9.374482912613865e-10,7.078886319491428e-05,3.0,,,
,,b,,device_region,flake_interior,1.0722131353394746e-08,0.0008096526460270964,3.0,,,
,,b,,radial_region,r_over_w0_0_to_0p5,-2.0432854769559283e-10,,3.0,,,
,,b,,radial_region,r_over_w0_0p5_to_1,7.888711244528961e-09,,3.0,,,
