control,polarization,core_step_nm,source_power_W,linear_residual_relative,energy_balance_relative_error,iterations,Tmax_rise_K,max_abs_grad_T_x_K_m,max_abs_edge_normal_gradient_K_m,source_contract_json,artifact_path,artifact_sha256
paper_like_absorbed_power_control,a,200.0,2.5503230941434704e-05,9.947020728127025e-11,6.02227233406759e-12,134,0.12826882108330784,24411.050994363497,11085.773830452315,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""paper_like_absorbed_power_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5503230941434704e-05, ""finite_half_plane_power_after_control_W"": 2.5503230941434704e-05, ""finite_half_plane_power_before_control_W"": 2.5503230941434704e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/paper_like_absorbed_power_control_a_core200.npz,4fa09d2546950e33201835968c0f5462df6d964bbf932627be618c5dd2284f13
paper_like_absorbed_power_control,b,200.0,3.8158246274332405e-05,9.50354063186832e-11,4.625332094263598e-12,134,0.18562628187343838,35312.67656655655,16021.83567015815,"{""Beer_Lambert_profile_polarization"": ""b"", ""analytic_control"": ""paper_like_absorbed_power_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 3.8158246274332405e-05, ""finite_half_plane_power_after_control_W"": 3.8158246274332405e-05, ""finite_half_plane_power_before_control_W"": 3.8158246274332405e-05, ""full_plane_absorbed_power_W"": 7.503685485e-05, ""polarization_label"": ""b"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/paper_like_absorbed_power_control_b_core200.npz,87a1ad30f4f543a21bea19fea51795e8b81a34e506193e50eb45a06015731e85
equal_absorbed_power_shape_control,a,200.0,3.1351437112499996e-05,9.947033792822384e-11,6.022276790606646e-12,134,0.15768244764447922,30008.80680009841,13627.878831781618,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""equal_absorbed_power_shape_control"", ""analytic_only_scale_factor"": 1.229312363774419, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5503230941434704e-05, ""finite_half_plane_power_after_control_W"": 3.13514371125e-05, ""finite_half_plane_power_before_control_W"": 2.5503230941434704e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/equal_absorbed_power_shape_control_a_core200.npz,635a92a8c6b862f2167910d1b6eb6bc45ca2d2f309ff62c97ad879d985450dab
equal_absorbed_power_shape_control,b,200.0,3.135143711249999e-05,9.503500858994179e-11,4.624939122327138e-12,134,0.1525135788668821,29013.47065824535,13163.801340043345,"{""Beer_Lambert_profile_polarization"": ""b"", ""analytic_control"": ""equal_absorbed_power_shape_control"", ""analytic_only_scale_factor"": 0.8216162998452292, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 3.8158246274332405e-05, ""finite_half_plane_power_after_control_W"": 3.135143711249999e-05, ""finite_half_plane_power_before_control_W"": 3.8158246274332405e-05, ""full_plane_absorbed_power_W"": 7.503685485e-05, ""polarization_label"": ""b"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/equal_absorbed_power_shape_control_b_core200.npz,e3b9e4fd6d76648e8dccdabe4f7725f0c8211688de01663d582758ffcd653918
identical_Q_symmetry_control,a,200.0,2.5503230941434704e-05,9.947020728127025e-11,6.02227233406759e-12,134,0.12826882108330784,24411.050994363497,11085.773830452315,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""identical_Q_symmetry_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5503230941434704e-05, ""finite_half_plane_power_after_control_W"": 2.5503230941434704e-05, ""finite_half_plane_power_before_control_W"": 2.5503230941434704e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/identical_Q_symmetry_control_a_core200.npz,4fa09d2546950e33201835968c0f5462df6d964bbf932627be618c5dd2284f13
identical_Q_symmetry_control,b,200.0,2.5503230941434704e-05,9.947020728127025e-11,6.02227233406759e-12,134,0.12826882108330784,24411.050994363497,11085.773830452315,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""identical_Q_symmetry_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5503230941434704e-05, ""finite_half_plane_power_after_control_W"": 2.5503230941434704e-05, ""finite_half_plane_power_before_control_W"": 2.5503230941434704e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""b"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/identical_Q_symmetry_control_b_core200.npz,4fa09d2546950e33201835968c0f5462df6d964bbf932627be618c5dd2284f13
paper_like_absorbed_power_control,a,100.0,2.528566241667564e-05,9.264223935126806e-11,5.9725229160802244e-12,183,0.12805321903457395,25270.963009967505,12234.274447198484,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""paper_like_absorbed_power_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5285662416675636e-05, ""finite_half_plane_power_after_control_W"": 2.5285662416675636e-05, ""finite_half_plane_power_before_control_W"": 2.5285662416675636e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/paper_like_absorbed_power_control_a_core100.npz,9c571e04c164d49f5942fbcfa326ad754a8a802b828fe9915d295012b4ce5059
paper_like_absorbed_power_control,b,100.0,3.783271758471796e-05,9.098718321805366e-11,4.877377182335723e-12,183,0.18531459627727095,36561.26815139581,17689.932929410803,"{""Beer_Lambert_profile_polarization"": ""b"", ""analytic_control"": ""paper_like_absorbed_power_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 3.7832717584717964e-05, ""finite_half_plane_power_after_control_W"": 3.7832717584717964e-05, ""finite_half_plane_power_before_control_W"": 3.7832717584717964e-05, ""full_plane_absorbed_power_W"": 7.503685485e-05, ""polarization_label"": ""b"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/paper_like_absorbed_power_control_b_core100.npz,71ffcd92151c9c8c4e6c20825ee31416d5cf4a059c7a855b06d6fbb99cb5b4cc
equal_absorbed_power_shape_control,a,100.0,3.1351437112499996e-05,9.2641839610808e-11,5.97213257729793e-12,183,0.15877189125834443,31333.211466779318,15169.153159913742,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""equal_absorbed_power_shape_control"", ""analytic_only_scale_factor"": 1.239889886840538, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5285662416675636e-05, ""finite_half_plane_power_after_control_W"": 3.13514371125e-05, ""finite_half_plane_power_before_control_W"": 2.5285662416675636e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/equal_absorbed_power_shape_control_a_core100.npz,47b3303c244267284252edbd0cc17ded4e38889717671d3815bb07ff997005eb
equal_absorbed_power_shape_control,b,100.0,3.135143711249999e-05,9.098718384942338e-11,4.8773892996744645e-12,183,0.15356758071119936,30297.80497885052,14659.396817551358,"{""Beer_Lambert_profile_polarization"": ""b"", ""analytic_control"": ""equal_absorbed_power_shape_control"", ""analytic_only_scale_factor"": 0.8286858336913128, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 3.7832717584717964e-05, ""finite_half_plane_power_after_control_W"": 3.1351437112499996e-05, ""finite_half_plane_power_before_control_W"": 3.7832717584717964e-05, ""full_plane_absorbed_power_W"": 7.503685485e-05, ""polarization_label"": ""b"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/equal_absorbed_power_shape_control_b_core100.npz,766e0a2cd4e007e89ce787e0ceebe2728e9c783f5b967200d1ef5f34d1aaf58b
identical_Q_symmetry_control,a,100.0,2.528566241667564e-05,9.264223935126806e-11,5.9725229160802244e-12,183,0.12805321903457395,25270.963009967505,12234.274447198484,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""identical_Q_symmetry_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5285662416675636e-05, ""finite_half_plane_power_after_control_W"": 2.5285662416675636e-05, ""finite_half_plane_power_before_control_W"": 2.5285662416675636e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/identical_Q_symmetry_control_a_core100.npz,9c571e04c164d49f5942fbcfa326ad754a8a802b828fe9915d295012b4ce5059
identical_Q_symmetry_control,b,100.0,2.528566241667564e-05,9.264223935126806e-11,5.9725229160802244e-12,183,0.12805321903457395,25270.963009967505,12234.274447198484,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""identical_Q_symmetry_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.5285662416675636e-05, ""finite_half_plane_power_after_control_W"": 2.5285662416675636e-05, ""finite_half_plane_power_before_control_W"": 2.5285662416675636e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""b"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/identical_Q_symmetry_control_b_core100.npz,9c571e04c164d49f5942fbcfa326ad754a8a802b828fe9915d295012b4ce5059
paper_like_absorbed_power_control,a,50.0,2.5176880060195496e-05,9.619253674977589e-11,3.940166947352267e-12,307,0.12791823485140222,25749.976239121486,12914.827012653814,"{""Beer_Lambert_profile_polarization"": ""a"", ""analytic_control"": ""paper_like_absorbed_power_control"", ""analytic_only_scale_factor"": 1.0, ""beam_offset_normal_m"": 0.0, ""finite_half_plane_absorbed_power_W"": 2.51768800601955e-05, ""finite_half_plane_power_after_control_W"": 2.51768800601955e-05, ""finite_half_plane_power_before_control_W"": 2.51768800601955e-05, ""full_plane_absorbed_power_W"": 5.0368893599999995e-05, ""polarization_label"": ""a"", ""raw_Lumerical_Q_modified"": false}",/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/analytic_source_controls_20260730/cases/paper_like_absorbed_power_control_a_core50.npz,533fa5335cabd26e4e92748a4d16a88da43c0cf978f50e95b8056ea9790ba1ad
