source,polarization,mesh_nm,Tmax_rise_K,fixed_24um_ROI_average_rise_K,raw_max_abs_dTdx_K_m,raw_max_abs_dTdn_K_m,raw_p99_abs_dTdn_K_m,fitted_x_max_abs_K_m,fitted_x_p99_abs_K_m,fitted_x_strip_mean_abs_K_m,fitted_x_integrated_abs_K,fitted_n_max_abs_K_m,fitted_n_p99_abs_K_m,fitted_n_strip_mean_abs_K_m,fitted_n_integrated_abs_K,fit_residual_p99,energy_balance_relative_error,linear_residual_relative
analytic_paper_source,a,200,0.12826882108330787,0.015340642861801994,24411.050994363013,11085.773830452512,11073.620788541133,21276.01016949951,21262.50056019371,13338.525695240134,0.21518248655097894,6061.0800750958115,6049.907018204775,3477.5936537183115,0.05609789246684625,0.0029813880936852767,6.02227233406759e-12,9.947033314751017e-11
legacy_Lumerical_edge_Q,a,200,0.10637691286644978,0.017400379402253623,31124.6181849548,32418.38849184361,32383.48374507681,35151.90057358048,35113.632732106504,19917.917836055847,0.319919413509108,33829.310965152334,33807.47544776399,17791.97982565724,0.28613129947388627,0.00507306636370953,4.886408729237207e-12,9.324353267577943e-11
analytic_paper_source,a,100,0.12805321903457395,0.015272782475059522,25270.963009967505,12234.274447198484,12212.442521474346,21448.9812349952,21424.176393867016,13482.402284551536,0.21750313245599068,6278.8680771843065,6272.4686433199295,3673.794766415375,0.0592616092849767,0.0030449650536214963,5.9725229160802244e-12,9.264223935126806e-11
legacy_Lumerical_edge_Q,a,100,0.10848162604306454,0.017472561844449355,24583.634954385037,21102.05219341831,21091.329174389106,32612.581067276016,32583.356088401688,19638.991198435124,0.3152827783985799,29507.215602232838,29488.886791759767,16287.765253624571,0.26165021242104963,0.004306437102094869,2.86131812414326e-12,9.89252018148158e-11
analytic_paper_source,a,50,0.1279182348514022,0.015238642124002147,25749.976239121206,12914.827012654603,12897.071299815614,21546.05891951854,21514.463187281104,13565.09442084411,0.21883664033161632,6408.455854726579,6407.30201514576,3787.08986414079,0.061088442931461893,0.0030893872270594267,3.939494081655463e-12,9.619316470867909e-11
legacy_Lumerical_edge_Q,a,50,0.10985173664455722,0.01750887202269006,20486.1080163586,14378.414922876267,14236.697965240035,31187.430938946298,31152.284581512384,19560.28013127717,0.31394936783667804,27154.236839679445,27136.13543984975,15727.072738359073,0.2525134149634084,0.0042112464647249956,1.595819632040197e-12,9.790922448283043e-11
analytic_paper_source,b,200,0.1856262818734384,0.022198982961859504,35312.67656655662,16021.835670157563,16003.942094375223,30777.255828393536,30757.874988615567,19294.827386091318,0.31127211464065047,8752.142449800524,8736.125255690693,5020.61656423935,0.08098877804952231,0.0029784828966398537,4.625332094263599e-12,9.503529558245967e-11
legacy_Lumerical_edge_Q,b,200,0.09701369628966575,0.02124793138517912,23077.866213334448,22294.774133733332,22279.1176873298,14558.139434738125,14555.99004744053,7532.289913059192,0.12137603359336119,16779.390659386416,16778.62055426576,9270.828063845642,0.14967378897905503,0.004536696944140667,2.2582186811179786e-12,9.571826118617931e-11
analytic_paper_source,b,100,0.18531459627727095,0.022100784305839283,36561.26815139581,17689.932929410803,17658.331529895324,31026.969081975356,30991.295178708275,19502.533558866566,0.3146222980086404,9066.508057163623,9057.17251952613,5303.832651929272,0.08555559987778164,0.0030418018069077236,4.877377182335723e-12,9.098718321805366e-11
legacy_Lumerical_edge_Q,b,100,0.0974345537617587,0.021336072149779253,19800.80984746934,15862.758541450472,15804.241168439248,19077.848472118505,19062.266789153895,10102.63097315875,0.16300921836386356,23480.483536960128,23477.26105537555,13576.43004950517,0.21928202149557116,0.004170336366738933,1.1621391326955767e-12,9.393975914252134e-11
analytic_paper_source,b,50,0.1851194377010181,0.02205138086983516,37259.028046738036,18681.13975473412,18655.295051198922,31167.139767134162,31121.66168039285,19621.866629875603,0.31654668060785857,9253.480759156753,9251.911710754011,5467.321875040859,0.08819178607000627,0.003086106977943505,4.284862929931214e-12,9.579483786121617e-11
legacy_Lumerical_edge_Q,b,50,0.10017435327867757,0.021380409381734952,18055.03117692051,11644.197823984285,11430.954078180483,21521.914153992333,21506.18231560419,11592.366801463864,0.1871360643564501,27035.21070945397,27018.56245539803,15868.830505211527,0.2562856509942485,0.004076214481342447,1.0287460878684764e-12,9.478463938007749e-11
