partial_monitor_id,axis,count,minimum_m,maximum_m,minimum_step_m,median_step_m,maximum_step_m,semantic_monitor_name,coordinate_role
Monitor0,x,1182,-2.005944798301487e-05,2.0059447983014825e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor0,y,1182,-2.005944798301487e-05,2.0059447983014825e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor0,z,24,-1.8e-07,5.000000000000006e-08,9.999999999999984e-09,9.999999999999997e-09,1.0000000000000116e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor10,x,1356,-2.3014861995753717e-05,2.301486199575368e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor10,y,1,-2.3014861995753717e-05,-2.3014861995753717e-05,,,,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor10,z,72,-1.230999999999999e-06,4.431249999999999e-06,9.999999999998395e-09,1.2042816485977734e-08,3.0937500000000074e-07,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor11,x,1356,-2.3014861995753717e-05,2.301486199575368e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor11,y,1,2.301486199575368e-05,2.301486199575368e-05,,,,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor11,z,72,-1.230999999999999e-06,4.431249999999999e-06,9.999999999998395e-09,1.2042816485977734e-08,3.0937500000000074e-07,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor12,x,1356,-2.3014861995753717e-05,2.301486199575368e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor12,y,1356,-2.3014861995753717e-05,2.301486199575368e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor12,z,1,-1.230999999999999e-06,-1.230999999999999e-06,,,,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
Monitor13,x,1356,-2.3014861995753717e-05,2.301486199575368e-05,3.397027600848576e-08,3.397027600849254e-08,3.39702760085027e-08,unavailable_from_incomplete_external-engine_HDF5,monitor_sampling_grid_not_native_solver_mesh
