source,polarization,mesh_nm,fit_band,component,maximum_abs_K_m,p99_abs_K_m,edge_strip_mean_abs_K_m,edge_integrated_abs_K,fit_residual_p99,profile_path,profile_sha256
analytic_paper_source,a,200,primary,x,21276.01016949951,21262.50056019371,13338.525695240134,0.21518248655097894,0.0029813880936852767,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_200nm_primary.npz,6814c6c2141742983cd58c49351106f7f9a3a4e6d20b675994c6837e67f30bb0
analytic_paper_source,a,200,primary,n,6061.0800750958115,6049.907018204775,3477.5936537183115,0.05609789246684625,0.0029813880936852767,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_200nm_primary.npz,6814c6c2141742983cd58c49351106f7f9a3a4e6d20b675994c6837e67f30bb0
analytic_paper_source,a,200,narrow,x,22305.214606280355,22250.618979149534,14098.164604099215,0.2274397224736964,0.001932364510585117,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_200nm_narrow.npz,0ace903d09d1e3167ec2e6f26bb6f988d87add6eda884b391f073e7d1769e37c
analytic_paper_source,a,200,narrow,n,7805.421637175383,7790.1008216852915,4751.604277155937,0.0766505243047591,0.001932364510585117,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_200nm_narrow.npz,0ace903d09d1e3167ec2e6f26bb6f988d87add6eda884b391f073e7d1769e37c
analytic_paper_source,a,200,wide,x,20932.569256265477,20912.051946303964,12880.964678560162,0.20779954736736347,0.004155419396576224,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_200nm_wide.npz,1089e601e0927b866adbb5baf1133b491b02ea059a738020088bb72336ced280
analytic_paper_source,a,200,wide,n,5228.154420813444,5219.03058409971,2659.2531304150925,0.042904499750392115,0.004155419396576224,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_200nm_wide.npz,1089e601e0927b866adbb5baf1133b491b02ea059a738020088bb72336ced280
legacy_Lumerical_edge_Q,a,200,primary,x,35151.90057358048,35113.632732106504,19917.917836055847,0.319919413509108,0.00507306636370953,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_200nm_primary.npz,c3eaae8f621ca552d0e7d0e90d64b3088b1f134c02af7921b53fa0a5fc5e200a
legacy_Lumerical_edge_Q,a,200,primary,n,33829.310965152334,33807.47544776399,17791.97982565724,0.28613129947388627,0.00507306636370953,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_200nm_primary.npz,c3eaae8f621ca552d0e7d0e90d64b3088b1f134c02af7921b53fa0a5fc5e200a
legacy_Lumerical_edge_Q,a,200,narrow,x,37333.6951923668,37302.86928927846,19720.163568954067,0.317255885101856,0.002311422008824689,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_200nm_narrow.npz,cc214e8e52e5682d932f2ded89be934efd78291f0b48e318eb674976105f4df6
legacy_Lumerical_edge_Q,a,200,narrow,n,39207.545942371486,39203.64279622854,20983.413910207444,0.33846599593262283,0.002311422008824689,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_200nm_narrow.npz,cc214e8e52e5682d932f2ded89be934efd78291f0b48e318eb674976105f4df6
legacy_Lumerical_edge_Q,a,200,wide,x,29419.46054763156,29384.822784331016,19704.58308160626,0.3161510309568112,0.008176551842225521,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_200nm_wide.npz,c45d4089c7885fbe79708aa29666530e7ce2260c54e5fc6f8d386c5d48974b12
legacy_Lumerical_edge_Q,a,200,wide,n,24474.711986755905,24436.720036644674,15562.995715946292,0.24968895679615993,0.008176551842225521,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_200nm_wide.npz,c45d4089c7885fbe79708aa29666530e7ce2260c54e5fc6f8d386c5d48974b12
analytic_paper_source,a,100,primary,x,21448.9812349952,21424.176393867016,13482.402284551536,0.21750313245599068,0.0030449650536214963,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_100nm_primary.npz,ca4d050c45421f362bd03b59a0834d6286fd2c2ce824a5be89180d88de5dcea3
analytic_paper_source,a,100,primary,n,6278.8680771843065,6272.4686433199295,3673.794766415375,0.0592616092849767,0.0030449650536214963,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_100nm_primary.npz,ca4d050c45421f362bd03b59a0834d6286fd2c2ce824a5be89180d88de5dcea3
analytic_paper_source,a,100,narrow,x,22535.80215083267,22473.61108006692,14308.569540198843,0.230832819840199,0.001983673126765422,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_100nm_narrow.npz,85569756e07369e8e641aef93255d11d431b203bf7aa7b7153454321bf3facdd
analytic_paper_source,a,100,narrow,n,8144.269954591513,8134.937892147366,5047.413207579944,0.08142094671033558,0.001983673126765422,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_100nm_narrow.npz,85569756e07369e8e641aef93255d11d431b203bf7aa7b7153454321bf3facdd
analytic_paper_source,a,100,wide,x,21048.540169337564,21035.51657539747,12981.910377076687,0.20942827516902596,0.004239153649812405,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_100nm_wide.npz,79c335240a852c564a2171eb842c2103d9cca3368a2cdaa97f6b3df75492f23e
analytic_paper_source,a,100,wide,n,5357.2865904489145,5356.995809592518,2772.647469679032,0.04473165146972293,0.004239153649812405,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_100nm_wide.npz,79c335240a852c564a2171eb842c2103d9cca3368a2cdaa97f6b3df75492f23e
legacy_Lumerical_edge_Q,a,100,primary,x,32612.581067276016,32583.356088401688,19638.991198435124,0.3152827783985799,0.004306437102094869,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_100nm_primary.npz,143e86896b52c206aa92b2dc52a936f7b027fc6f6f76f3c0332d2d910e3d6527
legacy_Lumerical_edge_Q,a,100,primary,n,29507.215602232838,29488.886791759767,16287.765253624571,0.26165021242104963,0.004306437102094869,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_100nm_primary.npz,143e86896b52c206aa92b2dc52a936f7b027fc6f6f76f3c0332d2d910e3d6527
legacy_Lumerical_edge_Q,a,100,narrow,x,33268.97513947539,33262.13360913854,18386.45226938099,0.2954816453434231,0.0020816199278773802,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_100nm_narrow.npz,19a19ad279a6e54376691cd190cd1893f25a6ee8551d184c5c621732a46f1d44
legacy_Lumerical_edge_Q,a,100,narrow,n,32062.361037703464,32034.876273694263,16717.859054915873,0.26919865084395495,0.0020816199278773802,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_100nm_narrow.npz,19a19ad279a6e54376691cd190cd1893f25a6ee8551d184c5c621732a46f1d44
legacy_Lumerical_edge_Q,a,100,wide,x,27932.538776766476,27915.333385758164,20036.524898754484,0.3214468679533743,0.007266266735931514,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_100nm_wide.npz,58671d38dbc12d83c86f24297b9fd9efc8e5d3df0a391f281bfd7627eebb9784
legacy_Lumerical_edge_Q,a,100,wide,n,22071.486781647647,22069.619360147404,15743.730726562713,0.2525420782470932,0.007266266735931514,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_100nm_wide.npz,58671d38dbc12d83c86f24297b9fd9efc8e5d3df0a391f281bfd7627eebb9784
analytic_paper_source,a,50,primary,x,21546.05891951854,21514.463187281104,13565.09442084411,0.21883664033161632,0.0030893872270594267,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_50nm_primary.npz,104bd538747f44bdbcc8ea608b40d963ff1dd9abc019cfebadf9da44f4479135
analytic_paper_source,a,50,primary,n,6408.455854726579,6407.30201514576,3787.08986414079,0.061088442931461893,0.0030893872270594267,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_50nm_primary.npz,104bd538747f44bdbcc8ea608b40d963ff1dd9abc019cfebadf9da44f4479135
analytic_paper_source,a,50,narrow,x,22669.78053280762,22614.863090549705,14427.221490672908,0.23274602099485514,0.002012961539171503,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_50nm_narrow.npz,50aa6bd6ec6d3b4a00b923eb336c1ef8927a936969097260e7b475d60bc296eb
analytic_paper_source,a,50,narrow,n,8338.659152225915,8336.266169633927,5218.509530413175,0.08418032983187182,0.002012961539171503,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_50nm_narrow.npz,50aa6bd6ec6d3b4a00b923eb336c1ef8927a936969097260e7b475d60bc296eb
analytic_paper_source,a,50,wide,x,21112.397994878134,21103.380240720366,13039.004361232575,0.21034911087811925,0.004295897306504005,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_50nm_wide.npz,52a8112933df60d51a674b6a6712e626a1268a8c3711e79d70565d540459f64f
analytic_paper_source,a,50,wide,n,5441.3056999708815,5433.84303526012,2841.1841121589705,0.04583610738475789,0.004295897306504005,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_a_50nm_wide.npz,52a8112933df60d51a674b6a6712e626a1268a8c3711e79d70565d540459f64f
legacy_Lumerical_edge_Q,a,50,primary,x,31187.430938946298,31152.284581512384,19560.28013127717,0.31394936783667804,0.0042112464647249956,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_50nm_primary.npz,aad0af5143b6b0c69b9eb0a9b38b69d7f53b29a84fad94296561a68610a72c78
legacy_Lumerical_edge_Q,a,50,primary,n,27154.236839679445,27136.13543984975,15727.072738359073,0.2525134149634084,0.0042112464647249956,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_50nm_primary.npz,aad0af5143b6b0c69b9eb0a9b38b69d7f53b29a84fad94296561a68610a72c78
legacy_Lumerical_edge_Q,a,50,narrow,x,31018.199304119004,31012.829829664446,17881.59326383378,0.28721694442448054,0.0020068460559925514,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_50nm_narrow.npz,aed04b6a253dc904d77374a277f280a352438247365edf6b9131abf4572f0c6a
legacy_Lumerical_edge_Q,a,50,narrow,n,28225.38442829275,28225.22791771382,14922.050980218944,0.24002370626450859,0.0020068460559925514,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_50nm_narrow.npz,aed04b6a253dc904d77374a277f280a352438247365edf6b9131abf4572f0c6a
legacy_Lumerical_edge_Q,a,50,wide,x,28258.182985392606,28230.406397806568,20234.90258327076,0.3246214130129885,0.006795995321912826,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_50nm_wide.npz,e11c351c01c46bc0195725a086b13e8c4dbfe3ee22a7a3dd22ac6dabbacc9fde
legacy_Lumerical_edge_Q,a,50,wide,n,22716.01207765283,22681.849343329723,15945.718533007957,0.2557801805475337,0.006795995321912826,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_a_50nm_wide.npz,e11c351c01c46bc0195725a086b13e8c4dbfe3ee22a7a3dd22ac6dabbacc9fde
analytic_paper_source,b,200,primary,x,30777.255828393536,30757.874988615567,19294.827386091318,0.31127211464065047,0.0029784828966398537,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_200nm_primary.npz,994dd227ff7139df4e955c0687d5eea915b54c0fb7029cb69446240d32f30130
analytic_paper_source,b,200,primary,n,8752.142449800524,8736.125255690693,5020.61656423935,0.08098877804952231,0.0029784828966398537,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_200nm_primary.npz,994dd227ff7139df4e955c0687d5eea915b54c0fb7029cb69446240d32f30130
analytic_paper_source,b,200,narrow,x,32262.128266423697,32183.3993647894,20391.373729452374,0.32896555471837113,0.0019308694170711677,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_200nm_narrow.npz,facf7fcbefeb6a2b561bda96ee28ede0cf655e1c7508c8fab4d5bf104304664c
analytic_paper_source,b,200,narrow,n,11270.270739579544,11248.200599620679,6860.516467436784,0.11067045805766933,0.0019308694170711677,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_200nm_narrow.npz,facf7fcbefeb6a2b561bda96ee28ede0cf655e1c7508c8fab4d5bf104304664c
analytic_paper_source,b,200,wide,x,30284.356984826492,30254.5297072708,18635.017210505703,0.3006258033237995,0.004151668600293828,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_200nm_wide.npz,e92d69fd2d0e062f3275398c2ed9b5ac7a8bd06c0dfaec1f224eaf993bafa357
analytic_paper_source,b,200,wide,n,7552.424779627043,7539.059212490623,3839.9785443366072,0.0619544449551528,0.004151668600293828,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_200nm_wide.npz,e92d69fd2d0e062f3275398c2ed9b5ac7a8bd06c0dfaec1f224eaf993bafa357
legacy_Lumerical_edge_Q,b,200,primary,x,14558.139434738125,14555.99004744053,7532.289913059192,0.12137603359336119,0.004536696944140667,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_200nm_primary.npz,e86002ee9493da6bd9e93c57aaa06c2e28bd5175fc4f0c2c7caa2f571a8ed3fc
legacy_Lumerical_edge_Q,b,200,primary,n,16779.390659386416,16778.62055426576,9270.828063845642,0.14967378897905503,0.004536696944140667,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_200nm_primary.npz,e86002ee9493da6bd9e93c57aaa06c2e28bd5175fc4f0c2c7caa2f571a8ed3fc
legacy_Lumerical_edge_Q,b,200,narrow,x,12838.510314285139,12822.019464617522,7701.531941275134,0.1236703516759639,0.002852376335480544,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_200nm_narrow.npz,ea18295b85c27cab6f03e072a051f39b7963b6b7aff8ad6f2d625b8398577c8b
legacy_Lumerical_edge_Q,b,200,narrow,n,6854.276616176632,6817.966670855867,3721.6635089983147,0.06020688653382893,0.002852376335480544,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_200nm_narrow.npz,ea18295b85c27cab6f03e072a051f39b7963b6b7aff8ad6f2d625b8398577c8b
legacy_Lumerical_edge_Q,b,200,wide,x,9062.052115100787,9058.08984608184,4670.00775916215,0.07532851550845543,0.006627591204026973,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_200nm_wide.npz,74b51b96aa0a59756c0b1ae72bc6c01f78ff7776b588dfc75bd061ad128a2b5b
legacy_Lumerical_edge_Q,b,200,wide,n,14582.795567943378,14568.415527917872,7665.45797118207,0.12326038694875224,0.006627591204026973,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_200nm_wide.npz,74b51b96aa0a59756c0b1ae72bc6c01f78ff7776b588dfc75bd061ad128a2b5b
analytic_paper_source,b,100,primary,x,31026.969081975356,30991.295178708275,19502.533558866566,0.3146222980086404,0.0030418018069077236,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_100nm_primary.npz,6bad5000f5cb7afe0114ad1672a1d372e8198d5a9a750cc47e94984840cbf00a
analytic_paper_source,b,100,primary,n,9066.508057163623,9057.17251952613,5303.832651929272,0.08555559987778164,0.0030418018069077236,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_100nm_primary.npz,6bad5000f5cb7afe0114ad1672a1d372e8198d5a9a750cc47e94984840cbf00a
analytic_paper_source,b,100,narrow,x,32595.039329769876,32504.813142137147,20695.14662217713,0.3338643543688743,0.0019819833049907498,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_100nm_narrow.npz,b86fffd6e6cf09e85ec5565d19eff295e7b712b313f5b86aa4de805dcfe7f9c9
analytic_paper_source,b,100,narrow,n,11759.443727682896,11745.924764762874,7287.532247934318,0.11755681242861123,0.0019819833049907498,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_100nm_narrow.npz,b86fffd6e6cf09e85ec5565d19eff295e7b712b313f5b86aa4de805dcfe7f9c9
analytic_paper_source,b,100,wide,x,30451.810035382758,30432.79846637813,18780.752281963694,0.30297719701781406,0.004235098999662595,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_100nm_wide.npz,286cde4fd20366429b85399bcab316ba873cbc24ed341f061755d7dcb09dd761
analytic_paper_source,b,100,wide,n,7738.577371959678,7738.359853742139,4003.5001610956124,0.06458929628324885,0.004235098999662595,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_100nm_wide.npz,286cde4fd20366429b85399bcab316ba873cbc24ed341f061755d7dcb09dd761
legacy_Lumerical_edge_Q,b,100,primary,x,19077.848472118505,19062.266789153895,10102.63097315875,0.16300921836386356,0.004170336366738933,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_100nm_primary.npz,c978a5720996ac2bcf2229b392f0b2f71374e55fa24e0a1270a9f08634a10da0
legacy_Lumerical_edge_Q,b,100,primary,n,23480.483536960128,23477.26105537555,13576.43004950517,0.21928202149557116,0.004170336366738933,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_100nm_primary.npz,c978a5720996ac2bcf2229b392f0b2f71374e55fa24e0a1270a9f08634a10da0
legacy_Lumerical_edge_Q,b,100,narrow,x,18575.416882542664,18562.50046436527,9790.981640425754,0.15748982511533824,0.0025099030414591724,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_100nm_narrow.npz,ffd1872e301c629b28c7d01f89164b9ff9fec8f5b7d6e18ff9f3ff0a2899c8bc
