case,progress_percent,simulation_time_s,auto_shutoff
legacy_auto_1e-5,0.0408071,1.63228e-15,1.0
legacy_auto_1e-5,1.02018,4.08071e-14,1.0
legacy_auto_1e-5,1.99955,7.99819e-14,1.0
legacy_auto_1e-5,2.97892,1.19157e-13,1.0
legacy_auto_1e-5,3.98617,1.59447e-13,1.0
legacy_auto_1e-5,4.96554,1.98621e-13,1.0
legacy_auto_1e-5,5.94491,2.37796e-13,1.0
legacy_auto_1e-5,6.95135,2.78054e-13,0.00275441
legacy_auto_1e-5,7.93072,3.17229e-13,0.00113188
legacy_auto_1e-5,8.91009,3.56403e-13,0.000593978
legacy_auto_1e-5,9.88946,3.95578e-13,0.000278301
legacy_auto_1e-5,10.8688,4.34753e-13,0.000160143
legacy_auto_1e-5,11.8482,4.73928e-13,8.91128e-05
legacy_auto_1e-5,12.8276,5.13103e-13,5.23167e-05
legacy_auto_1e-5,13.8069,5.52277e-13,3.72355e-05
legacy_auto_1e-5,14.7863,5.91452e-13,2.52567e-05
legacy_auto_1e-5,15.7657,6.30627e-13,1.87738e-05
legacy_auto_1e-5,16.745,6.69802e-13,1.50533e-05
legacy_auto_1e-5,17.7244,7.08977e-13,1.11518e-05
matched_strict_auto_1e-6,0.0408071,1.63228e-15,1.0
matched_strict_auto_1e-6,1.02018,4.08071e-14,1.0
matched_strict_auto_1e-6,1.55067,6.20268e-14,1.0
matched_strict_auto_1e-6,2.08116,8.32465e-14,1.0
matched_strict_auto_1e-6,3.01972,1.20789e-13,1.0
matched_strict_auto_1e-6,3.45567,1.38227e-13,1.0
matched_strict_auto_1e-6,4.10859,1.64343e-13,1.0
matched_strict_auto_1e-6,4.88392,1.95357e-13,1.0
matched_strict_auto_1e-6,5.3328,2.13312e-13,1.0
matched_strict_auto_1e-6,6.27136,2.50854e-13,1.0
matched_strict_auto_1e-6,6.74731,2.69892e-13,0.0030698
matched_strict_auto_1e-6,7.35942,2.94377e-13,0.00196444
matched_strict_auto_1e-6,8.21637,3.28655e-13,0.000946551
matched_strict_auto_1e-6,8.66524,3.4661e-13,0.000639318
matched_strict_auto_1e-6,9.44058,3.77623e-13,0.000365323
matched_strict_auto_1e-6,10.0935,4.0374e-13,0.000260249
matched_strict_auto_1e-6,10.5424,4.21695e-13,0.000186852
matched_strict_auto_1e-6,11.4809,4.59237e-13,0.000111122
matched_strict_auto_1e-6,11.9706,4.78825e-13,8.52662e-05
matched_strict_auto_1e-6,12.6235,5.04941e-13,6.0355e-05
matched_strict_auto_1e-6,13.5213,5.40851e-13,4.01939e-05
matched_strict_auto_1e-6,13.9702,5.58807e-13,3.29286e-05
matched_strict_auto_1e-6,14.8271,5.93085e-13,2.55126e-05
matched_strict_auto_1e-6,15.6025,6.24098e-13,2.02207e-05
matched_strict_auto_1e-6,16.0513,6.42053e-13,1.79548e-05
matched_strict_auto_1e-6,16.9899,6.79596e-13,1.32915e-05
matched_strict_auto_1e-6,17.5204,7.00815e-13,1.25729e-05
matched_strict_auto_1e-6,18.0509,7.22035e-13,1.05969e-05
matched_strict_auto_1e-6,18.9486,7.57945e-13,8.75269e-06
matched_strict_auto_1e-6,19.3975,7.759e-13,8.25684e-06
matched_strict_auto_1e-6,20.1728,8.06914e-13,7.23944e-06
matched_strict_auto_1e-6,20.8666,8.34662e-13,6.69093e-06
matched_strict_auto_1e-6,21.3154,8.52618e-13,6.89773e-06
matched_strict_auto_1e-6,22.2948,8.91792e-13,8.36264e-06
matched_strict_auto_1e-6,22.7437,9.09747e-13,1.11852e-05
matched_strict_auto_1e-6,23.3558,9.34232e-13,2.56745e-05
matched_strict_auto_1e-6,24.2127,9.6851e-13,6.64608e-05
matched_strict_auto_1e-6,24.6616,9.86465e-13,9.64876e-05
matched_strict_auto_1e-6,25.437,1.01748e-12,0.000172161
matched_strict_auto_1e-6,26.0899,1.04359e-12,0.000678008
matched_strict_auto_1e-6,26.5796,1.06318e-12,0.00141446
matched_strict_auto_1e-6,27.5589,1.10236e-12,0.00294021
matched_strict_auto_1e-6,28.0486,1.12194e-12,0.00369308
matched_strict_auto_1e-6,28.6199,1.1448e-12,0.0128053
matched_strict_auto_1e-6,29.5993,1.18397e-12,0.0639304
matched_strict_auto_1e-6,30.0482,1.20193e-12,0.0841818
matched_strict_auto_1e-6,30.6195,1.22478e-12,0.090976
matched_strict_auto_1e-6,31.5172,1.26069e-12,0.56387
matched_strict_auto_1e-6,31.9661,1.27864e-12,1.39424
matched_strict_auto_1e-6,32.7006,1.30802e-12,2.71976
matched_strict_auto_1e-6,33.3943,1.33577e-12,2.70374
matched_strict_auto_1e-6,33.8432,1.35373e-12,5.18492
matched_strict_auto_1e-6,34.8226,1.3929e-12,55.6694
matched_strict_auto_1e-6,35.3123,1.41249e-12,89.6338
matched_strict_auto_1e-6,35.9244,1.43698e-12,91.1207
matched_strict_auto_1e-6,36.8221,1.47289e-12,317.071
matched_strict_auto_1e-6,37.271,1.49084e-12,1086.06
matched_strict_auto_1e-6,38.0464,1.52185e-12,3161.99
matched_strict_auto_1e-6,38.6993,1.54797e-12,3111.51
matched_strict_auto_1e-6,39.1481,1.56593e-12,3178.66
matched_strict_auto_1e-6,40.0867,1.60347e-12,42093.8
matched_strict_auto_1e-6,40.5764,1.62306e-12,93861.7
