thermal_model,source_model,polarization,thermal_domain_um,core_step_nm,source_power_W,linear_residual_relative,energy_balance_relative_error,Tmax_rise_K,whole_domain_area_average_rise_K,fixed_24um_ROI_area_average_rise_K,numerical_lateral_Dirichlet_fraction,numerical_bottom_Dirichlet_fraction,summary_path,summary_sha256,max_abs_grad_T_x_K_m,max_abs_grad_T_y_K_m,max_inplane_gradient_K_m,max_abs_edge_normal_gradient_K_m,max_abs_edge_tangent_gradient_K_m
paper-reduced,analytic_paper_source,a,48,100.0,2.528566241667564e-05,9.264223935126806e-11,5.9725229160802244e-12,0.12805321903457395,0.003797732732962389,0.015272782475059522,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_a_core100_20260730/summary.json,086ac7ee8259cf8b4058251a02856d7aa9de6c8ff0ed2936693a67908c170166,25270.963009967505,8697.17189083256,26506.5249485139,12234.274447198484,23566.025146205888
paper-reduced,lumerical_edge_q,a,48,100.0,3.0063514177443776e-05,9.89252018148158e-11,2.86131812414326e-12,0.10848162604306454,0.004393674628776081,0.017472561844449355,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_a_core100_20260730/summary.json,086ac7ee8259cf8b4058251a02856d7aa9de6c8ff0ed2936693a67908c170166,24583.634954385037,12740.049910847525,25093.55690139109,21102.05219341831,14603.83060801579
paper-reduced,analytic_paper_source,b,48,100.0,3.783271758471796e-05,9.098718321805366e-11,4.877377182335723e-12,0.18531459627727095,0.005495582818876997,0.022100784305839283,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_b_core100_20260730/summary.json,c9224039d82bec9bc660dbb7e307e7bd3538b85450f06a6763f4541eb9bcdaa7,36561.26815139581,12597.202454002907,38353.29692917708,17689.932929410803,34104.90391039638
paper-reduced,lumerical_edge_q,b,48,100.0,3.723583346596001e-05,9.393975914252134e-11,1.1621391326955767e-12,0.0974345537617587,0.005367005053752102,0.021336072149779253,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_b_core100_20260730/summary.json,c9224039d82bec9bc660dbb7e307e7bd3538b85450f06a6763f4541eb9bcdaa7,19800.80984746934,11473.36392036917,19840.008767083236,15862.758541450472,13685.978436352887
paper-reduced,analytic_paper_source,a,48,50.0,2.5176880060195485e-05,9.619316470867909e-11,3.939494081655463e-12,0.1279182348514022,0.003783740812254595,0.015238642124002147,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_a_core50_20260730/summary.json,d52dca5f0e2b6c2e2bdd657704aa272034acf6daebc8f8188a5af103aacc5a7a,25749.976239121206,7855.712624905773,26817.676443921486,12914.827012654603,23554.797771293026
paper-reduced,lumerical_edge_q,a,48,50.0,3.0063514177443776e-05,9.790922448283043e-11,1.595819632040197e-12,0.10985173664455722,0.004396401004367873,0.017508872022690056,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_a_core50_20260730/summary.json,d52dca5f0e2b6c2e2bdd657704aa272034acf6daebc8f8188a5af103aacc5a7a,20486.1080163586,7589.600530797602,20507.55908348754,14378.414922876267,15205.908310378047
paper-reduced,analytic_paper_source,b,48,50.0,3.7669956091540744e-05,9.579483786121617e-11,4.284862929931214e-12,0.1851194377010181,0.0054753355386033455,0.022051380869835154,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_b_core50_20260730/summary.json,6e69290d969984045560785718bff6d8d8fa776c8d47fe4ad028b134bf3f8717,37259.028046738036,11375.439295098875,38806.36422556205,18681.13975473412,34088.85587279807
paper-reduced,lumerical_edge_q,b,48,50.0,3.723583346596004e-05,9.478463938007749e-11,1.0287460878684764e-12,0.10017435327867757,0.005370335403127224,0.021380409381734945,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_paper_reduced_b_core50_20260730/summary.json,6e69290d969984045560785718bff6d8d8fa776c8d47fe4ad028b134bf3f8717,18055.03117692051,7589.8667314260865,18124.700802124044,11644.197823984285,14228.297327044012
expanded,lumerical_edge_q,a,48,200.0,3.0063514177443773e-05,9.825194338128234e-11,1.2981361591538287e-11,0.23592148690575238,0.011500573170992985,0.0439827365902295,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_expanded_a_L48_core200_20260730/summary.json,1d5e198853f90da1807aa2fb595fdba2a36a8f47fcabcded4f8b2558bbc4eb30,53972.79543371706,30627.628808474794,55525.5739417896,48339.09380168501,30919.29850488429
expanded,lumerical_edge_q,b,48,200.0,3.723583346596001e-05,9.88575271433328e-11,8.558628783381298e-12,0.22761543567754416,0.014233997276944457,0.05435827300708592,,,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_expanded_b_L48_core200_20260730/summary.json,ff81a71806a39f019da2a06c0285fe32018cf231a097dcfd4c426b19e379460f,44099.63019622908,27696.226512655994,44359.10209403515,36430.379075454024,29074.742308557616
expanded,lumerical_edge_q,a,64,200.0,3.0063514177443773e-05,9.772293936447828e-11,2.3508699702308545e-11,0.236044527260844,0.0066532691146801845,0.04413523204428698,0.3420361580290692,0.6579620716793011,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_expanded_a_L64_core200_20260730/summary.json,795dd057f975e66164f5a99c4e8ddc6a05baa65aa68ba56450401b09fb59ec39,53972.00683496798,30627.740978025107,55525.013913675015,48339.293760625114,30917.708365335828
expanded,lumerical_edge_q,b,64,200.0,3.723583346596002e-05,9.935417357102712e-11,2.065080838723707e-11,0.22777357065906653,0.008238968298223416,0.05454949533639054,0.3429069845156138,0.657091489417355,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_expanded_b_L64_core200_20260730/summary.json,7f6e641e710f08a4dc6ec8368abb991700f5429e7a0ff3d5584058194e600189,44098.25781816928,27696.40126177617,44357.88102918013,36430.55919288794,29072.986746686827
expanded,lumerical_edge_q,a,80,200.0,3.006351417744378e-05,9.820842625639509e-11,2.0418827749508677e-12,0.23607788836765503,0.004334387675439101,0.04417618074406238,0.19717129123040586,0.8028265392405269,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_expanded_a_L80_core200_20260730/summary.json,264f19b2d2a6c0d2f30c4ad38135f56b6777176554915a30de59f21b398e61aa,53971.77743016074,30627.752637737332,55524.84194644237,48339.3228198719,30917.278292708335
expanded,lumerical_edge_q,b,80,200.0,3.723583346596002e-05,1.0014466761087719e-10,1.715547385518509e-12,0.22781624635033043,0.005369068353027206,0.05460076020426884,0.1976802757207289,0.8023178509914399,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/audit_expanded_b_L80_core200_20260730/summary.json,feaed492ea21e3d5e80d01d8d8d5c329063b64999b3b59b00ce734e639c6fd06,44097.86242552371,27696.421679765688,44357.52373710158,36430.57445900771,29072.50023700533
