case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
Maxwell_a,surface,mask_aware_finite_difference,original_staircase_edge,142,14090.416203606736,14085.760648148387,9035.610992976179,7646.487816056627,8372.527856144123,1.0003305150197168
Maxwell_a,surface,mask_aware_finite_difference,inside_n_0p1um,283,16971.67391960936,16950.26257972594,10613.188465812771,8930.123146355581,10039.536899808263,1.0012631863242656
Maxwell_a,surface,mask_aware_finite_difference,inside_n_0p2um,283,16971.67391960936,16950.26257972594,10961.289253348503,9224.648966615323,10431.586821594808,1.0012631863242656
Maxwell_a,surface,mask_aware_finite_difference,inside_n_0p3um,283,15093.178725392861,15079.540003507078,9169.408338476389,7661.589235224076,8669.087580922318,1.0009044521174129
Maxwell_a,surface,mask_aware_finite_difference,inside_band_0p1_to_0p3um,425,16971.67391960936,16939.46289895207,10580.257904749278,8876.423185337273,10080.420502419849,1.0019015373066686
Maxwell_a,surface,least_squares_radius_0.2um,original_staircase_edge,142,15479.63596092952,15464.018106304704,10011.011995395655,8433.936808691684,9471.918312930327,1.0010099480301597
Maxwell_a,surface,least_squares_radius_0.2um,inside_n_0p1um,283,16300.940216512283,16177.956103083661,10542.411164602498,8868.809847700195,10060.70065532162,1.0076019561831535
Maxwell_a,surface,least_squares_radius_0.2um,inside_n_0p2um,283,16300.940216512283,16169.204863911502,10532.170055089306,8852.296781867164,10035.187259579616,1.0081472993699774
Maxwell_a,surface,least_squares_radius_0.2um,inside_n_0p3um,283,15260.17298839046,15016.900081430214,9067.784387251713,7577.951765166181,8323.967055233466,1.0161999417750056
Maxwell_a,surface,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,425,16300.940216512283,16157.42686777767,10243.623675550725,8590.626764700382,9756.235659468099,1.0088821908283438
Maxwell_a,surface,least_squares_radius_0.3um,original_staircase_edge,142,16168.637885486078,16161.658343584088,10524.69258082453,8870.516079079554,9945.760935207169,1.0004318580280323
Maxwell_a,surface,least_squares_radius_0.3um,inside_n_0p1um,283,16134.762351784855,16109.398498337978,10389.089364952375,8735.771367640844,9839.51629952921,1.0015744755118878
Maxwell_a,surface,least_squares_radius_0.3um,inside_n_0p2um,283,15744.642252613858,15741.149867506518,10047.6340123433,8431.864767910718,9581.440208399257,1.000221863404944
Maxwell_a,surface,least_squares_radius_0.3um,inside_n_0p3um,283,14475.89467679313,14392.522449829063,8726.44665022575,7306.549596319916,8088.373134050335,1.005792746007845
