case,projection,identity_max_relative,central_derivative_NRMSE,central_integral_closure_relative,peak_line_derivative_NRMSE,peak_line_integral_closure_relative,exact_central_derivative_NRMSE,exact_central_derivative_NRMSE_without_last_edge_cell,exact_central_integral_closure_relative,exact_peak_derivative_NRMSE,exact_peak_derivative_NRMSE_without_last_edge_cell,exact_peak_integral_closure_relative,edge_raw_max_abs_grad_n_K_m,edge_p99_abs_grad_n_K_m,edge_raw_max_over_p99
Maxwell_a,surface,6.800489848082969e-16,0.011261753201426694,0.00027276016571568714,0.007993187363156897,0.0004348723955482615,0.02802435494079597,0.00589572913911136,0.0010617598006066298,0.015482091864627841,0.011362137226815063,2.2851781025978377e-05,16971.67391960936,16750.643573223188,1.0131953345804277
Maxwell_a,midplane,7.451037169546872e-16,0.010944020760545741,0.0002565038442593334,0.007673716580729472,0.00038538921146210583,0.01878824253368604,0.0053916104887352205,0.000543358501691032,0.010341651419735802,0.00791119199145584,2.2886227001870555e-05,15842.744349198994,15639.504066281355,1.012995315072415
Maxwell_a,thickness_average,8.567624346238417e-16,0.011315718474674245,0.0002744978153963812,0.007968273592420319,0.0004315656122524414,0.020131718419659092,0.00514282783121969,0.0005470084954629865,0.012194200314661913,0.008400646911528606,2.2493849082247254e-05,16514.41241539084,16304.676912339075,1.0128635178838192
Maxwell_b,surface,6.739616250834527e-16,0.005758795874459494,0.0001986050319465501,0.006900699522122119,0.0005329470761556616,0.00516457794461859,0.004779927581319331,0.0008290205486900426,0.01712778436626759,0.00539676672724809,4.424511547756056e-05,11725.214678403974,11564.305837070473,1.0139142671942913
Maxwell_b,midplane,7.229997281840286e-16,0.0065949887352940995,0.00023628225743359114,0.007493853681134583,0.0006081040977264897,0.005454527863025627,0.00470530107886561,0.0006401010329405935,0.018402759797372898,0.0056945697321873325,4.243923026742751e-05,12242.390576210937,12079.13572178582,1.013515441682692
Maxwell_b,thickness_average,7.066105612246661e-16,0.006856134786433735,0.0002556839744498793,0.007826837942433013,0.0006464482215359468,0.005946605171011508,0.005094282911294714,0.0007137677640295414,0.020413710959692993,0.006095365505329362,4.084597861501245e-05,13193.92976799405,13026.490822127953,1.0128537261609758
analytic_a,surface,7.211597720574157e-16,0.003630518032545508,8.077458821923207e-05,0.003050176216996668,0.00014513138312482793,0.006409712095759171,0.0023771070529492976,0.00031493469473435897,0.0025104772258961057,0.001857706836237219,3.44099032395782e-05,5491.105921674186,5451.2272974912585,1.0073155313485607
analytic_a,midplane,7.440497833093032e-16,0.004641067457983154,0.00011398618875607108,0.0036402031777864885,0.00021467150817752352,0.012630769111266529,0.0032923815260251592,0.0005711451796897819,0.005376413817608242,0.004096709332447022,3.1378907667332e-05,6144.024984059176,6074.4126331775415,1.011459931204117
analytic_a,thickness_average,7.25870221362523e-16,0.004969586674767564,0.00013344182012379395,0.004037815842057272,0.00026015928717629516,0.012742762316972021,0.0025818956453378407,0.0004965101416926902,0.007599376497960986,0.004407944175979883,2.9490846096223995e-05,6654.492124937956,6562.903046616244,1.0139555738780774
analytic_b,surface,7.185782109862859e-16,0.0036453203802360445,8.01284993985539e-05,0.003061819062178018,0.0001433801416890175,0.00660804064754653,0.002450175553331346,0.0003324037308981481,0.0025348462833026924,0.001989080479658386,3.443433673626104e-05,8078.961892595437,8001.440255114831,1.0096884604532355
analytic_b,midplane,7.3111051574520255e-16,0.004660333320710759,0.00011413925202591057,0.003652144583999619,0.00021395839179229082,0.012806819979987621,0.0033386570882508247,0.0005833145995126297,0.005388230565751649,0.004179679309511032,3.037532358259372e-05,9080.207803928479,8989.676242263886,1.0100706142495954
analytic_b,thickness_average,7.055107267284544e-16,0.004995710565274633,0.00013392389926958104,0.004052285488045426,0.0002601688026702943,0.01293377213843455,0.0026211948210416803,0.0005084710361037455,0.007629574035024951,0.004504020134689093,2.8556835310266515e-05,9845.205437133718,9710.500389376793,1.0138721015761754
