case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
Maxwell_a,surface,mask_aware_finite_difference,original_staircase_edge,282,8585.333085745111,8581.959015151611,6183.8710677737,5769.274234747131,6353.434119911997,1.0003931585536057
Maxwell_a,surface,mask_aware_finite_difference,inside_n_0p1um,847,13994.43571723974,13966.310632237444,8479.947867232742,7237.120962657104,7731.819812541034,1.0020137805711822
Maxwell_a,surface,mask_aware_finite_difference,inside_n_0p2um,1130,14095.412500609007,14048.206711602554,8879.953782972136,7499.027617483976,8269.124616804842,1.003360271526149
Maxwell_a,surface,mask_aware_finite_difference,inside_n_0p3um,1130,13487.187934211055,13441.526638127592,7989.848494707488,6777.355639985343,7265.557373772739,1.003397031997388
Maxwell_a,surface,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,14095.412500609007,13994.587815930441,8729.060223330998,7382.602239743493,8084.222070138899,1.0072045483586014
Maxwell_a,surface,least_squares_radius_0.2um,original_staircase_edge,282,12168.359604942596,12153.435609777533,7769.2850670255175,6753.762994694602,6942.066077159382,1.0012279651321851
Maxwell_a,surface,least_squares_radius_0.2um,inside_n_0p1um,847,13243.037144531763,13114.404054226361,8318.963579882644,7111.726464931553,7626.796696585433,1.009808534934071
Maxwell_a,surface,least_squares_radius_0.2um,inside_n_0p2um,1130,13335.849388535136,13271.271098546862,8423.929119173099,7154.586435918252,7771.7045640222395,1.0048660214616025
Maxwell_a,surface,least_squares_radius_0.2um,inside_n_0p3um,1130,13071.805976690663,13025.86787802667,7793.488956013709,6633.909406599972,6992.564207832331,1.00352668237496
Maxwell_a,surface,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,13335.849388535136,13262.383827387752,8347.231952485841,7095.16585938879,7661.371145638332,1.0055393933778083
Maxwell_a,surface,least_squares_radius_0.3um,original_staircase_edge,282,12996.711546709224,12991.861550276228,8300.132375839428,7117.263879661369,7581.434719072338,1.0003733103538879
Maxwell_a,surface,least_squares_radius_0.3um,inside_n_0p1um,847,13109.753450872653,13080.45644176432,8333.270561724621,7107.350179388682,7661.038073407663,1.0022397543418127
Maxwell_a,surface,least_squares_radius_0.3um,inside_n_0p2um,1130,12990.58813325092,12942.52348847163,8085.803946916911,6892.523271415704,7418.248434641528,1.0037136996368679
Maxwell_a,surface,least_squares_radius_0.3um,inside_n_0p3um,1130,12348.390768884155,12303.504017685189,7448.760004630591,6386.854334773676,6481.367377211704,1.0036482900427752
Maxwell_a,surface,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,13081.216051332853,12990.814074497028,8055.800459962918,6869.40185359992,7391.451962286367,1.0069589154549827
Maxwell_a,surface,least_squares_radius_0.4um,original_staircase_edge,282,13119.709318321422,13114.963844059856,8382.441072371792,7159.146476989338,7692.083093872058,1.0003618366255516
Maxwell_a,surface,least_squares_radius_0.4um,inside_n_0p1um,847,12906.82077750133,12880.317533342359,8104.1978436615445,6920.84267530773,7419.922685660884,1.002057654564056
Maxwell_a,surface,least_squares_radius_0.4um,inside_n_0p2um,1130,12499.075657523672,12452.323596333945,7683.112466173875,6584.628538588463,6920.355122739636,1.0037544849222753
Maxwell_a,surface,least_squares_radius_0.4um,inside_n_0p3um,1130,11622.162336790812,11570.309675435743,7011.791815531593,6072.112340505633,5655.482311418416,1.0044815275312082
Maxwell_a,surface,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,12729.843752723866,12629.448583318866,7670.391571987024,6573.365521187348,6895.448287482041,1.0079492915896267
Maxwell_a,midplane,mask_aware_finite_difference,original_staircase_edge,282,10003.97521087612,10001.480503464298,6481.130412286282,5786.729853392329,4689.40358206205,1.00024943381242
Maxwell_a,midplane,mask_aware_finite_difference,inside_n_0p1um,847,13165.727921182059,13139.295116142894,8121.258422879498,6900.09889643088,7470.648357982766,1.0020117369162893
Maxwell_a,midplane,mask_aware_finite_difference,inside_n_0p2um,1130,13315.614373256116,13270.540950491608,8440.120605299137,7116.314874175753,7883.664020986285,1.0033965022927598
Maxwell_a,midplane,mask_aware_finite_difference,inside_n_0p3um,1130,12963.008128384823,12917.453870983456,7769.6484787678,6563.807864925416,7171.642266093941,1.0035265662921156
Maxwell_a,midplane,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,13315.614373256116,13237.937455052881,8321.62733123152,7023.794599429305,7758.46823488954,1.0058677508083849
Maxwell_a,midplane,least_squares_radius_0.2um,original_staircase_edge,282,12103.783544298103,12097.105038716705,7727.744106001791,6626.707510992834,7051.281966829038,1.0005520746955592
Maxwell_a,midplane,least_squares_radius_0.2um,inside_n_0p1um,847,12762.856436767133,12686.804233905172,8079.061264747762,6863.720479414929,7468.59487271008,1.0059945910301598
Maxwell_a,midplane,least_squares_radius_0.2um,inside_n_0p2um,1130,12770.706552275009,12759.716094698932,8115.967920072648,6866.773905844828,7530.616502350205,1.0008613402911561
Maxwell_a,midplane,least_squares_radius_0.2um,inside_n_0p3um,1130,12559.736196374832,12512.202327272602,7558.2630177244,6405.984628813165,6911.303884596664,1.0037990009959015
Maxwell_a,midplane,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,12770.706552275009,12750.74533042654,8055.888040635484,6819.341612603371,7468.59487271008,1.0015654945127668
Maxwell_a,midplane,least_squares_radius_0.3um,original_staircase_edge,282,12637.311644329746,12633.89498565787,8085.429563348567,6885.80560916255,7456.733234927691,1.0002704358929495
Maxwell_a,midplane,least_squares_radius_0.3um,inside_n_0p1um,847,12689.99915554086,12662.34931938931,8074.604738831633,6851.880279655721,7473.711524866032,1.0021836260755506
Maxwell_a,midplane,least_squares_radius_0.3um,inside_n_0p2um,1130,12556.257225933852,12513.30748934026,7837.411701810398,6648.046761931694,7265.413942682464,1.0034323248773498
Maxwell_a,midplane,least_squares_radius_0.3um,inside_n_0p3um,1130,11969.643191478648,11925.896967649294,7241.195982326715,6172.804305390575,6513.116657596362,1.0036681705324155
Maxwell_a,midplane,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,12649.842620769015,12556.608510265647,7810.332866171051,6626.727685326204,7190.656570740598,1.007425102919084
Maxwell_a,midplane,least_squares_radius_0.4um,original_staircase_edge,282,12695.578216794718,12692.579685120827,8125.73324776236,6904.673507718318,7516.803598560187,1.0002362428874412
Maxwell_a,midplane,least_squares_radius_0.4um,inside_n_0p1um,847,12494.178204609281,12469.270220336188,7862.734976202008,6680.460442633703,7268.6097453635575,1.0019975494822841
Maxwell_a,midplane,least_squares_radius_0.4um,inside_n_0p2um,1130,12122.643821999121,12077.608685373672,7470.883116605638,6365.190643350123,6849.516826874905,1.003728812366639
Maxwell_a,midplane,least_squares_radius_0.4um,inside_n_0p3um,1130,11315.006905200906,11266.44341231354,6835.533726997027,5875.564702987614,5801.487842347197,1.0043104546048924
Maxwell_a,midplane,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,12329.702012504595,12231.036258407397,7457.5349800856875,6353.4613648011755,6823.552698757531,1.0080668352225166
Maxwell_a,thickness_average,mask_aware_finite_difference,original_staircase_edge,282,10396.127124461676,10392.975658074534,6676.555026746116,5887.825747349232,5307.803749722594,1.000303230421279
Maxwell_a,thickness_average,mask_aware_finite_difference,inside_n_0p1um,847,13967.763407809867,13940.663164662577,8718.55158607874,7350.95319217747,8165.4880890427685,1.0019439708733502
Maxwell_a,thickness_average,mask_aware_finite_difference,inside_n_0p2um,1130,13976.499190778339,13960.840207316123,8871.781254527237,7450.31205824036,8357.74543706125,1.0011216361787458
Maxwell_a,thickness_average,mask_aware_finite_difference,inside_n_0p3um,1130,13329.05807785413,13283.04413442193,7931.761742355701,6672.431281773326,7370.717976366013,1.0034641113111231
Maxwell_a,thickness_average,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,13976.499190778339,13946.726900397518,8747.205830954084,7348.262463814208,8227.262232405863,1.0021347152341509
Maxwell_a,thickness_average,least_squares_radius_0.2um,original_staircase_edge,282,12868.138059025601,12864.21220033209,8251.465265151886,7002.514866218849,7665.567280185396,1.0003051767673274
Maxwell_a,thickness_average,least_squares_radius_0.2um,inside_n_0p1um,847,13402.414090280006,13372.229048617852,8574.47640155374,7233.306575233957,8046.08610512061,1.0022572931971483
Maxwell_a,thickness_average,least_squares_radius_0.2um,inside_n_0p2um,1130,13402.414090280006,13339.654177576575,8505.46882993651,7157.193364888267,7995.45090695042,1.004704763097152
Maxwell_a,thickness_average,least_squares_radius_0.2um,inside_n_0p3um,1130,12958.306791043808,12910.404826359221,7744.093589757386,6528.976583237949,7175.601794930868,1.0037103379273424
Maxwell_a,thickness_average,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,13402.414090280006,13354.71270317559,8435.701767134564,7099.8243998208845,7901.106241318743,1.0035718766973605
Maxwell_a,thickness_average,least_squares_radius_0.3um,original_staircase_edge,282,13342.566078133,13339.701254862492,8584.413835592532,7257.6440780673365,8016.555986340756,1.000214759177569
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_n_0p1um,847,13307.827230951998,13282.4957289331,8483.633003076424,7155.353317897384,7941.835144969386,1.0019071342115111
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_n_0p2um,1130,13081.333697571863,13034.167208485465,8155.688496186903,6876.3665357362,7614.475588753898,1.0036186806822374
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_n_0p3um,1130,12337.105054395004,12294.217157440127,7431.989008978715,6293.925750829555,6808.725723661906,1.0034884609898826
Maxwell_a,thickness_average,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,13221.307463668047,13126.681873116819,8128.743354475102,6853.970778680173,7583.4866933197545,1.0072086450685622
Maxwell_a,thickness_average,least_squares_radius_0.4um,original_staircase_edge,282,13289.717830600395,13285.312011178434,8549.733249987887,7220.727136495146,7992.346274358646,1.0003316308580674
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_n_0p1um,847,12995.83824400916,12970.777339469298,8187.563855769601,6914.406966386472,7632.123043082011,1.0019321050607817
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_n_0p2um,1130,12534.633798266606,12489.36967241929,7717.207166265877,6531.785429802749,7151.136808610381,1.0036242121928118
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_n_0p3um,1130,11608.576135148887,11559.655427733278,6993.03014259176,5966.251096275075,6251.3020447775725,1.0042320212502391
Maxwell_a,thickness_average,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,12783.353072945458,12691.665016518142,7705.674777651965,6520.538158792737,7133.624687711673,1.0072242732776184
Maxwell_b,surface,mask_aware_finite_difference,original_staircase_edge,282,8467.012232227851,8464.888333831032,5696.829183893936,5215.471924291955,5119.013038453399,1.000250906841657
Maxwell_b,surface,mask_aware_finite_difference,inside_n_0p1um,847,7856.0012895586515,7837.94548238683,4512.6520746360675,4080.1821709690516,3862.229586675561,1.002303640311405
Maxwell_b,surface,mask_aware_finite_difference,inside_n_0p2um,1130,5578.101503490063,5555.610739506213,3169.3120309889923,2915.2126418117755,3073.5182000907535,1.004048297304906
Maxwell_b,surface,mask_aware_finite_difference,inside_n_0p3um,1130,3348.4424170723178,3333.6851807334097,2226.4658377752953,2036.24552365876,2224.7877447073997,1.0044267036444219
Maxwell_b,surface,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,6679.123692810886,6622.469676053789,3296.9399526547754,2972.4620446152753,3016.7739603324712,1.008554817089152
Maxwell_b,surface,least_squares_radius_0.2um,original_staircase_edge,282,7331.895569437775,7329.27114180895,4874.577806827552,4434.172505853818,4145.496983242836,1.0003580748451035
Maxwell_b,surface,least_squares_radius_0.2um,inside_n_0p1um,847,6417.0661496566545,6356.355916218121,4015.764005252551,3688.910316762856,3745.3296736339016,1.0095511066779053
Maxwell_b,surface,least_squares_radius_0.2um,inside_n_0p2um,1130,5508.713434234143,5410.653635646232,3196.8977727786555,2948.1523303803815,3146.8526795444336,1.0181234662558842
Maxwell_b,surface,least_squares_radius_0.2um,inside_n_0p3um,1130,3322.4529443144434,3295.661793350972,2243.399244148459,2061.74774322476,2250.0641499829685,1.0081292173297403
Maxwell_b,surface,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,5891.929315214293,5786.510102252677,3217.0796514298972,2935.454991017103,3071.7760752356976,1.0182180988365641
Maxwell_b,surface,least_squares_radius_0.3um,original_staircase_edge,282,6020.304703963533,6018.562636898084,4101.191072041605,3771.706390780662,3830.689170297252,1.000289449021394
Maxwell_b,surface,least_squares_radius_0.3um,inside_n_0p1um,847,5193.53087010885,5166.242518636837,3392.847856740497,3149.2090783978747,3410.357027650061,1.0052820500341537
Maxwell_b,surface,least_squares_radius_0.3um,inside_n_0p2um,1130,4364.731512420233,4338.842345060426,2862.8927672014897,2670.27822463478,2982.54691057814,1.0059668375342747
Maxwell_b,surface,least_squares_radius_0.3um,inside_n_0p3um,1130,3254.7028024969673,3228.264717601721,2252.733303703539,2084.503881839647,2264.278562582169,1.0081895653572324
Maxwell_b,surface,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,4774.514353174242,4726.625655803114,2882.6481722669328,2674.338759315361,2917.3799884873847,1.0101316881975482
Maxwell_b,surface,least_squares_radius_0.4um,original_staircase_edge,282,4944.498611470826,4938.722418792624,3485.1447450696846,3236.16998788605,3495.7754022494364,1.001169572247313
Maxwell_b,surface,least_squares_radius_0.4um,inside_n_0p1um,847,4218.779369324733,4206.410926552711,2906.0363337864887,2715.339614633742,3051.7263825488326,1.0029403790994234
Maxwell_b,surface,least_squares_radius_0.4um,inside_n_0p2um,1130,3564.92795061549,3545.47242044741,2511.6546896027253,2347.700943800323,2632.698863230885,1.0054874295611147
Maxwell_b,surface,least_squares_radius_0.4um,inside_n_0p3um,1130,3046.727368479305,3029.402209436233,2101.4883494521846,1953.571162828621,2138.3810843234255,1.0057190025771772
Maxwell_b,surface,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,3855.1387401702873,3811.9911759073507,2525.7009691010626,2352.9646331536965,2603.3937520878294,1.0113189045493176
Maxwell_b,midplane,mask_aware_finite_difference,original_staircase_edge,282,8815.148215157598,8811.821857123057,5757.211611103271,5169.648305255072,4364.253950742261,1.0003774881163596
Maxwell_b,midplane,mask_aware_finite_difference,inside_n_0p1um,847,8581.453149819596,8563.099461265654,4914.5592478097215,4280.053253168418,4082.4780543146567,1.00214334641761
Maxwell_b,midplane,mask_aware_finite_difference,inside_n_0p2um,1130,6636.138817814779,6611.405593446044,3455.2538583255096,3020.5169970974744,2567.7978789128165,1.003740993351437
Maxwell_b,midplane,mask_aware_finite_difference,inside_n_0p3um,1130,3887.803198547667,3872.0257125426206,2058.914872329947,1867.716096433984,1897.4396118383984,1.0040747368887397
Maxwell_b,midplane,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,7620.453996923772,7559.645361857109,3565.9264036080285,3057.2162592210593,2572.65625953837,1.0080438475822528
Maxwell_b,midplane,least_squares_radius_0.2um,original_staircase_edge,282,8104.750523141653,8099.193623239478,5216.996269456046,4590.39268491223,4484.668187870082,1.0006861053285885
Maxwell_b,midplane,least_squares_radius_0.2um,inside_n_0p1um,847,7298.103610407369,7240.582223115298,4376.168983895678,3855.2504162690534,3490.4707991997852,1.007944304134609
Maxwell_b,midplane,least_squares_radius_0.2um,inside_n_0p2um,1130,6412.673674725294,6316.624337792664,3442.2629361452664,3033.431165673728,2632.86346721145,1.0152058016744738
Maxwell_b,midplane,least_squares_radius_0.2um,inside_n_0p3um,1130,4035.1140707563286,4021.5493602855786,2132.070296681782,1928.8316965526044,1948.7279727238165,1.0033730060868349
Maxwell_b,midplane,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,6804.219050162576,6705.611967863258,3448.3075173916295,3004.6227507289377,2613.36758997313,1.0147051578248032
Maxwell_b,midplane,least_squares_radius_0.3um,original_staircase_edge,282,6931.105459549688,6928.9034875052685,4475.40260868149,3953.6338569896134,3752.315415445056,1.0003177951675024
Maxwell_b,midplane,least_squares_radius_0.3um,inside_n_0p1um,847,6099.256541540745,6081.946278771182,3681.618589086852,3272.499308276862,2763.2027478936902,1.002846171599704
Maxwell_b,midplane,least_squares_radius_0.3um,inside_n_0p2um,1130,5244.158884136981,5203.191997088538,3025.103179300737,2711.3116946031355,2404.0702010166706,1.0078734144485473
Maxwell_b,midplane,least_squares_radius_0.3um,inside_n_0p3um,1130,3963.1930115691507,3933.509467365944,2193.2958638531113,1989.396270549402,1986.7798071836912,1.0075463258572208
Maxwell_b,midplane,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,5669.957281553704,5615.569199958851,3046.4730230928562,2712.9265661225086,2428.7985950393454,1.0096852304117723
Maxwell_b,midplane,least_squares_radius_0.4um,original_staircase_edge,282,5858.5333647269335,5853.909376254418,3802.838551751614,3384.5843988001725,3009.561333740153,1.0007898975155427
Maxwell_b,midplane,least_squares_radius_0.4um,inside_n_0p1um,847,5088.660060547158,5070.485245044248,3093.72386786887,2780.3867992962423,2451.6998889928313,1.0035844331705084
Maxwell_b,midplane,least_squares_radius_0.4um,inside_n_0p2um,1130,4359.190443527165,4329.985204477341,2576.7280810551256,2337.0076347568533,2216.3738879999955,1.0067448819500875
