model,region,method,statistic,b_over_a_100nm,b_over_a_50nm,relative_change,ordering_100nm,ordering_50nm,ordering_preserved
Maxwell,original_staircase_edge,mask_aware_finite_difference,raw_max_abs,0.8796125661594816,0.9140243350763946,0.037648635376909136,b<a,b<a,True
Maxwell,original_staircase_edge,mask_aware_finite_difference,p99_abs,0.8795782599486976,0.913986764324041,0.03764661121847967,b<a,b<a,True
Maxwell,original_staircase_edge,mask_aware_finite_difference,rms_abs,0.8860380098918159,0.9152777546805776,0.03194630770739757,b<a,b<a,True
Maxwell,original_staircase_edge,mask_aware_finite_difference,mean_abs,0.8900998930651466,0.9123017459062915,0.024336085007805576,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.2um,raw_max_abs,0.783776114844607,0.7005403858423354,0.11881646038463337,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.2um,p99_abs,0.783959631021115,0.7002958778467974,0.1194691498564277,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.2um,rms_abs,0.7860586523292513,0.701056629643486,0.12124843998550025,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.2um,mean_abs,0.7895287470459731,0.7097551622830881,0.11239592045554864,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.3um,raw_max_abs,0.6626729270622402,0.5785986869719595,0.1453066555167541,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.3um,p99_abs,0.6626347128296576,0.5784577489454464,0.14551964086861902,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.3um,rms_abs,0.6648699366699717,0.5775625942228423,0.15116516083353462,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.3um,mean_abs,0.6677475610629596,0.5888432417214766,0.13399885360118444,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.4um,raw_max_abs,0.5821212241499979,0.49042211871932373,0.18697995447296495,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.4um,p99_abs,0.5796370055584495,0.4902511770413951,0.1823265964530403,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.4um,rms_abs,0.5819128661382859,0.48969272467819785,0.18832246593144827,b<a,b<a,True
Maxwell,original_staircase_edge,least_squares_radius_0.4um,mean_abs,0.5845541483979302,0.502913908543665,0.1623344243762883,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,mask_aware_finite_difference,raw_max_abs,0.602675414052949,0.6132174015997924,0.017191272653615124,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,mask_aware_finite_difference,p99_abs,0.6025770946888978,0.6098774995905686,0.01197028076387773,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,mask_aware_finite_difference,rms_abs,0.4935809882297093,0.4507728661300397,0.09496605788894191,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,mask_aware_finite_difference,mean_abs,0.47865435988844063,0.44535578942589843,0.07476846883581977,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,raw_max_abs,0.6316213020470082,0.5654867084263608,0.1169516323463853,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,p99_abs,0.628490509424732,0.5591174427171414,0.12407601946821493,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,rms_abs,0.507390550069165,0.4481211162340517,0.13226208649394938,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,mean_abs,0.4945610240860266,0.45012142143905637,0.09872803321578212,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,raw_max_abs,0.5325826302836594,0.4764108731429236,0.11790611908197199,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,p99_abs,0.5257848374726268,0.47614117857839733,0.10426247744933408,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,rms_abs,0.48065928158227855,0.4071156867675403,0.1806454460123298,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,mean_abs,0.47855190638217737,0.41754975446182746,0.14609552818196364,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,raw_max_abs,0.48776091102297936,0.40686856811142424,0.19881688892075364,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,p99_abs,0.48439166782413173,0.40588277481585544,0.1934275063628776,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,rms_abs,0.4500748407749365,0.36191042105036203,0.24360840306476236,b<a,b<a,True
Maxwell,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,mean_abs,0.4503623187228346,0.37510367840674746,0.20063423700814706,b<a,b<a,True
analytic,original_staircase_edge,mask_aware_finite_difference,raw_max_abs,1.4751048501882105,1.472460962655585,0.0017955569619022783,b>a,b>a,True
analytic,original_staircase_edge,mask_aware_finite_difference,p99_abs,1.4750996036206572,1.4723970674433646,0.001835466965432882,b>a,b>a,True
analytic,original_staircase_edge,mask_aware_finite_difference,rms_abs,1.4738300793683468,1.4703348910932044,0.0023771375462250605,b>a,b>a,True
analytic,original_staircase_edge,mask_aware_finite_difference,mean_abs,1.4719254346833577,1.4692628619606467,0.0018121826880983885,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.2um,raw_max_abs,1.4768390166336873,1.4767973075040908,2.824296156596362e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.2um,p99_abs,1.4768426323923387,1.4768096824671222,2.231155822426185e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.2um,rms_abs,1.4762891822408382,1.4762441179572146,3.0526308674453414e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.2um,mean_abs,1.4742885405747923,1.4743396856959823,3.4690188215230336e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,raw_max_abs,1.478385498500522,1.478518396683047,8.988605270194192e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,p99_abs,1.47865921105185,1.478484714287135,0.00011802405735332389,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,rms_abs,1.4786980411712645,1.4786981290233765,5.941179629920451e-08,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,mean_abs,1.4769825663029563,1.4769321968676015,3.410409459668185e-05,b>a,b>a,True
